"Longitude","Latitude","Elevation","Weekday","Month","Time","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_FOREST","Land.Use_INDUSTRIAL","Land.Use_MILITARY RESERVATION","Land.Use_RESIDENTIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN","Location.Setting_URBAN AND CENTER CITY"
-86.815,33.553056,180,3,3,62,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,3,68,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,3,71,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,3,74,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,3,77,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,3,80,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,3,83,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,3,86,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,3,89,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,4,92,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,4,95,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,4,98,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,4,101,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,4,104,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,4,107,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,4,110,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,4,113,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,4,116,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,4,119,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,5,122,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,5,125,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,5,128,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,5,131,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,5,134,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,5,137,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,5,140,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,5,143,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,5,146,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,6,155,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,6,158,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,6,161,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,6,164,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,6,167,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,6,170,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,6,173,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,6,176,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,6,179,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,7,182,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,7,185,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,7,188,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,7,191,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,7,194,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,7,197,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,7,200,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,7,203,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,7,206,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,7,209,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,8,212,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,8,215,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,8,218,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,8,221,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,8,224,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,8,227,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,8,233,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,8,236,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,8,239,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,8,242,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,9,245,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,9,248,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,9,251,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,9,254,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,9,257,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,9,260,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,9,263,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,9,266,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,9,269,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,9,272,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,10,275,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,10,278,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,10,281,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,10,284,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,10,287,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,10,290,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,10,293,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,10,296,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,10,299,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,10,302,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,11,305,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,11,308,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,11,311,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,11,314,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,11,317,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,11,320,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,11,323,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,11,326,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,11,329,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,11,332,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,12,335,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,12,338,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,12,341,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,12,344,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,12,347,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,12,350,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,12,353,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,12,356,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,12,359,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,12,362,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,4,467,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,4,470,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,4,473,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,1,734,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,1,737,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,1,740,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,1,743,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,1,746,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,1,749,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,1,755,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,1,758,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,2,764,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,2,767,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,2,770,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,2,773,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,2,776,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,2,779,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,2,782,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,3,791,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,3,800,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,3,803,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,4,824,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,4,827,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,4,830,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,4,839,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,4,842,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,4,845,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,4,848,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,2,1505,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,2,1508,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,2,1511,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,2,1514,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,2,1517,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,3,1520,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,3,1523,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,3,1526,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,3,1529,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,3,1532,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,3,1535,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,3,1538,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,3,1541,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,3,1544,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,3,1547,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,3,1550,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,4,1553,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,4,1559,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,4,1562,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,4,1565,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,4,1571,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,4,1574,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,4,1577,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,4,1580,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,7,1277,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,7,1280,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,7,1283,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,7,1286,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,7,1289,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,7,1292,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,7,1295,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,7,1298,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,2,416,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,2,419,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,2,422,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,3,425,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,3,431,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,3,434,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,3,437,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,3,440,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,3,443,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,3,446,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,3,455,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,4,458,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,4,461,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,4,464,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,11,1412,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,11,1415,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,4,476,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,5,515,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,6,518,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,6,521,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,6,527,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,6,533,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,6,536,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,5,851,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,5,854,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,5,857,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,5,860,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,5,863,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,5,866,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,3,1184,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,4,1187,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,4,1190,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,4,1193,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,4,1196,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,4,1199,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,4,1202,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,4,1205,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,4,1208,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,4,1211,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,4,1214,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,5,1217,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,5,1220,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,5,1223,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,5,1226,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,5,1229,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,5,1232,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,5,1235,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,5,1238,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,5,1241,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,5,1244,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,6,1247,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,6,1250,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,6,1253,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,6,1256,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,6,1259,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,6,1262,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,6,1265,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,6,1268,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,6,1271,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,6,1274,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,11,1049,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,11,1401,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,11,1403,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,11,1406,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,11,1409,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,7,1307,0,1,0,0,0,0,0,0,1
