binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.31707752905536735,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,True,0.3837364345587715,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,False,0.2991817118149495,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,True,0.36610573895388077,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,False,0.294023038016967,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,True,0.3576470410583716,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,False,0.3047577219690827,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,True,0.3540057319999707,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,False,0.34188072087004917,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,True,0.45192928469189364,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,False,0.3235842008184744,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,True,0.43090664606859624,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,False,0.3198066878078614,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,True,0.4175495765970487,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,False,0.32533964205069277,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,True,0.41172927033932405,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,False,0.32436854497058937,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,True,0.39173633476282116,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,False,0.30235535456104656,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,True,0.3691024564130068,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,False,0.29972266274351267,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,True,0.3611189942094333,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,False,0.30836287601095885,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,True,0.3563705712090832,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,False,0.46966923814577655,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,True,0.5274128577827109,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,False,0.44221002985742053,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,True,0.4975667617874381,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,False,0.43832817803433693,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,True,0.48166772773149175,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,False,0.4391522031553188,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,True,0.4727944309704133,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,False,0.42743689973173377,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,True,0.52151978496125,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,False,0.41231770596102946,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
100,True,0.5082529570169397,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,False,0.40865304185584794,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
400,True,0.5025538405675566,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,False,0.4098986211229726,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
1000,True,0.5003273513318389,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_air,,,,
20,False,0.31781100680833985,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_air,,,,
20,True,0.3793595719533605,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_air,,,,
100,False,0.30536301944023847,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_air,,,,
