binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.5875416438294343,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,True,0.6578881803062906,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
100,False,0.553628305897546,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
100,True,0.6194361612684158,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
400,False,0.5521286567289111,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
400,True,0.6032171436578322,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
1000,False,0.5520125914624371,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
1000,True,0.5969037530998239,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,False,0.6271087168383007,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,True,0.7224951785386049,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
100,False,0.6042770852898051,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
100,True,0.6741968303082299,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
400,False,0.6054369106672083,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
400,True,0.6573439188739236,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
1000,False,0.6084941176121924,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
1000,True,0.6518127153496499,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,False,0.5715155080383001,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,True,0.6529814084585005,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
100,False,0.5250461786216604,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
100,True,0.5994682583881351,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
400,False,0.5205445538680907,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
400,True,0.58083828661151,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
1000,False,0.526871069159322,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
1000,True,0.5733654702659556,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,False,0.5233831252859193,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,True,0.6378975665853345,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
100,False,0.49285183011508277,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
100,True,0.5893089192688992,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
400,False,0.48556070772586574,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
400,True,0.5686075207888878,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
1000,False,0.4841615809799926,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
1000,True,0.5579946933830738,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,False,0.4543152936201856,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
20,True,0.5423288962823924,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_bakery,,,,
