binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.772724888435108,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,True,0.9545827207841476,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,False,0.7247812788497779,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,True,0.890066780247274,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,False,0.7189231391338184,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,True,0.8676242965582471,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,False,0.7207891032105292,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,True,0.8545000292969239,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,False,0.7405299563713357,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,True,0.9992973236968875,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,False,0.6977394006946825,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,True,0.9465305017528689,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,False,0.6857061493037994,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,True,0.9186822265582507,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,False,0.6866275027678506,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,True,0.906471285922624,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,False,0.7306301085706083,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,True,0.9384139617987521,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,False,0.6879575291220433,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,True,0.8839872925345195,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,False,0.6822638202798764,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,True,0.8629056945851118,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,False,0.6868291400819458,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,True,0.8509312758710398,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,False,0.747755151499834,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,True,0.9478813072536671,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,False,0.7248082730348279,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,True,0.9080373671622408,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,False,0.7122623106570615,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,True,0.8819604410301355,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,False,0.7143547833862477,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,True,0.8730604801462074,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,False,0.7220737214918614,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,True,0.9418649317625444,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,False,0.6696528464837467,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,True,0.8898122526201995,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,False,0.6596970514914043,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,True,0.8598009628048928,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,False,0.6579946728086175,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,True,0.8507900156777057,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,False,0.7505862126884187,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,True,0.88203002627566,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,False,0.706849402413148,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,True,0.8214867344146926,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,False,0.6966111220917751,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
400,True,0.7962061627087164,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,False,0.6981679591623982,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
1000,True,0.7804931719669019,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,False,0.822048748471461,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
20,True,0.9343955599764295,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,False,0.7743625764200998,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
100,True,0.8762202398530071,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,subset_m5,,,,
