binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.7094831751812667,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,0.8588948864371877,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.6920514290494012,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,0.799305403401505,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.6890048867524261,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.7761804448603276,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.6958064068563677,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.7668306627546552,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.761612783355463,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,0.9165812207720516,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.735962814096014,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,0.8548038821562878,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.7228963519494837,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.8289599765387246,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.72369947935927,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.8155575582459988,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.8689016054963107,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,1.1095669156866743,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.827778057134172,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,1.0302250788454133,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.8244588678751149,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.9961349622628807,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.8342953295880027,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.9800518156968174,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.9242061584797489,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,1.2083094018802767,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.8526989162125477,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,1.0932260618349614,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.8211750356691422,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,1.0409452254558873,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.821056139055938,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,1.0224751691756269,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.8898445831072255,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,1.2064418839770004,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.7963647689559733,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,1.0883715341190383,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.7845739320333297,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,1.0378486178606199,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.7813966937878368,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,1.019988425676794,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.7439297190610267,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,True,0.9117763361454271,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.7299820786974488,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,True,0.8335797034602433,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.7210132933862455,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.8039161602455787,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.7212324975592879,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.7882185829071552,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.7855876487078735,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,True,0.9233301652802185,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.7691180454417135,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,True,0.8717101093206191,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.764756674619229,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.8461613526864453,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.7608595636188176,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.8335814203283537,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.9717918683602911,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,True,1.1892343087631752,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.9081421040325086,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,True,1.1040634123088178,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.8928367308926695,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,True,1.063745838387913,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.88712802399697,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,1.043421429652318,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,False,1.0288032357446428,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,True,1.2749397381437555,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.9312148894033135,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,True,1.1560603509787182,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.905066459690328,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,True,1.1034012191265858,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.8999206403088035,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,1.0799446477379393,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,False,1.0038038090903239,4,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
