binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.8023090632231047,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
20,True,1.0104733253440898,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
100,False,0.691966563224089,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
100,True,0.9263559597347375,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
400,False,0.6927611185950717,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
400,True,0.9021556328394462,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
1000,False,0.754601622089699,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
1000,True,0.8881535733731923,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
20,False,0.625066741805866,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
20,True,0.8697597816964122,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
100,False,0.6259024237283767,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
100,True,0.8308379046379075,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
400,False,0.6473835468147063,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
400,True,0.7797866786183703,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
1000,False,0.7449669840638288,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
1000,True,0.7772305173941912,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
20,False,0.7711831533441541,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
20,True,0.9603243171390146,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
100,False,0.715482587796255,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
100,True,0.8554725441039981,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
400,False,0.7182778749239337,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
400,True,0.8334961364808522,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
1000,False,0.7416335035265286,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
1000,True,0.8256581332492223,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
20,False,0.7231290976709172,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
20,True,0.8138021622815147,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
100,False,0.681501617464216,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
100,True,0.7461178701338497,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
400,False,0.6800597232805229,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
400,True,0.7272180167404294,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
1000,False,0.7155765028873805,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
1000,True,0.7218420668104014,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
20,False,0.9615213835497354,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,yaz,,,,
