Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
pollutant_max_O3_Location 1,9.0,1.0,SAA,0.022147670250896048,N/A,,0.9
pollutant_max_O3_Location 2,9.0,1.0,SAA,0.03059481580016996,N/A,,0.9
pollutant_max_O3_Location 4,9.0,1.0,SAA,0.026469627389486255,N/A,,0.9
pollutant_max_PM10_Location 1,9.0,1.0,SAA,0.049227959355075276,N/A,,0.9
pollutant_max_PM10_Location 2,9.0,1.0,SAA,0.05195734956352302,N/A,,0.9
pollutant_max_PM10_Location 4,9.0,1.0,SAA,0.044082141224035025,N/A,,0.9
pollutant_max_O3_Location 1,9.0,1.0,DRF,0.025320703828230717,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 500)])",-0.14326714915788008,0.9
pollutant_max_O3_Location 2,9.0,1.0,DRF,0.03029459040017736,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 500)])",0.009812950074729043,0.9
pollutant_max_O3_Location 4,9.0,1.0,DRF,0.029586782211681657,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 500)])",-0.11776345682272571,0.9
pollutant_max_PM10_Location 1,9.0,1.0,DRF,0.012318546450241635,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 500)])",0.7497652429305578,0.9
pollutant_max_PM10_Location 2,9.0,1.0,DRF,0.007620239796546739,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 500)])",0.8533366335934777,0.9
pollutant_max_PM10_Location 4,9.0,1.0,DRF,0.017036006845923355,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 500)])",0.6135394884893939,0.9
pollutant_max_O3_Location 1,9.0,1.0,LS_KDEx_LGBM,0.01573428912783751,"{'binSize': 400, 'weightsByDistance': False}",0.2895736233385119,0.9
pollutant_max_O3_Location 2,9.0,1.0,LS_KDEx_LGBM,0.017490983177133802,"{'binSize': 400, 'weightsByDistance': False}",0.4283023865423423,0.9
pollutant_max_O3_Location 4,9.0,1.0,LS_KDEx_LGBM,0.021462946235819815,"{'binSize': 400, 'weightsByDistance': False}",0.189148153844247,0.9
pollutant_max_PM10_Location 1,9.0,1.0,LS_KDEx_LGBM,0.011333198481138436,"{'binSize': 400, 'weightsByDistance': False}",0.7697812659794924,0.9
pollutant_max_PM10_Location 2,9.0,1.0,LS_KDEx_LGBM,0.007575554591541628,"{'binSize': 400, 'weightsByDistance': False}",0.8541966698613108,0.9
pollutant_max_PM10_Location 4,9.0,1.0,LS_KDEx_LGBM,0.01767041539503413,"{'binSize': 400, 'weightsByDistance': False}",0.5991479791049796,0.9
pollutant_max_O3_Location 1,9.0,1.0,LS_KDEx_MLP,0.05131357393803896,"{'binSize': 100, 'weightsByDistance': False}",-1.3168835979921147,0.9
