Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
CA_1_FOODS_3_228,9.0,1.0,SAA,0.026239426691729312,N/A,,0.9
CA_1_FOODS_3_252,9.0,1.0,SAA,0.02262544115390517,N/A,,0.9
CA_1_FOODS_3_377,9.0,1.0,SAA,0.02647690655209452,N/A,,0.9
CA_1_FOODS_3_555,9.0,1.0,SAA,0.021455424274973146,N/A,,0.9
CA_1_FOODS_3_586,9.0,1.0,SAA,0.020247046186895806,N/A,,0.9
CA_1_FOODS_3_694,9.0,1.0,SAA,0.0259577515216613,N/A,,0.9
CA_3_FOODS_3_228,9.0,1.0,SAA,0.02649727767695099,N/A,,0.9
CA_3_FOODS_3_252,9.0,1.0,SAA,0.03615599557900965,N/A,,0.9
CA_3_FOODS_3_377,9.0,1.0,SAA,0.01723545877681216,N/A,,0.9
CA_3_FOODS_3_555,9.0,1.0,SAA,0.030068474758324394,N/A,,0.9
CA_3_FOODS_3_586,9.0,1.0,SAA,0.024704440856161216,N/A,,0.9
CA_3_FOODS_3_694,9.0,1.0,SAA,0.024125655046707672,N/A,,0.9
TX_2_FOODS_3_228,9.0,1.0,SAA,0.02402159244264507,N/A,,0.9
TX_2_FOODS_3_252,9.0,1.0,SAA,0.02124614720029888,N/A,,0.9
TX_2_FOODS_3_377,9.0,1.0,SAA,0.030368890977443604,N/A,,0.9
TX_2_FOODS_3_555,9.0,1.0,SAA,0.018370703544575723,N/A,,0.9
TX_2_FOODS_3_586,9.0,1.0,SAA,0.016713574170507638,N/A,,0.9
TX_2_FOODS_3_694,9.0,1.0,SAA,0.02017695570645742,N/A,,0.9
WI_1_FOODS_3_228,9.0,1.0,SAA,0.03761785415920754,N/A,,0.9
WI_1_FOODS_3_252,9.0,1.0,SAA,0.05967537892349923,N/A,,0.9
WI_1_FOODS_3_377,9.0,1.0,SAA,0.03939312567132115,N/A,,0.9
WI_1_FOODS_3_555,9.0,1.0,SAA,0.06546805325000814,N/A,,0.9
WI_1_FOODS_3_586,9.0,1.0,SAA,0.022050078612680764,N/A,,0.9
WI_1_FOODS_3_694,9.0,1.0,SAA,0.018598862019914647,N/A,,0.9
CA_1_FOODS_3_228,9.0,1.0,DRF,0.023054899005436676,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.12136422505360611,0.9
CA_1_FOODS_3_252,9.0,1.0,DRF,0.015228923593864463,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.3269115289168212,0.9
CA_1_FOODS_3_377,9.0,1.0,DRF,0.01728513574173784,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.3471618103221935,0.9
CA_1_FOODS_3_555,9.0,1.0,DRF,0.020622449233990293,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.03882351755469515,0.9
CA_1_FOODS_3_586,9.0,1.0,DRF,0.012487746794886961,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.38323117952043695,0.9
CA_1_FOODS_3_694,9.0,1.0,DRF,0.014906873346002141,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.425725555098152,0.9
CA_3_FOODS_3_228,9.0,1.0,DRF,0.014564212952635162,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.4503505933628783,0.9
CA_3_FOODS_3_252,9.0,1.0,DRF,0.020670465661022742,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.42829770470978334,0.9
CA_3_FOODS_3_377,9.0,1.0,DRF,0.01957606002053442,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",-0.13580150514306033,0.9
CA_3_FOODS_3_555,9.0,1.0,DRF,0.018590871751149256,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.381715504342221,0.9
CA_3_FOODS_3_586,9.0,1.0,DRF,0.015324963857409345,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.3796676497704523,0.9
CA_3_FOODS_3_694,9.0,1.0,DRF,0.01578204221801201,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.34583984611163043,0.9
TX_2_FOODS_3_228,9.0,1.0,DRF,0.013931378588352833,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.42004766663092974,0.9
TX_2_FOODS_3_252,9.0,1.0,DRF,0.017565855393158313,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.17322160919080876,0.9
TX_2_FOODS_3_377,9.0,1.0,DRF,0.013853776250341567,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.5438168532189267,0.9
TX_2_FOODS_3_555,9.0,1.0,DRF,0.010046978747282343,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.4530977693421604,0.9
TX_2_FOODS_3_586,9.0,1.0,DRF,0.011433828911066196,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.31589564300124084,0.9
TX_2_FOODS_3_694,9.0,1.0,DRF,0.02311576162021355,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",-0.14565160158504953,0.9
WI_1_FOODS_3_228,9.0,1.0,DRF,0.03024604254046529,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.19596576634975038,0.9
WI_1_FOODS_3_252,9.0,1.0,DRF,0.05163645669618479,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.13471087025052542,0.9
WI_1_FOODS_3_377,9.0,1.0,DRF,0.026511643452128204,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.3269982262050072,0.9
WI_1_FOODS_3_555,9.0,1.0,DRF,0.03955538410734131,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.39580631859805004,0.9
WI_1_FOODS_3_586,9.0,1.0,DRF,0.015809734897819932,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.28300777627486906,0.9
WI_1_FOODS_3_694,9.0,1.0,DRF,0.013364715753635376,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 500)])",0.28142293118121064,0.9
CA_1_FOODS_3_228,9.0,1.0,LS_KDEx_LGBM,0.02895191898808277,"{'binSize': 400, 'weightsByDistance': False}",-0.10337467842650838,0.9
CA_1_FOODS_3_252,9.0,1.0,LS_KDEx_LGBM,0.014732445384107465,"{'binSize': 400, 'weightsByDistance': False}",0.3488548893304283,0.9
CA_1_FOODS_3_377,9.0,1.0,LS_KDEx_LGBM,0.017542098679960566,"{'binSize': 400, 'weightsByDistance': False}",0.33745663809155024,0.9
CA_1_FOODS_3_555,9.0,1.0,LS_KDEx_LGBM,0.020242888208886294,"{'binSize': 400, 'weightsByDistance': False}",0.05651419662212054,0.9
CA_1_FOODS_3_586,9.0,1.0,LS_KDEx_LGBM,0.013051233241800535,"{'binSize': 400, 'weightsByDistance': False}",0.35540062874714584,0.9
CA_1_FOODS_3_694,9.0,1.0,LS_KDEx_LGBM,0.015558406033828437,"{'binSize': 400, 'weightsByDistance': False}",0.4006258199657542,0.9
CA_3_FOODS_3_228,9.0,1.0,LS_KDEx_LGBM,0.01562438780845094,"{'binSize': 400, 'weightsByDistance': False}",0.41033988476325545,0.9
CA_3_FOODS_3_252,9.0,1.0,LS_KDEx_LGBM,0.017240602534692666,"{'binSize': 400, 'weightsByDistance': False}",0.5231606194602565,0.9
CA_3_FOODS_3_377,9.0,1.0,LS_KDEx_LGBM,0.018548106212471875,"{'binSize': 400, 'weightsByDistance': False}",-0.07615970382092163,0.9
CA_3_FOODS_3_555,9.0,1.0,LS_KDEx_LGBM,0.016411841423759267,"{'binSize': 400, 'weightsByDistance': False}",0.4541844388293861,0.9
CA_3_FOODS_3_586,9.0,1.0,LS_KDEx_LGBM,0.015105610883438593,"{'binSize': 400, 'weightsByDistance': False}",0.38854674058849226,0.9
CA_3_FOODS_3_694,9.0,1.0,LS_KDEx_LGBM,0.015449962163480355,"{'binSize': 400, 'weightsByDistance': False}",0.359604448726098,0.9
TX_2_FOODS_3_228,9.0,1.0,LS_KDEx_LGBM,0.014528539690240512,"{'binSize': 400, 'weightsByDistance': False}",0.3951883196366168,0.9
TX_2_FOODS_3_252,9.0,1.0,LS_KDEx_LGBM,0.016358880285524565,"{'binSize': 400, 'weightsByDistance': False}",0.23003073774738625,0.9
TX_2_FOODS_3_377,9.0,1.0,LS_KDEx_LGBM,0.01349655744525391,"{'binSize': 400, 'weightsByDistance': False}",0.5555795088046371,0.9
TX_2_FOODS_3_555,9.0,1.0,LS_KDEx_LGBM,0.010929176650692355,"{'binSize': 400, 'weightsByDistance': False}",0.4050757705510202,0.9
TX_2_FOODS_3_586,9.0,1.0,LS_KDEx_LGBM,0.012509727161555581,"{'binSize': 400, 'weightsByDistance': False}",0.2515229217919206,0.9
TX_2_FOODS_3_694,9.0,1.0,LS_KDEx_LGBM,0.02286147826401922,"{'binSize': 400, 'weightsByDistance': False}",-0.13304893942462526,0.9
WI_1_FOODS_3_228,9.0,1.0,LS_KDEx_LGBM,0.034046907000486605,"{'binSize': 400, 'weightsByDistance': False}",0.09492692335952646,0.9
WI_1_FOODS_3_252,9.0,1.0,LS_KDEx_LGBM,0.05084676622888941,"{'binSize': 400, 'weightsByDistance': False}",0.14794397377732027,0.9
WI_1_FOODS_3_377,9.0,1.0,LS_KDEx_LGBM,0.027111904559427597,"{'binSize': 400, 'weightsByDistance': False}",0.31176051411514394,0.9
WI_1_FOODS_3_555,9.0,1.0,LS_KDEx_LGBM,0.04493691001156198,"{'binSize': 400, 'weightsByDistance': False}",0.313605525431499,0.9
WI_1_FOODS_3_586,9.0,1.0,LS_KDEx_LGBM,0.017990899707064127,"{'binSize': 400, 'weightsByDistance': False}",0.1840890899718719,0.9
WI_1_FOODS_3_694,9.0,1.0,LS_KDEx_LGBM,0.014440713752808188,"{'binSize': 400, 'weightsByDistance': False}",0.22357003684710064,0.9
CA_1_FOODS_3_228,9.0,1.0,LS_KDEx_MLP,0.025461640948331678,"{'binSize': 1000, 'weightsByDistance': False}",0.029641872611599118,0.9
CA_1_FOODS_3_252,9.0,1.0,LS_KDEx_MLP,0.013320878161430806,"{'binSize': 1000, 'weightsByDistance': False}",0.4112433843469341,0.9
CA_1_FOODS_3_377,9.0,1.0,LS_KDEx_MLP,0.015277095459264265,"{'binSize': 1000, 'weightsByDistance': False}",0.4230030071977675,0.9
CA_1_FOODS_3_555,9.0,1.0,LS_KDEx_MLP,0.01987213444643401,"{'binSize': 1000, 'weightsByDistance': False}",0.07379438449912068,0.9
CA_1_FOODS_3_586,9.0,1.0,LS_KDEx_MLP,0.012207105209304486,"{'binSize': 1000, 'weightsByDistance': False}",0.39709204510013374,0.9
CA_1_FOODS_3_694,9.0,1.0,LS_KDEx_MLP,0.015699507569884603,"{'binSize': 1000, 'weightsByDistance': False}",0.3951900049284457,0.9
