Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
16,9.0,1.0,SAA,0.1217812419717737,N/A,,0.9
18,9.0,1.0,SAA,0.11212233329352672,N/A,,0.9
19,9.0,1.0,SAA,0.11636662406213116,N/A,,0.9
20,9.0,1.0,SAA,0.09860000252644074,N/A,,0.9
21,9.0,1.0,SAA,0.13244063578425125,N/A,,0.9
22,9.0,1.0,SAA,0.13037336286752454,N/A,,0.9
16,9.0,1.0,DRF,0.09699696623717739,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",0.20351472306663432,0.9
18,9.0,1.0,DRF,0.09490374216151251,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",0.15356968256214754,0.9
19,9.0,1.0,DRF,0.09408319569168007,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",0.19149329586594688,0.9
20,9.0,1.0,DRF,0.08773532900830748,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",0.11018938377024656,0.9
21,9.0,1.0,DRF,0.0997688749452445,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",0.2466898519894587,0.9
22,9.0,1.0,DRF,0.08894143018250288,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",0.3177944617960161,0.9
16,9.0,1.0,LS_KDEx_LGBM,0.08379017248001763,"{'binSize': 400, 'weightsByDistance': False}",0.3119615868309308,0.9
18,9.0,1.0,LS_KDEx_LGBM,0.08785930841428859,"{'binSize': 400, 'weightsByDistance': False}",0.2163977877245883,0.9
19,9.0,1.0,LS_KDEx_LGBM,0.08847300943667254,"{'binSize': 400, 'weightsByDistance': False}",0.23970459614404127,0.9
20,9.0,1.0,LS_KDEx_LGBM,0.07735369710028514,"{'binSize': 400, 'weightsByDistance': False}",0.21547976553507853,0.9
21,9.0,1.0,LS_KDEx_LGBM,0.10058640609529361,"{'binSize': 400, 'weightsByDistance': False}",0.24051703995780338,0.9
22,9.0,1.0,LS_KDEx_LGBM,0.10115673977928547,"{'binSize': 400, 'weightsByDistance': False}",0.2240996354288014,0.9
16,9.0,1.0,LS_KDEx_MLP,0.08852121169644174,"{'binSize': 1000, 'weightsByDistance': False}",0.2731129173657215,0.9
18,9.0,1.0,LS_KDEx_MLP,0.08899473221872312,"{'binSize': 1000, 'weightsByDistance': False}",0.20627113613714687,0.9
19,9.0,1.0,LS_KDEx_MLP,0.09592628460276349,"{'binSize': 1000, 'weightsByDistance': False}",0.17565465720182827,0.9
20,9.0,1.0,LS_KDEx_MLP,0.08171550499129146,"{'binSize': 1000, 'weightsByDistance': False}",0.1712423641228763,0.9
21,9.0,1.0,LS_KDEx_MLP,0.10704116402881385,"{'binSize': 1000, 'weightsByDistance': False}",0.19178005002040088,0.9
22,9.0,1.0,LS_KDEx_MLP,0.10855905868908668,"{'binSize': 1000, 'weightsByDistance': False}",0.1673217879683283,0.9
16,7.5,2.5,SAA,0.21696920907113917,N/A,,0.75
18,7.5,2.5,SAA,0.2023261536179372,N/A,,0.75
19,7.5,2.5,SAA,0.20669770544153968,N/A,,0.75
20,7.5,2.5,SAA,0.1720677060283406,N/A,,0.75
21,7.5,2.5,SAA,0.23069635827077814,N/A,,0.75
22,7.5,2.5,SAA,0.24210705436573393,N/A,,0.75
16,7.5,2.5,DRF,0.16712326655205792,"OrderedDict([('min_node_size', 2), ('num_features', 78), ('num_trees', 500)])",0.22973740252119335,0.75
18,7.5,2.5,DRF,0.16202412063583696,"OrderedDict([('min_node_size', 2), ('num_features', 78), ('num_trees', 500)])",0.1991933927543773,0.75
19,7.5,2.5,DRF,0.160915687591458,"OrderedDict([('min_node_size', 2), ('num_features', 78), ('num_trees', 500)])",0.22149262737234499,0.75
20,7.5,2.5,DRF,0.14146037028134106,"OrderedDict([('min_node_size', 2), ('num_features', 78), ('num_trees', 500)])",0.17787960596137842,0.75
