Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
pollutant_max_O3_Location 1,9.0,1.0,SAA,0.022147670250896048,N/A,,0.9
pollutant_max_O3_Location 2,9.0,1.0,SAA,0.03059481580016996,N/A,,0.9
pollutant_max_O3_Location 4,9.0,1.0,SAA,0.026469627389486255,N/A,,0.9
pollutant_max_PM10_Location 1,9.0,1.0,SAA,0.049227959355075276,N/A,,0.9
pollutant_max_PM10_Location 2,9.0,1.0,SAA,0.05195734956352302,N/A,,0.9
pollutant_max_PM10_Location 4,9.0,1.0,SAA,0.044082141224035025,N/A,,0.9
pollutant_max_O3_Location 1,9.0,1.0,MLP,0.03955056398295249,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 60), ('layer2', 40), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.7857663372675667,0.9
pollutant_max_O3_Location 2,9.0,1.0,MLP,0.038776003544455144,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 60), ('layer2', 40), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.2674043798047556,0.9
pollutant_max_O3_Location 4,9.0,1.0,MLP,0.030348097835298952,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 60), ('layer2', 40), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.14652531328617147,0.9
pollutant_max_PM10_Location 1,9.0,1.0,MLP,0.0393081570342594,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 60), ('layer2', 40), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.20150748580223599,0.9
pollutant_max_PM10_Location 2,9.0,1.0,MLP,0.013592860174591272,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 60), ('layer2', 40), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.7383842653872741,0.9
pollutant_max_PM10_Location 4,9.0,1.0,MLP,0.03155710616903109,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 60), ('layer2', 40), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.28412946166450914,0.9
pollutant_max_O3_Location 1,9.0,1.0,LGBM,0.01847119094026477,"OrderedDict([('learning_rate', 0.1), ('max_depth', 9), ('min_data_in_leaf', 100), ('n_estimators', 50), ('num_leaves', 127)])",0.16599846706145238,0.9
pollutant_max_O3_Location 2,9.0,1.0,LGBM,0.019108407232455348,"OrderedDict([('learning_rate', 0.1), ('max_depth', 9), ('min_data_in_leaf', 100), ('n_estimators', 50), ('num_leaves', 127)])",0.3754364348109853,0.9
pollutant_max_O3_Location 4,9.0,1.0,LGBM,0.02509988044653002,"OrderedDict([('learning_rate', 0.1), ('max_depth', 9), ('min_data_in_leaf', 100), ('n_estimators', 50), ('num_leaves', 127)])",0.051747873999174576,0.9
