Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
CA_1_FOODS_3_228,9.0,1.0,SAA,0.026239426691729312,N/A,,0.9
CA_1_FOODS_3_252,9.0,1.0,SAA,0.02262544115390517,N/A,,0.9
CA_1_FOODS_3_377,9.0,1.0,SAA,0.02647690655209452,N/A,,0.9
CA_1_FOODS_3_555,9.0,1.0,SAA,0.021455424274973146,N/A,,0.9
CA_1_FOODS_3_586,9.0,1.0,SAA,0.020247046186895806,N/A,,0.9
CA_1_FOODS_3_694,9.0,1.0,SAA,0.0259577515216613,N/A,,0.9
CA_3_FOODS_3_228,9.0,1.0,SAA,0.02649727767695099,N/A,,0.9
CA_3_FOODS_3_252,9.0,1.0,SAA,0.03615599557900965,N/A,,0.9
CA_3_FOODS_3_377,9.0,1.0,SAA,0.01723545877681216,N/A,,0.9
CA_3_FOODS_3_555,9.0,1.0,SAA,0.030068474758324394,N/A,,0.9
CA_3_FOODS_3_586,9.0,1.0,SAA,0.024704440856161216,N/A,,0.9
CA_3_FOODS_3_694,9.0,1.0,SAA,0.024125655046707672,N/A,,0.9
TX_2_FOODS_3_228,9.0,1.0,SAA,0.02402159244264507,N/A,,0.9
TX_2_FOODS_3_252,9.0,1.0,SAA,0.02124614720029888,N/A,,0.9
TX_2_FOODS_3_377,9.0,1.0,SAA,0.030368890977443604,N/A,,0.9
TX_2_FOODS_3_555,9.0,1.0,SAA,0.018370703544575723,N/A,,0.9
TX_2_FOODS_3_586,9.0,1.0,SAA,0.016713574170507638,N/A,,0.9
TX_2_FOODS_3_694,9.0,1.0,SAA,0.02017695570645742,N/A,,0.9
WI_1_FOODS_3_228,9.0,1.0,SAA,0.03761785415920754,N/A,,0.9
WI_1_FOODS_3_252,9.0,1.0,SAA,0.05967537892349923,N/A,,0.9
WI_1_FOODS_3_377,9.0,1.0,SAA,0.03939312567132115,N/A,,0.9
WI_1_FOODS_3_555,9.0,1.0,SAA,0.06546805325000814,N/A,,0.9
WI_1_FOODS_3_586,9.0,1.0,SAA,0.022050078612680764,N/A,,0.9
WI_1_FOODS_3_694,9.0,1.0,SAA,0.018598862019914647,N/A,,0.9
CA_1_FOODS_3_228,9.0,1.0,MLP,0.04850528913560013,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.8485651270303491,0.9
CA_1_FOODS_3_252,9.0,1.0,MLP,0.03508187959959942,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.5505500803702235,0.9
CA_1_FOODS_3_377,9.0,1.0,MLP,0.0248639151174423,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.060920690696195434,0.9
CA_1_FOODS_3_555,9.0,1.0,MLP,0.03180007882770002,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.48214635236989856,0.9
CA_1_FOODS_3_586,9.0,1.0,MLP,0.014568601928692141,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.2804579100470882,0.9
CA_1_FOODS_3_694,9.0,1.0,MLP,0.030423862858830104,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.17205308916844797,0.9
CA_3_FOODS_3_228,9.0,1.0,MLP,0.030370358827536182,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.14616902150496158,0.9
CA_3_FOODS_3_252,9.0,1.0,MLP,0.07528454960430368,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.0822148138553844,0.9
CA_3_FOODS_3_377,9.0,1.0,MLP,0.032971266272662426,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.9129903473773813,0.9
CA_3_FOODS_3_555,9.0,1.0,MLP,0.04784334647370441,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.5911464368660428,0.9
CA_3_FOODS_3_586,9.0,1.0,MLP,0.021975178387692227,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.11047659343353722,0.9
CA_3_FOODS_3_694,9.0,1.0,MLP,0.02633208597952155,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.09145579378226998,0.9
TX_2_FOODS_3_228,9.0,1.0,MLP,0.023039326281583818,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.040890967716089244,0.9
TX_2_FOODS_3_252,9.0,1.0,MLP,0.05018232097028051,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.3619492276498284,0.9
TX_2_FOODS_3_377,9.0,1.0,MLP,0.015863431097615583,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.47764206768702566,0.9
TX_2_FOODS_3_555,9.0,1.0,MLP,0.042796668179026706,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.3296150893286383,0.9
TX_2_FOODS_3_586,9.0,1.0,MLP,0.02822917970898029,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.6889971840249949,0.9
TX_2_FOODS_3_694,9.0,1.0,MLP,0.038707352265341013,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.9183940743326873,0.9
WI_1_FOODS_3_228,9.0,1.0,MLP,0.06743414637020416,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.7926101282866138,0.9
WI_1_FOODS_3_252,9.0,1.0,MLP,0.08756469145951387,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.46735040546231477,0.9
WI_1_FOODS_3_377,9.0,1.0,MLP,0.028592711348527054,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.2741700268444801,0.9
WI_1_FOODS_3_555,9.0,1.0,MLP,0.11057310889738746,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.6889628361963507,0.9
WI_1_FOODS_3_586,9.0,1.0,MLP,0.05267835510850503,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.3890325306237354,0.9
WI_1_FOODS_3_694,9.0,1.0,MLP,0.03674458365636963,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 144), ('layer2', 72), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.9756361231684785,0.9
CA_1_FOODS_3_228,9.0,1.0,LGBM,0.037963138396405256,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-0.4467975555415342,0.9
CA_1_FOODS_3_252,9.0,1.0,LGBM,0.03957379696399862,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-0.749083993315558,0.9
CA_1_FOODS_3_377,9.0,1.0,LGBM,0.01993711583381408,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",0.24699980359915186,0.9
CA_1_FOODS_3_555,9.0,1.0,LGBM,0.03802659689438253,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-0.7723535273426851,0.9
CA_1_FOODS_3_586,9.0,1.0,LGBM,0.02296996157151369,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-0.13448457416866066,0.9
CA_1_FOODS_3_694,9.0,1.0,LGBM,0.02429990180898122,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",0.06386723100021319,0.9
CA_3_FOODS_3_228,9.0,1.0,LGBM,0.02657841977737268,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-0.0030622806392019974,0.9
CA_3_FOODS_3_252,9.0,1.0,LGBM,0.07731741836661576,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-1.1384397560747122,0.9
CA_3_FOODS_3_377,9.0,1.0,LGBM,0.038385103975849856,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-1.2271007968462966,0.9
CA_3_FOODS_3_555,9.0,1.0,LGBM,0.06508074447475125,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-1.1644178827771694,0.9
CA_3_FOODS_3_586,9.0,1.0,LGBM,0.05704715067745042,"OrderedDict([('learning_rate', 0.01), ('max_depth', 9), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 127)])",-1.309186069403511,0.9
