Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
16,9.0,1.0,SAA,0.1217812419717737,N/A,,0.9
18,9.0,1.0,SAA,0.11212233329352672,N/A,,0.9
19,9.0,1.0,SAA,0.11636662406213116,N/A,,0.9
20,9.0,1.0,SAA,0.09860000252644074,N/A,,0.9
21,9.0,1.0,SAA,0.13244063578425125,N/A,,0.9
22,9.0,1.0,SAA,0.13037336286752454,N/A,,0.9
16,9.0,1.0,MLP,0.16787113552707078,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.3784646371563507,0.9
18,9.0,1.0,MLP,0.1949338472271344,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.7385817927710634,0.9
19,9.0,1.0,MLP,0.1882840890014734,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.6180248462045579,0.9
20,9.0,1.0,MLP,0.18661686132322816,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.89266588784503,0.9
21,9.0,1.0,MLP,0.2653236900459536,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-1.003340504029079,0.9
22,9.0,1.0,MLP,0.31312079731914777,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-1.4017237143550343,0.9
16,9.0,1.0,LGBM,0.14814894125268815,"OrderedDict([('learning_rate', 0.1), ('max_depth', 4), ('min_data_in_leaf', 20), ('n_estimators', 250), ('num_leaves', 127)])",-0.21651691881271762,0.9
18,9.0,1.0,LGBM,0.17215218923937817,"OrderedDict([('learning_rate', 0.1), ('max_depth', 4), ('min_data_in_leaf', 20), ('n_estimators', 250), ('num_leaves', 127)])",-0.5353960641248732,0.9
19,9.0,1.0,LGBM,0.16746686076645118,"OrderedDict([('learning_rate', 0.1), ('max_depth', 4), ('min_data_in_leaf', 20), ('n_estimators', 250), ('num_leaves', 127)])",-0.43913138424499,0.9
20,9.0,1.0,LGBM,0.14328914410554955,"OrderedDict([('learning_rate', 0.1), ('max_depth', 4), ('min_data_in_leaf', 20), ('n_estimators', 250), ('num_leaves', 127)])",-0.4532367183979016,0.9
21,9.0,1.0,LGBM,0.23591467530378696,"OrderedDict([('learning_rate', 0.1), ('max_depth', 4), ('min_data_in_leaf', 20), ('n_estimators', 250), ('num_leaves', 127)])",-0.7812861883878088,0.9
22,9.0,1.0,LGBM,0.28231045817521155,"OrderedDict([('learning_rate', 0.1), ('max_depth', 4), ('min_data_in_leaf', 20), ('n_estimators', 250), ('num_leaves', 127)])",-1.1653998329557078,0.9
16,9.0,1.0,RFW,0.08605368666526271,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 500)])",0.29337486404344504,0.9
18,9.0,1.0,RFW,0.08950358788350656,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 500)])",0.2017327391038698,0.9
19,9.0,1.0,RFW,0.09053218519077944,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 500)])",0.2220090088508373,0.9
20,9.0,1.0,RFW,0.08087223880049942,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 500)])",0.17979475934787548,0.9
21,9.0,1.0,RFW,0.094828028091587,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 500)])",0.28399597653650677,0.9
