Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
calamari,9.0,1.0,SAA,0.036284688995215295,N/A,,0.9
chicken,9.0,1.0,SAA,0.026739273035962345,N/A,,0.9
fish,9.0,1.0,SAA,0.025798620883760195,N/A,,0.9
koefte,9.0,1.0,SAA,0.030629590942785903,N/A,,0.9
lamb,9.0,1.0,SAA,0.02432715311004785,N/A,,0.9
shrimp,9.0,1.0,SAA,0.0258652312599681,N/A,,0.9
steak,9.0,1.0,SAA,0.027869354650484294,N/A,,0.9
calamari,9.0,1.0,MLP,0.015877211180279276,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.5624266978732286,0.9
chicken,9.0,1.0,MLP,0.06504032200891086,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-1.4323893144528062,0.9
fish,9.0,1.0,MLP,0.04647526942055932,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.8014633274375815,0.9
koefte,9.0,1.0,MLP,0.09029834218856152,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-1.9480753548825707,0.9
lamb,9.0,1.0,MLP,0.045591680173058084,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.8741066809920863,0.9
shrimp,9.0,1.0,MLP,0.043346142708837666,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.6758459367005529,0.9
steak,9.0,1.0,MLP,0.03903608256894396,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.40068125216762485,0.9
calamari,9.0,1.0,LGBM,0.016477273197391562,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 31)])",0.5458890883820349,0.9
chicken,9.0,1.0,LGBM,0.04820734902051086,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 31)])",-0.802866852650614,0.9
fish,9.0,1.0,LGBM,0.03662236451497867,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 31)])",-0.4195473734811863,0.9
koefte,9.0,1.0,LGBM,0.06586985477669513,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 31)])",-1.1505300184953748,0.9
lamb,9.0,1.0,LGBM,0.03740718613832481,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 31)])",-0.5376721628341508,0.9
shrimp,9.0,1.0,LGBM,0.039873452377940925,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 31)])",-0.5415849940477238,0.9
steak,9.0,1.0,LGBM,0.03189428559656976,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 31)])",-0.1444213903250724,0.9
calamari,9.0,1.0,RFW,0.018686946863729615,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.48499084927546765,0.9
chicken,9.0,1.0,RFW,0.020178323976198294,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.24536751806752788,0.9
fish,9.0,1.0,RFW,0.02203788550442132,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.14577272933632646,0.9
koefte,9.0,1.0,RFW,0.022667203973565198,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.2599573394268937,0.9
lamb,9.0,1.0,RFW,0.01867162792000309,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.2324778885741816,0.9
shrimp,9.0,1.0,RFW,0.020070820712577722,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.22402314864891437,0.9
steak,9.0,1.0,RFW,0.018712521373495383,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.32856280282865424,0.9
calamari,9.0,1.0,KNNW,0.01568421052631579,"OrderedDict([('n_neighbors', 32)])",0.5677457638293661,0.9
chicken,9.0,1.0,KNNW,0.022911553542068374,"OrderedDict([('n_neighbors', 32)])",0.14314972171255258,0.9
fish,9.0,1.0,KNNW,0.02140999369965854,"OrderedDict([('n_neighbors', 32)])",0.1701109219704151,0.9
koefte,9.0,1.0,KNNW,0.024153558600451933,"OrderedDict([('n_neighbors', 32)])",0.21143058535880477,0.9
lamb,9.0,1.0,KNNW,0.019086125776567285,"OrderedDict([('n_neighbors', 32)])",0.2154394026202705,0.9
shrimp,9.0,1.0,KNNW,0.023188302784401992,"OrderedDict([('n_neighbors', 32)])",0.10349524613411132,0.9
steak,9.0,1.0,KNNW,0.016655395106480664,"OrderedDict([('n_neighbors', 32)])",0.40237600348627955,0.9
calamari,9.0,1.0,DTW,0.015947368421052627,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.5604931759741543,0.9
chicken,9.0,1.0,DTW,0.018533177062946635,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.30689300946884823,0.9
fish,9.0,1.0,DTW,0.021672645022137657,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.1599300939462145,0.9
koefte,9.0,1.0,DTW,0.024727651961114656,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.19268748945082836,0.9
lamb,9.0,1.0,DTW,0.02092409922052249,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.13988705847047078,0.9
shrimp,9.0,1.0,DTW,0.02214927536911487,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.1436660609566811,0.9
steak,9.0,1.0,DTW,0.021179596697201,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.24003993049645456,0.9
calamari,9.0,1.0,GKW,0.016353016688061616,"OrderedDict([('kernel_bandwidth', 2.0)])",0.549313577133925,0.9
chicken,9.0,1.0,GKW,0.01977468295697028,"OrderedDict([('kernel_bandwidth', 2.0)])",0.26046295535503927,0.9
fish,9.0,1.0,GKW,0.023520661150976018,"OrderedDict([('kernel_bandwidth', 2.0)])",0.08829773277602271,0.9
koefte,9.0,1.0,GKW,0.025054268865754077,"OrderedDict([('kernel_bandwidth', 2.0)])",0.18202404620571544,0.9
lamb,9.0,1.0,GKW,0.016732201270017774,"OrderedDict([('kernel_bandwidth', 2.0)])",0.3122006017585811,0.9
shrimp,9.0,1.0,GKW,0.021951518722703046,"OrderedDict([('kernel_bandwidth', 2.0)])",0.15131171640913765,0.9
steak,9.0,1.0,GKW,0.017369288298311095,"OrderedDict([('kernel_bandwidth', 2.0)])",0.37676029760490837,0.9
calamari,7.5,2.5,SAA,0.060657894736842084,N/A,,0.75
chicken,7.5,2.5,SAA,0.04530984719864178,N/A,,0.75
fish,7.5,2.5,SAA,0.043627450980392155,N/A,,0.75
koefte,7.5,2.5,SAA,0.05699592290585621,N/A,,0.75
lamb,7.5,2.5,SAA,0.044574860446570976,N/A,,0.75
shrimp,7.5,2.5,SAA,0.038377192982456135,N/A,,0.75
steak,7.5,2.5,SAA,0.04289955070603337,N/A,,0.75
calamari,7.5,2.5,MLP,0.02373748294153307,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.6086662248250512,0.75
chicken,7.5,2.5,MLP,0.058890078181307405,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.2997191962075898,0.75
fish,7.5,2.5,MLP,0.049103636327065325,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.1255215517664412,0.75
koefte,7.5,2.5,MLP,0.07808947733383152,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.3700888300873184,0.75
lamb,7.5,2.5,MLP,0.04708657743509011,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.05634828608223619,0.75
shrimp,7.5,2.5,MLP,0.0444794790163179,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.15900813893948373,0.75
steak,7.5,2.5,MLP,0.03681876156711519,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.14174482107251973,0.75
calamari,7.5,2.5,LGBM,0.02387687792040659,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 127)])",0.6063681731126027,0.75
chicken,7.5,2.5,LGBM,0.04372662207398863,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 127)])",0.034942186357684535,0.75
fish,7.5,2.5,LGBM,0.03960520524244832,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 127)])",0.09219529556635297,0.75
koefte,7.5,2.5,LGBM,0.05998438224453153,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 127)])",-0.0524328616208487,0.75
lamb,7.5,2.5,LGBM,0.034783237913671015,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 127)])",0.21966692514128117,0.75
shrimp,7.5,2.5,LGBM,0.04166885582545447,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 127)])",-0.08577132893755679,0.75
steak,7.5,2.5,LGBM,0.033804133218302244,"OrderedDict([('learning_rate', 0.1), ('max_depth', 2), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 127)])",0.21201661411460782,0.75
calamari,7.5,2.5,RFW,0.029885248970223977,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.5073147675190839,0.75
chicken,7.5,2.5,RFW,0.03347110602381661,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.2612840675211999,0.75
fish,7.5,2.5,RFW,0.03814822549225663,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.1255912359078255,0.75
koefte,7.5,2.5,RFW,0.040904120930448,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.2823325100286219,0.75
lamb,7.5,2.5,RFW,0.032378394257673644,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.2736175967060279,0.75
shrimp,7.5,2.5,RFW,0.03657536009254041,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.04695061701723269,0.75
steak,7.5,2.5,RFW,0.03087245797526497,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.2803547480761126,0.75
calamari,7.5,2.5,KNNW,0.025921052631578952,"OrderedDict([('n_neighbors', 32)])",0.5726681127982645,0.75
chicken,7.5,2.5,KNNW,0.03717750238017509,"OrderedDict([('n_neighbors', 32)])",0.17948294512700247,0.75
fish,7.5,2.5,KNNW,0.04149930520802174,"OrderedDict([('n_neighbors', 32)])",0.04877997051276006,0.75
koefte,7.5,2.5,KNNW,0.04737219022707527,"OrderedDict([('n_neighbors', 32)])",0.16884949287823747,0.75
lamb,7.5,2.5,KNNW,0.03707569877202744,"OrderedDict([('n_neighbors', 32)])",0.16823746837148934,0.75
shrimp,7.5,2.5,KNNW,0.03481900583134943,"OrderedDict([('n_neighbors', 32)])",0.09271619090883765,0.75
steak,7.5,2.5,KNNW,0.029819839203284296,"OrderedDict([('n_neighbors', 32)])",0.30489157316301574,0.75
calamari,7.5,2.5,DTW,0.029371756856931063,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.5157801472610062,0.75
