binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9,0.75,0.5,0.25,0.1
20,False,0.3634663341645885,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
20,True,0.3827930174563591,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
100,False,0.3167082294264339,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
100,True,0.355361596009975,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
400,False,0.3229426433915212,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
400,True,0.3416458852867831,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
20,False,0.3420658682634732,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
20,True,0.4214071856287426,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
100,False,0.3532934131736529,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
100,True,0.3854790419161679,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
400,False,0.3428143712574852,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
400,True,0.3847305389221557,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
20,False,0.7487725040916532,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
20,True,0.7757774140752864,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
100,False,0.5703764320785598,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
100,True,0.7193126022913259,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
400,False,0.5008183306055648,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
400,True,0.6775777414075288,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_CO,air,,,,,,,,,
