binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9.1,0.75.1,0.5.1,0.25.1,0.1.1,0.9,0.75,0.5,0.25,0.1
20,False,0.7228608711862302,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
20,True,0.7552973342447029,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.6456223202634688,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
100,True,0.7684707636860748,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
400,True,0.7350400795376872,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.9126611957796014,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
20,True,1.1584603360687766,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.9162433242151882,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
100,True,1.1197082193565195,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
400,False,0.8810733359385176,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
400,True,1.1115670183665494,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.8943182687160665,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
20,True,1.2085340674466625,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,,,,,,,,,,,
