binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.8023839205196964,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,0.9126952747621939,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.7814059498758653,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,0.8427711537835721,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.7859472022445491,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,0.8180669363137244,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,0.9740619092421041,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.1321141375122752,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.9540413427819394,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,1.0856215154535098,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.9482655766420635,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,1.0519587492150073,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,0.8683620660738709,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.0565637403365695,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.8161806934859729,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,0.9680023301839519,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.8225513243226759,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,0.9290634860076058,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,1.0264997359813286,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.3918939711305798,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.9212584814287856,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,1.2921311240387894,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.9402372638198981,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,1.245048330648149,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,0.9859299596097666,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.1547615901163801,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.909478952922248,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,1.0906785632357798,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.9068563369087019,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,1.047071428158785,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,0.949273197076117,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
20,True,1.0614792194522569,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,False,0.921648212931019,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,True,0.9990417151332687,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
400,False,0.8906799218613164,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
400,True,0.9419073248420182,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
20,False,1.1341566835348982,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
20,True,1.3278271800433203,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,False,1.0586549710485749,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,True,1.1733135245481203,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
400,False,1.009935593198882,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
