binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9,0.75,0.5,0.25,0.1
20,False,1.6278026905829597,0,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,True,1.798206278026906,0,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,False,1.345291479820628,0,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,True,1.3901345291479823,0,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,True,1.0986547085201794,0,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,False,0.7782608695652175,1,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,True,0.9173913043478265,1,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,False,0.6695652173913043,1,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,True,0.808695652173913,1,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,False,1.0,1,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,True,0.8521739130434783,1,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,False,0.98,2,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,True,1.368,2,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,False,0.7400000000000001,2,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,True,1.14,2,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,False,1.0,2,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,True,0.9280000000000004,2,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,False,1.0842696629213484,3,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,True,1.4325842696629216,3,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,False,0.9494382022471912,3,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,True,1.3426966292134832,3,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,False,1.0,3,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,True,1.353932584269663,3,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,False,0.9120879120879122,4,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,True,1.1153846153846154,4,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,False,1.0274725274725276,4,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
100,True,1.1263736263736264,4,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,False,1.0,4,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
400,True,1.032967032967033,4,LS_KDEx_MLP,9.0,1.0,0.9,calamari,yaz,,,,,,,,,
20,False,2.2972549019607844,0,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,True,2.774117647058824,0,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,False,1.4211764705882353,0,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,True,1.8023529411764707,0,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,True,1.4603921568627454,0,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,False,1.0467601870407484,1,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,True,1.0521042084168335,1,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,False,0.798931195724783,1,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,True,0.9779559118236476,1,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,False,1.0,1,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,True,1.0033400133600534,1,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,False,2.4438138479001137,2,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,True,2.9353007945516465,2,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,False,1.8944381384790017,2,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,True,2.346197502837685,2,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,False,1.0,2,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,True,1.5925085130533487,2,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,False,1.0623946037099494,3,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,True,1.0446880269814502,3,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,False,1.2209106239460372,3,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,True,1.071669477234401,3,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,False,1.0,3,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,True,1.0227655986509274,3,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,False,1.1699507389162562,4,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,True,1.1933497536945816,4,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,False,1.1145320197044335,4,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
100,True,1.1761083743842369,4,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,False,1.0,4,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
400,True,1.0689655172413792,4,LS_KDEx_MLP,9.0,1.0,0.9,chicken,yaz,,,,,,,,,
20,False,1.5489510489510487,0,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,True,1.9615384615384612,0,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,False,1.367132867132867,0,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,True,1.6783216783216783,0,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,True,1.3986013986013983,0,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,False,0.7988165680473372,1,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,True,0.9970414201183432,1,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,False,0.8964497041420119,1,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,True,1.0118343195266273,1,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,False,1.0,1,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,True,1.0798816568047338,1,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,False,1.926356589147287,2,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,True,1.767441860465116,2,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,False,1.1046511627906974,2,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,True,1.3527131782945736,2,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,False,1.0,2,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,True,1.162790697674419,2,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,False,1.0180722891566265,3,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,True,1.0662650602409638,3,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,False,0.8072289156626505,3,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,True,0.8433734939759037,3,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,False,1.0,3,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,True,0.8012048192771085,3,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,False,1.1991150442477878,4,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,True,1.4823008849557524,4,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,False,1.1017699115044248,4,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
100,True,1.331858407079646,4,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,False,1.0,4,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
400,True,1.2654867256637168,4,LS_KDEx_MLP,9.0,1.0,0.9,fish,yaz,,,,,,,,,
20,False,1.484398216939079,0,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,True,2.136701337295692,0,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,False,0.8736998514115899,0,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,True,1.3610698365527494,0,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,True,1.1872213967310552,0,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,False,2.1676300578034686,1,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,True,2.225433526011561,1,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,False,1.3945086705202308,1,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,True,1.71242774566474,1,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,False,1.0,1,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,True,1.0968208092485552,1,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,False,1.2235915492957747,2,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,True,1.2323943661971837,2,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,False,1.2429577464788732,2,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,True,1.223591549295775,2,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,False,1.0,2,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,True,1.1619718309859155,2,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,False,0.9803328290468988,3,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,True,0.8608169440242059,3,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,False,1.1028744326777609,3,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,True,0.8623298033282906,3,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,False,1.0,3,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,True,0.8608169440242059,3,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,False,2.309243697478992,4,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,True,2.563025210084034,4,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,False,1.7109243697478995,4,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
100,True,1.8840336134453783,4,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,False,1.0,4,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
400,True,1.267226890756303,4,LS_KDEx_MLP,9.0,1.0,0.9,koefte,yaz,,,,,,,,,
20,False,1.1781333333333333,0,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,True,1.304,0,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,False,0.968,0,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,True,1.1216000000000002,0,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,True,1.145066666666667,0,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,False,1.0143218197135635,1,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,True,1.6057287278854255,1,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,False,0.8989048020219038,1,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,True,1.3799494524010112,1,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,False,1.0,1,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,True,1.1246840775063187,1,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,False,1.724933451641526,2,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,True,1.83318544809228,2,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,False,1.2653061224489794,2,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,True,1.5820763087843832,2,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,False,1.0,2,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,True,1.1535048802129546,2,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,False,1.843301435406699,3,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,True,1.906698564593302,3,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,False,1.6459330143540676,3,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,True,1.7894736842105263,3,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,False,1.0,3,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,True,1.3959330143540671,3,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,False,1.0568862275449105,4,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,True,1.43562874251497,4,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,False,1.089820359281437,4,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
100,True,1.1766467065868262,4,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,False,1.0,4,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
400,True,1.065868263473054,4,LS_KDEx_MLP,9.0,1.0,0.9,lamb,yaz,,,,,,,,,
20,False,1.5849673202614378,0,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
20,True,1.687908496732026,0,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
100,False,1.4477124183006531,0,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
100,True,1.6176470588235294,0,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
400,True,1.411764705882353,0,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
20,False,3.576826196473552,1,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
20,True,3.596977329974812,1,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
100,False,2.8715365239294712,1,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
100,True,3.221662468513854,1,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
400,False,1.0,1,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
400,True,2.546599496221663,1,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
20,False,1.2,2,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
20,True,1.576,2,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
100,False,0.9013333333333332,2,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
100,True,1.2986666666666666,2,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
400,False,1.0,2,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
400,True,1.264,2,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
20,False,2.367272727272727,3,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
20,True,2.756363636363637,3,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
100,False,2.1272727272727274,3,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
100,True,2.5490909090909093,3,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
400,False,1.0,3,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
400,True,1.9563636363636363,3,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
20,False,1.3563218390804597,4,LS_KDEx_MLP,9.0,1.0,0.9,shrimp,yaz,,,,,,,,,
