Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
Location_1_max_CO,9.0,1.0,SAA,0.088848797250859,,,0.9
Location_1_max_CO,9.0,1.0,LS_KDEx_MLP,0.123840206185567,"{'binSize': 400, 'weightsByDistance': False}",-0.3938309804679949,0.9
Location_1_max_CO,9.0,1.0,DRF,0.1283613974799541,"OrderedDict([('min_node_size', 2), ('num_features', 13), ('num_trees', 100)])",-0.44471733384903,0.9
Location_1_max_NO2,9.0,1.0,SAA,2.2273539518900347,,,0.9
Location_1_max_NO2,9.0,1.0,LS_KDEx_MLP,1.7001288659793812,"{'binSize': 400, 'weightsByDistance': False}",0.2367046716860037,0.9
Location_1_max_NO2,9.0,1.0,DRF,3.212818203110388,"OrderedDict([('min_node_size', 2), ('num_features', 3), ('num_trees', 250)])",-0.4424372023962026,0.9
Location_1_max_O3,9.0,1.0,SAA,0.0027195876288659,,,0.9
Location_1_max_O3,9.0,1.0,LS_KDEx_MLP,0.001952147766323,"{'binSize': 400, 'weightsByDistance': False}",0.2821897902451352,0.9
Location_1_max_O3,9.0,1.0,DRF,0.002398552121446,"OrderedDict([('min_node_size', 2), ('num_features', 13), ('num_trees', 100)])",0.1180456566327896,0.9
Location_1_max_PM10,9.0,1.0,SAA,3.04823883161512,,,0.9
Location_1_max_PM10,9.0,1.0,LS_KDEx_MLP,2.498152920962199,"{'binSize': 100, 'weightsByDistance': False}",0.1804602398432986,0.9
Location_1_max_PM10,9.0,1.0,DRF,2.637637667792307,"OrderedDict([('min_node_size', 8), ('num_features', 13), ('num_trees', 20)])",0.1347011131687652,0.9
Location_1_max_PM2.5,9.0,1.0,SAA,1.1716680985108816,,,0.9
Location_1_max_PM2.5,9.0,1.0,LS_KDEx_MLP,1.3431386025200456,"{'binSize': 100, 'weightsByDistance': False}",-0.146347335245444,0.9
Location_1_max_PM2.5,9.0,1.0,DRF,1.2176113051546902,"OrderedDict([('min_node_size', 4), ('num_features', 13), ('num_trees', 20)])",-0.0392117927442077,0.9
Location_1_max_SO2,9.0,1.0,SAA,0.3659278350515463,,,0.9
Location_1_max_SO2,9.0,1.0,LS_KDEx_MLP,0.3995103092783505,"{'binSize': 100, 'weightsByDistance': False}",-0.0917734892238344,0.9
Location_1_max_SO2,9.0,1.0,DRF,0.3433601974238944,"OrderedDict([('min_node_size', 2), ('num_features', 13), ('num_trees', 100)])",0.0616723721617759,0.9
Location_2_max_CO,9.0,1.0,SAA,0.0613441330998248,,,0.9
Location_2_max_CO,9.0,1.0,LS_KDEx_MLP,0.0538222416812609,"{'binSize': 400, 'weightsByDistance': False}",0.1226179430447504,0.9
Location_2_max_CO,9.0,1.0,DRF,0.0605297723292469,"OrderedDict([('min_node_size', 2), ('num_features', 3), ('num_trees', 100)])",0.0132752837056598,0.9
Location_2_max_NO2,9.0,1.0,SAA,1.9885989492119085,,,0.9
Location_2_max_NO2,9.0,1.0,LS_KDEx_MLP,2.1133296847635723,"{'binSize': 400, 'weightsByDistance': False}",-0.0627229213819584,0.9
Location_2_max_NO2,9.0,1.0,DRF,2.2973999617601413,"OrderedDict([('min_node_size', 8), ('num_features', 13), ('num_trees', 50)])",-0.1552857164440382,0.9
Location_2_max_O3,9.0,1.0,SAA,0.0029487302977232,,,0.9
Location_2_max_O3,9.0,1.0,LS_KDEx_MLP,0.0017225919439579,"{'binSize': 400, 'weightsByDistance': False}",0.4158190915974996,0.9
Location_2_max_O3,9.0,1.0,DRF,0.0024205922613407,"OrderedDict([('min_node_size', 2), ('num_features', 3), ('num_trees', 500)])",0.1791069318175152,0.9
Location_2_max_PM10,9.0,1.0,SAA,1.7785135726795094,,,0.9
Location_2_max_PM10,9.0,1.0,LS_KDEx_MLP,1.6285938412142438,"{'binSize': 100, 'weightsByDistance': False}",0.084294960560462,0.9
Location_2_max_PM10,9.0,1.0,DRF,1.5447053758199576,"OrderedDict([('min_node_size', 2), ('num_features', 13), ('num_trees', 500)])",0.1314627003421156,0.9
Location_2_max_PM2.5,9.0,1.0,SAA,1.0752765615878574,,,0.9
Location_2_max_PM2.5,9.0,1.0,LS_KDEx_MLP,1.4017863397548158,"{'binSize': 400, 'weightsByDistance': False}",-0.3036519067102163,0.9
Location_2_max_PM2.5,9.0,1.0,DRF,1.1307272194734357,"OrderedDict([('min_node_size', 2), ('num_features', 13), ('num_trees', 500)])",-0.0515687404212494,0.9
Location_2_max_SO2,9.0,1.0,SAA,0.7147351138353765,,,0.9
Location_2_max_SO2,9.0,1.0,LS_KDEx_MLP,0.6175985113835376,"{'binSize': 100, 'weightsByDistance': False}",0.1359057370647276,0.9
Location_2_max_SO2,9.0,1.0,DRF,0.5716332792949489,"OrderedDict([('min_node_size', 4), ('num_features', 13), ('num_trees', 500)])",0.2002166002066437,0.9
Location_3_max_CO,9.0,1.0,SAA,0.0510186335403726,,,0.9
