Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
17.0_101.0,9.0,1.0,SAA,24.32809917355372,,,0.9
17.0_101.0,9.0,1.0,LS_KDEx_MLP,18.96446280991735,"{'binSize': 400, 'weightsByDistance': False}",0.2204708360226925,0.9
17.0_101.0,9.0,1.0,DRF,16.424123804340745,"OrderedDict([('min_node_size', 4), ('num_features', 38), ('num_trees', 20)])",0.3248907903912659,0.9
17.0_109.0,9.0,1.0,SAA,4.672727272727273,,,0.9
17.0_109.0,9.0,1.0,LS_KDEx_MLP,3.143801652892562,"{'binSize': 100, 'weightsByDistance': False}",0.3272019808984789,0.9
17.0_109.0,9.0,1.0,DRF,2.3987258233393733,"OrderedDict([('min_node_size', 8), ('num_features', 38), ('num_trees', 100)])",0.4866540066783442,0.9
17.0_110.0,9.0,1.0,SAA,5.632231404958676,,,0.9
17.0_110.0,9.0,1.0,LS_KDEx_MLP,4.565289256198346,"{'binSize': 100, 'weightsByDistance': False}",0.1894350696991928,0.9
17.0_110.0,9.0,1.0,DRF,3.1079520509243044,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 250)])",0.4481845955072032,0.9
19.0_101.0,9.0,1.0,SAA,24.09504132231405,,,0.9
19.0_101.0,9.0,1.0,LS_KDEx_MLP,19.89917355371901,"{'binSize': 100, 'weightsByDistance': False}",0.174138226719259,0.9
19.0_101.0,9.0,1.0,DRF,17.248295732401505,"OrderedDict([('min_node_size', 4), ('num_features', 38), ('num_trees', 50)])",0.284155793647545,0.9
19.0_109.0,9.0,1.0,SAA,5.323553719008263,,,0.9
19.0_109.0,9.0,1.0,LS_KDEx_MLP,4.560743801652892,"{'binSize': 100, 'weightsByDistance': False}",0.1432896064581229,0.9
19.0_109.0,9.0,1.0,DRF,4.234959068958287,"OrderedDict([('min_node_size', 4), ('num_features', 38), ('num_trees', 250)])",0.2044864591415774,0.9
19.0_110.0,9.0,1.0,SAA,4.504132231404959,,,0.9
19.0_110.0,9.0,1.0,LS_KDEx_MLP,4.148760330578512,"{'binSize': 100, 'weightsByDistance': False}",0.0788990825688072,0.9
19.0_110.0,9.0,1.0,DRF,3.86439984258166,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 20)])",0.1420323285277416,0.9
2.0_101.0,9.0,1.0,SAA,32.72231404958677,,,0.9
2.0_101.0,9.0,1.0,LS_KDEx_MLP,9.260330578512397,"{'binSize': 100, 'weightsByDistance': True}",0.7170025761479012,0.9
2.0_101.0,9.0,1.0,DRF,13.36373121973312,"OrderedDict([('min_node_size', 4), ('num_features', 38), ('num_trees', 50)])",0.5916018897843845,0.9
2.0_109.0,9.0,1.0,SAA,4.725619834710742,,,0.9
2.0_109.0,9.0,1.0,LS_KDEx_MLP,1.6272727272727268,"{'binSize': 20, 'weightsByDistance': False}",0.65564882826163,0.9
2.0_109.0,9.0,1.0,DRF,1.692273785404494,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 100)])",0.6418937949738652,0.9
2.0_110.0,9.0,1.0,SAA,4.800826446280991,,,0.9
2.0_110.0,9.0,1.0,LS_KDEx_MLP,3.701652892561984,"{'binSize': 100, 'weightsByDistance': False}",0.2289550697194006,0.9
2.0_110.0,9.0,1.0,DRF,3.136818354043001,"OrderedDict([('min_node_size', 4), ('num_features', 38), ('num_trees', 50)])",0.3466086747474552,0.9
20.0_101.0,9.0,1.0,SAA,19.859504132231404,,,0.9
20.0_101.0,9.0,1.0,LS_KDEx_MLP,9.75206611570248,"{'binSize': 100, 'weightsByDistance': False}",0.5089471493965876,0.9
20.0_101.0,9.0,1.0,DRF,9.957659447834857,"OrderedDict([('min_node_size', 4), ('num_features', 38), ('num_trees', 50)])",0.4985947593890897,0.9
20.0_109.0,9.0,1.0,SAA,2.9495867768595034,,,0.9
20.0_109.0,9.0,1.0,LS_KDEx_MLP,1.7925619834710742,"{'binSize': 20, 'weightsByDistance': False}",0.3922667413841411,0.9
20.0_109.0,9.0,1.0,DRF,1.9066193670467924,"OrderedDict([('min_node_size', 4), ('num_features', 38), ('num_trees', 50)])",0.3535978049519139,0.9
20.0_110.0,9.0,1.0,SAA,4.333057851239668,,,0.9
20.0_110.0,9.0,1.0,LS_KDEx_MLP,2.8999999999999995,"{'binSize': 100, 'weightsByDistance': False}",0.3307266831966431,0.9
20.0_110.0,9.0,1.0,DRF,3.2709270970389643,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 100)])",0.2451226802561228,0.9
21.0_101.0,9.0,1.0,SAA,15.233884297520657,,,0.9
21.0_101.0,9.0,1.0,LS_KDEx_MLP,12.974380165289254,"{'binSize': 100, 'weightsByDistance': False}",0.1483209461292246,0.9
21.0_101.0,9.0,1.0,DRF,11.71972773734488,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 100)])",0.230680271133982,0.9
21.0_109.0,9.0,1.0,SAA,2.727272727272727,,,0.9
21.0_109.0,9.0,1.0,LS_KDEx_MLP,2.604132231404958,"{'binSize': 400, 'weightsByDistance': False}",0.0451515151515152,0.9
21.0_109.0,9.0,1.0,DRF,2.3883649917035923,"OrderedDict([('min_node_size', 16), ('num_features', 38), ('num_trees', 10)])",0.1242661697086827,0.9
21.0_110.0,9.0,1.0,SAA,4.371074380165289,,,0.9
21.0_110.0,9.0,1.0,LS_KDEx_MLP,4.705785123966942,"{'binSize': 400, 'weightsByDistance': True}",-0.0765740215541692,0.9
21.0_110.0,9.0,1.0,DRF,4.054074623542325,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 50)])",0.0725221602408368,0.9
24.0_101.0,9.0,1.0,SAA,39.41157024793389,,,0.9
24.0_101.0,9.0,1.0,LS_KDEx_MLP,18.932231404958674,"{'binSize': 100, 'weightsByDistance': False}",0.5196275792652241,0.9
24.0_101.0,9.0,1.0,DRF,20.1343397892886,"OrderedDict([('min_node_size', 2), ('num_features', 6), ('num_trees', 500)])",0.4891261712581949,0.9
24.0_109.0,9.0,1.0,SAA,7.039669421487603,,,0.9
24.0_109.0,9.0,1.0,LS_KDEx_MLP,3.3768595041322307,"{'binSize': 100, 'weightsByDistance': False}",0.5203099319088988,0.9
24.0_109.0,9.0,1.0,DRF,3.5641598948954303,"OrderedDict([('min_node_size', 2), ('num_features', 6), ('num_trees', 50)])",0.4937035134041476,0.9
24.0_110.0,9.0,1.0,SAA,5.846280991735539,,,0.9
24.0_110.0,9.0,1.0,LS_KDEx_MLP,5.875206611570249,"{'binSize': 20, 'weightsByDistance': False}",-0.0049476957873901,0.9
24.0_110.0,9.0,1.0,DRF,5.4217147836917965,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 250)])",0.0726215877485055,0.9
25.0_101.0,9.0,1.0,SAA,10.535537190082646,,,0.9
25.0_101.0,9.0,1.0,LS_KDEx_MLP,11.06611570247934,"{'binSize': 400, 'weightsByDistance': True}",-0.0503608409162219,0.9
25.0_101.0,9.0,1.0,DRF,8.762066018048428,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 100)])",0.1683322966866491,0.9
25.0_109.0,9.0,1.0,SAA,1.2884297520661152,,,0.9
25.0_109.0,9.0,1.0,LS_KDEx_MLP,1.1115702479338845,"{'binSize': 20, 'weightsByDistance': False}",0.137267479153303,0.9
25.0_109.0,9.0,1.0,DRF,1.2203030303030302,"OrderedDict([('min_node_size', 2), ('num_features', 6), ('num_trees', 20)])",0.0528757750694887,0.9
25.0_110.0,9.0,1.0,SAA,1.5876033057851238,,,0.9
25.0_110.0,9.0,1.0,LS_KDEx_MLP,1.5107438016528925,"{'binSize': 100, 'weightsByDistance': False}",0.0484122852680894,0.9
25.0_110.0,9.0,1.0,DRF,1.3740495867768592,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 20)])",0.1345132743362832,0.9
26.0_101.0,9.0,1.0,SAA,37.8595041322314,,,0.9
26.0_101.0,9.0,1.0,LS_KDEx_MLP,16.01487603305785,"{'binSize': 20, 'weightsByDistance': False}",0.576991923160882,0.9
26.0_101.0,9.0,1.0,DRF,19.277055322918336,"OrderedDict([('min_node_size', 4), ('num_features', 38), ('num_trees', 50)])",0.4908265238871165,0.9
26.0_109.0,9.0,1.0,SAA,7.559504132231403,,,0.9
26.0_109.0,9.0,1.0,LS_KDEx_MLP,2.1,"{'binSize': 100, 'weightsByDistance': False}",0.7222040013119055,0.9
26.0_109.0,9.0,1.0,DRF,3.525504774218126,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 50)])",0.5336328001744908,0.9
26.0_110.0,9.0,1.0,SAA,8.445454545454544,,,0.9
26.0_110.0,9.0,1.0,LS_KDEx_MLP,4.552066115702479,"{'binSize': 100, 'weightsByDistance': False}",0.4610040121342597,0.9
26.0_110.0,9.0,1.0,DRF,5.735078921851433,"OrderedDict([('min_node_size', 16), ('num_features', 38), ('num_trees', 20)])",0.3209271459594641,0.9
