Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
CA_1_FOODS_3_080,9.0,1.0,SAA,1.2428571428571429,,,0.9
CA_1_FOODS_3_080,9.0,1.0,LS_KDEx_MLP,1.2714285714285716,"{'binSize': 400, 'weightsByDistance': False}",-0.0229885057471266,0.9
CA_1_FOODS_3_080,9.0,1.0,DRF,1.1178571428571429,"OrderedDict([('min_node_size', 2), ('num_features', 7), ('num_trees', 250)])",0.1005747126436781,0.9
CA_1_FOODS_3_226,9.0,1.0,SAA,0.8035714285714285,,,0.9
CA_1_FOODS_3_226,9.0,1.0,LS_KDEx_MLP,0.5892857142857143,"{'binSize': 400, 'weightsByDistance': False}",0.2666666666666666,0.9
CA_1_FOODS_3_226,9.0,1.0,DRF,0.6214285714285713,"OrderedDict([('min_node_size', 4), ('num_features', 59), ('num_trees', 250)])",0.2266666666666666,0.9
CA_1_FOODS_3_228,9.0,1.0,SAA,0.7035714285714285,,,0.9
CA_1_FOODS_3_228,9.0,1.0,LS_KDEx_MLP,1.1071428571428572,"{'binSize': 400, 'weightsByDistance': False}",-0.5736040609137059,0.9
CA_1_FOODS_3_228,9.0,1.0,DRF,0.7857142857142856,"OrderedDict([('min_node_size', 4), ('num_features', 7), ('num_trees', 20)])",-0.116751269035533,0.9
CA_1_FOODS_3_252,9.0,1.0,SAA,3.821428571428572,,,0.9
CA_1_FOODS_3_252,9.0,1.0,LS_KDEx_MLP,2.217857142857143,"{'binSize': 400, 'weightsByDistance': False}",0.4196261682242991,0.9
CA_1_FOODS_3_252,9.0,1.0,DRF,2.6689064625850345,"OrderedDict([('min_node_size', 2), ('num_features', 7), ('num_trees', 50)])",0.3015945705384958,0.9
CA_1_FOODS_3_377,9.0,1.0,SAA,0.85,,,0.9
CA_1_FOODS_3_377,9.0,1.0,LS_KDEx_MLP,0.6357142857142859,"{'binSize': 400, 'weightsByDistance': False}",0.2521008403361342,0.9
CA_1_FOODS_3_377,9.0,1.0,DRF,0.7209523809523812,"OrderedDict([('min_node_size', 4), ('num_features', 59), ('num_trees', 20)])",0.1518207282913162,0.9
CA_1_FOODS_3_555,9.0,1.0,SAA,1.4464285714285714,,,0.9
