Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
16,9.0,1.0,SAA,0.10145422883804714,N/A,,0.9
16,9.0,1.0,LS_KDEx_LGBM,0.08254673673435999,"{'binSize': 100, 'weightsByDistance': False}",0.1863647510826726,0.9
16,9.0,1.0,LS_KDEx_MLP,0.09771655144683712,"{'binSize': 400, 'weightsByDistance': False}",0.03684102115818677,0.9
16,9.0,1.0,DRF,0.08829161340994077,"OrderedDict([('min_node_size', 2), ('num_features', 79), ('num_trees', 50)])",0.12973944584525943,0.9
18,9.0,1.0,SAA,0.10959491227328333,N/A,,0.9
18,9.0,1.0,LS_KDEx_LGBM,0.08948438472519113,"{'binSize': 100, 'weightsByDistance': False}",0.18349873302462305,0.9
18,9.0,1.0,LS_KDEx_MLP,0.1148146257509297,"{'binSize': 400, 'weightsByDistance': False}",-0.04762733387322404,0.9
18,9.0,1.0,DRF,0.09440659146909805,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",0.1385860026632626,0.9
19,9.0,1.0,SAA,0.10906458237843332,N/A,,0.9
19,9.0,1.0,LS_KDEx_LGBM,0.09776008665764038,"{'binSize': 100, 'weightsByDistance': False}",0.10364955766821249,0.9
19,9.0,1.0,LS_KDEx_MLP,0.10937650141405636,"{'binSize': 400, 'weightsByDistance': False}",-0.002859948012643887,0.9
19,9.0,1.0,DRF,0.09518230056909092,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 50)])",0.12728496737074113,0.9
20,9.0,1.0,SAA,0.09093668798023283,N/A,,0.9
20,9.0,1.0,LS_KDEx_LGBM,0.07403822990650047,"{'binSize': 100, 'weightsByDistance': False}",0.18582662783370363,0.9
20,9.0,1.0,LS_KDEx_MLP,0.09076235871900648,"{'binSize': 400, 'weightsByDistance': False}",0.001917039921931596,0.9
20,9.0,1.0,DRF,0.08117255540777552,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 100)])",0.10737286335499452,0.9
21,9.0,1.0,SAA,0.12776897655670327,N/A,,0.9
21,9.0,1.0,LS_KDEx_LGBM,0.10481780573017133,"{'binSize': 100, 'weightsByDistance': False}",0.17963023141495016,0.9
21,9.0,1.0,LS_KDEx_MLP,0.11888364925666227,"{'binSize': 400, 'weightsByDistance': False}",0.0695421340883774,0.9
21,9.0,1.0,DRF,0.10454232179733805,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 100)])",0.18178634113937153,0.9
22,9.0,1.0,SAA,0.10569021924392626,N/A,,0.9
22,9.0,1.0,LS_KDEx_LGBM,0.08553641990549944,"{'binSize': 100, 'weightsByDistance': False}",0.19068745890206862,0.9
22,9.0,1.0,LS_KDEx_MLP,0.12161819654445773,"{'binSize': 400, 'weightsByDistance': False}",-0.15070436426828415,0.9
22,9.0,1.0,DRF,0.08997385010861558,"OrderedDict([('min_node_size', 2), ('num_features', 79), ('num_trees', 500)])",0.14870220960596459,0.9
16,7.5,2.5,SAA,0.1804143884983535,N/A,,0.75
16,7.5,2.5,LS_KDEx_LGBM,0.15225818590630663,"{'binSize': 100, 'weightsByDistance': False}",0.15606406355058444,0.75
16,7.5,2.5,LS_KDEx_MLP,0.1710270269911845,"{'binSize': 400, 'weightsByDistance': False}",0.05203222196024948,0.75
16,7.5,2.5,DRF,0.1595301656139591,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 50)])",0.11575696959771586,0.75
18,7.5,2.5,SAA,0.19398871885511,N/A,,0.75
18,7.5,2.5,LS_KDEx_LGBM,0.15125710498252665,"{'binSize': 100, 'weightsByDistance': False}",0.2202788601562936,0.75
18,7.5,2.5,LS_KDEx_MLP,0.19264155264026298,"{'binSize': 400, 'weightsByDistance': False}",0.006944559574380227,0.75
18,7.5,2.5,DRF,0.1663066419334938,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 50)])",0.14269941615672976,0.75
19,7.5,2.5,SAA,0.19369847535382678,N/A,,0.75
19,7.5,2.5,LS_KDEx_LGBM,0.1583368478292079,"{'binSize': 100, 'weightsByDistance': False}",0.18256017482855347,0.75
19,7.5,2.5,LS_KDEx_MLP,0.18470516696708789,"{'binSize': 400, 'weightsByDistance': False}",0.04642942269065842,0.75
19,7.5,2.5,DRF,0.1644658945118373,"OrderedDict([('min_node_size', 2), ('num_features', 79), ('num_trees', 50)])",0.15091797077179192,0.75
20,7.5,2.5,SAA,0.1674589037887496,N/A,,0.75
20,7.5,2.5,LS_KDEx_LGBM,0.12828950373654482,"{'binSize': 100, 'weightsByDistance': False}",0.23390455309332026,0.75
20,7.5,2.5,LS_KDEx_MLP,0.16038975182011872,"{'binSize': 400, 'weightsByDistance': False}",0.042214249637921086,0.75
20,7.5,2.5,DRF,0.14757301458788416,"OrderedDict([('min_node_size', 4), ('num_features', 79), ('num_trees', 20)])",0.11875086215750952,0.75
21,7.5,2.5,SAA,0.22004264677446378,N/A,,0.75
21,7.5,2.5,LS_KDEx_LGBM,0.1718671692095128,"{'binSize': 100, 'weightsByDistance': False}",0.21893700276351058,0.75
21,7.5,2.5,LS_KDEx_MLP,0.19574022537988423,"{'binSize': 400, 'weightsByDistance': False}",0.11044414230978006,0.75
21,7.5,2.5,DRF,0.1885867228376145,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 20)])",0.1429537610002053,0.75
22,7.5,2.5,SAA,0.1841860850655937,N/A,,0.75
22,7.5,2.5,LS_KDEx_LGBM,0.15564882117703613,"{'binSize': 100, 'weightsByDistance': False}",0.15493713261995157,0.75
22,7.5,2.5,LS_KDEx_MLP,0.1875659217253894,"{'binSize': 400, 'weightsByDistance': False}",-0.018350119438132806,0.75
22,7.5,2.5,DRF,0.16124974254241822,"OrderedDict([('min_node_size', 8), ('num_features', 79), ('num_trees', 50)])",0.12452809621859984,0.75
16,5.0,5.0,SAA,0.22748230631976227,N/A,,0.5
