Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
calamari,9.0,1.0,SAA,0.5118421052631579,,,0.9
calamari,9.0,1.0,LS_KDEx_MLP,0.4592105263157893,"{'binSize': 100, 'weightsByDistance': False}",0.1028277634961443,0.9
calamari,9.0,1.0,DRF,0.5106404958677683,"OrderedDict([('min_node_size', 4), ('num_features', 57), ('num_trees', 50)])",0.0023476173277534,0.9
chicken,9.0,1.0,SAA,2.4618421052631576,,,0.9
chicken,9.0,1.0,LS_KDEx_MLP,2.4618421052631576,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
chicken,9.0,1.0,DRF,1.8702009719155843,"OrderedDict([('min_node_size', 4), ('num_features', 57), ('num_trees', 50)])",0.2403245651224775,0.9
fish,9.0,1.0,SAA,0.4078947368421051,,,0.9
fish,9.0,1.0,LS_KDEx_MLP,0.4078947368421051,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
fish,9.0,1.0,DRF,0.4096929824561383,"OrderedDict([('min_node_size', 4), ('num_features', 7), ('num_trees', 100)])",-0.0044086021505329,0.9
koefte,9.0,1.0,SAA,2.3881578947368425,,,0.9
koefte,9.0,1.0,LS_KDEx_MLP,2.3881578947368425,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
koefte,9.0,1.0,DRF,1.8923186708049269,"OrderedDict([('min_node_size', 2), ('num_features', 57), ('num_trees', 250)])",0.207624137844769,0.9
lamb,9.0,1.0,SAA,2.0618421052631577,,,0.9
lamb,9.0,1.0,LS_KDEx_MLP,2.0618421052631577,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
lamb,9.0,1.0,DRF,1.8351113904757057,"OrderedDict([('min_node_size', 4), ('num_features', 57), ('num_trees', 250)])",0.1099651201266519,0.9
shrimp,9.0,1.0,SAA,0.8394736842105261,,,0.9
shrimp,9.0,1.0,LS_KDEx_MLP,0.8394736842105261,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
shrimp,9.0,1.0,DRF,0.8045133481955545,"OrderedDict([('min_node_size', 8), ('num_features', 57), ('num_trees', 50)])",0.0416455413344489,0.9
steak,9.0,1.0,SAA,1.988157894736842,,,0.9
steak,9.0,1.0,LS_KDEx_MLP,1.9710526315789467,"{'binSize': 400, 'weightsByDistance': True}",0.0086035737921909,0.9
steak,9.0,1.0,DRF,1.607776629370602,"OrderedDict([('min_node_size', 2), ('num_features', 57), ('num_trees', 250)])",0.1913234690128011,0.9
calamari,7.5,2.5,SAA,0.805921052631579,,,0.75
calamari,7.5,2.5,LS_KDEx_MLP,0.805921052631579,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.75
