Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
Location_1_max_CO,9.0,1.0,SAA,0.088848797250859,,,0.9
Location_1_max_CO,9.0,1.0,MLP,0.1681376604375665,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 13), ('layer2', 13), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.892402211848071,0.9
Location_1_max_CO,9.0,1.0,RFW,0.1065807560137457,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 8), ('n_estimators', 250)])",-0.1995745503771033,0.9
Location_1_max_CO,9.0,1.0,KNNW,0.1403350515463917,"OrderedDict([('n_neighbors', 128)])",-0.5794817250048352,0.9
Location_1_max_CO,9.0,1.0,DTW,0.138487972508591,"OrderedDict([('max_depth', 6), ('min_samples_split', 2)])",-0.5586927093405534,0.9
Location_1_max_CO,9.0,1.0,GKW,0.1323883161512027,"OrderedDict([('kernel_bandwidth', 1.5)])",-0.4900406111003681,0.9
Location_1_max_NO2,9.0,1.0,SAA,2.2273539518900347,,,0.9
Location_1_max_NO2,9.0,1.0,MLP,8.324073090607333,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 6), ('layer2', 13), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-2.737202649603082,0.9
Location_1_max_NO2,9.0,1.0,RFW,3.0650859106529214,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 500)])",-0.3761108368304122,0.9
Location_1_max_NO2,9.0,1.0,KNNW,3.79262027491409,"OrderedDict([('n_neighbors', 128)])",-0.7027470069118738,0.9
Location_1_max_NO2,9.0,1.0,DTW,4.551615120274914,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",-1.0435077758578126,0.9
Location_1_max_NO2,9.0,1.0,GKW,3.505038659793814,"OrderedDict([('kernel_bandwidth', 1.5)])",-0.5736334392742528,0.9
Location_1_max_O3,9.0,1.0,SAA,0.0027195876288659,,,0.9
Location_1_max_O3,9.0,1.0,MLP,0.00222585577656,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 13), ('layer2', 13), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",0.1815465870874606,0.9
Location_1_max_O3,9.0,1.0,RFW,0.002308676975945,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 10)])",0.1510929997472833,0.9
Location_1_max_O3,9.0,1.0,KNNW,0.0023734536082474,"OrderedDict([('n_neighbors', 32)])",0.1272744503411675,0.9
Location_1_max_O3,9.0,1.0,DTW,0.0021446735395188,"OrderedDict([('max_depth', None), ('min_samples_split', 64)])",0.2113975233762953,0.9
Location_1_max_O3,9.0,1.0,GKW,0.0029323883161512,"OrderedDict([('kernel_bandwidth', 1.5)])",-0.0782474096537779,0.9
Location_1_max_PM10,9.0,1.0,SAA,3.04823883161512,,,0.9
Location_1_max_PM10,9.0,1.0,MLP,3.718365968989073,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 39), ('layer2', 26), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",-0.2198407586779818,0.9
Location_1_max_PM10,9.0,1.0,RFW,2.474871134020618,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.1880980229133493,0.9
Location_1_max_PM10,9.0,1.0,KNNW,2.663573883161512,"OrderedDict([('n_neighbors', 128)])",0.1261925228640277,0.9
Location_1_max_PM10,9.0,1.0,DTW,2.6295103092783507,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",0.1373673604554484,0.9
Location_1_max_PM10,9.0,1.0,GKW,2.700472508591065,"OrderedDict([('kernel_bandwidth', 1.5)])",0.1140876231275453,0.9
Location_1_max_PM2.5,9.0,1.0,SAA,1.1716680985108816,,,0.9
