Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
17.0_101.0,9.0,1.0,SAA,24.328099173553714,N/A,,0.9
17.0_101.0,9.0,1.0,MLP,24.740627511546677,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 114), ('layer2', 9), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.016956866833287565,0.9
17.0_101.0,9.0,1.0,LGBM,12.13349741094836,"OrderedDict([('learning_rate', 0.05), ('max_depth', 2), ('min_data_in_leaf', 20), ('n_estimators', 50), ('num_leaves', 127)])",0.5012558390037192,0.9
17.0_101.0,9.0,1.0,RFW,36.73057851239668,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",-0.5098005910928423,0.9
17.0_101.0,9.0,1.0,KNNW,19.479338842975206,"OrderedDict([('n_neighbors', 32)])",0.1993069945986342,0.9
17.0_101.0,9.0,1.0,DTW,11.68677685950413,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.5196181676121887,0.9
17.0_101.0,9.0,1.0,GKW,21.365289256198345,"OrderedDict([('kernel_bandwidth', 2.0)])",0.1217855080341066,0.9
17.0_109.0,9.0,1.0,SAA,4.672727272727273,N/A,,0.9
17.0_109.0,9.0,1.0,MLP,4.3596120864788865,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 114), ('layer2', 19), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",0.06700908655121107,0.9
17.0_109.0,9.0,1.0,LGBM,2.3565839188864075,"OrderedDict([('learning_rate', 0.01), ('max_depth', 4), ('min_data_in_leaf', 50), ('n_estimators', 500), ('num_leaves', 31)])",0.49567270218384274,0.9
17.0_109.0,9.0,1.0,RFW,1.6826446280991734,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 10)])",0.6399009550760524,0.9
17.0_109.0,9.0,1.0,KNNW,3.5900826446280996,"OrderedDict([('n_neighbors', 32)])",0.23169437566324724,0.9
17.0_109.0,9.0,1.0,DTW,2.14297520661157,"OrderedDict([('max_depth', 4), ('min_samples_split', 2)])",0.5413866289352671,0.9
17.0_109.0,9.0,1.0,GKW,4.017355371900826,"OrderedDict([('kernel_bandwidth', 2.0)])",0.14025468694729404,0.9
17.0_110.0,9.0,1.0,SAA,5.6322314049586755,N/A,,0.9
17.0_110.0,9.0,1.0,MLP,8.73711356725426,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 114), ('layer2', 9), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.5512703472307643,0.9
17.0_110.0,9.0,1.0,LGBM,5.860472757699654,"OrderedDict([('learning_rate', 0.1), ('max_depth', 8), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 63)])",-0.040524143333321216,0.9
17.0_110.0,9.0,1.0,RFW,4.399173553719007,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 8), ('n_estimators', 250)])",0.21892883345561254,0.9
17.0_110.0,9.0,1.0,KNNW,4.914049586776859,"OrderedDict([('n_neighbors', 4)])",0.127512839325018,0.9
17.0_110.0,9.0,1.0,DTW,2.6322314049586777,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.5326485693323549,0.9
17.0_110.0,9.0,1.0,GKW,4.880991735537188,"OrderedDict([('kernel_bandwidth', 2.0)])",0.13338224504768892,0.9
19.0_101.0,9.0,1.0,SAA,24.095041322314046,N/A,,0.9
19.0_101.0,9.0,1.0,MLP,18.041100748699506,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 114), ('layer2', 38), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.25125254995964996,0.9
19.0_101.0,9.0,1.0,LGBM,17.577494453370722,"OrderedDict([('learning_rate', 0.1), ('max_depth', 9), ('min_data_in_leaf', 20), ('n_estimators', 10), ('num_leaves', 63)])",0.2704932845625595,0.9
