Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
CA_1_FOODS_3_080,9.0,1.0,SAA,1.2428571428571429,,,0.9
CA_1_FOODS_3_080,9.0,1.0,MLP,1.984576357374456,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.5967855748989879,0.9
CA_1_FOODS_3_080,9.0,1.0,RFW,1.1035714285714284,"OrderedDict([('max_depth', 8), ('max_features', 'sqrt'), ('min_samples_split', 64), ('n_estimators', 500)])",0.1120689655172413,0.9
CA_1_FOODS_3_080,9.0,1.0,KNNW,1.128571428571428,"OrderedDict([('n_neighbors', 32)])",0.0919540229885059,0.9
CA_1_FOODS_3_080,9.0,1.0,DTW,1.092857142857143,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.1206896551724135,0.9
CA_1_FOODS_3_080,9.0,1.0,GKW,1.2357142857142855,"OrderedDict([('kernel_bandwidth', 2.5)])",0.0057471264367815,0.9
CA_1_FOODS_3_226,9.0,1.0,SAA,0.8035714285714285,,,0.9
CA_1_FOODS_3_226,9.0,1.0,MLP,0.9123051737043826,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 177), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.1353131050543428,0.9
CA_1_FOODS_3_226,9.0,1.0,RFW,0.5821428571428572,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.2755555555555554,0.9
CA_1_FOODS_3_226,9.0,1.0,KNNW,0.5785714285714286,"OrderedDict([('n_neighbors', 32)])",0.2799999999999999,0.9
CA_1_FOODS_3_226,9.0,1.0,DTW,0.5392857142857143,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.3288888888888889,0.9
CA_1_FOODS_3_226,9.0,1.0,GKW,0.5928571428571427,"OrderedDict([('kernel_bandwidth', 2.5)])",0.2622222222222222,0.9
CA_1_FOODS_3_228,9.0,1.0,SAA,0.7035714285714285,,,0.9
CA_1_FOODS_3_228,9.0,1.0,MLP,2.18300622332015,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-2.1027499620794017,0.9
CA_1_FOODS_3_228,9.0,1.0,RFW,0.7999999999999999,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",-0.1370558375634518,0.9
CA_1_FOODS_3_228,9.0,1.0,KNNW,0.7428571428571428,"OrderedDict([('n_neighbors', 128)])",-0.0558375634517767,0.9
CA_1_FOODS_3_228,9.0,1.0,DTW,0.6785714285714285,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.0355329949238578,0.9
CA_1_FOODS_3_228,9.0,1.0,GKW,0.6571428571428569,"OrderedDict([('kernel_bandwidth', 2.5)])",0.0659898477157362,0.9
CA_1_FOODS_3_252,9.0,1.0,SAA,3.821428571428572,,,0.9
CA_1_FOODS_3_252,9.0,1.0,MLP,4.823579930335247,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 177), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.2622452154148307,0.9
CA_1_FOODS_3_252,9.0,1.0,RFW,1.5642857142857145,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 2), ('n_estimators', 50)])",0.5906542056074766,0.9
CA_1_FOODS_3_252,9.0,1.0,KNNW,3.2500000000000004,"OrderedDict([('n_neighbors', 32)])",0.1495327102803738,0.9
CA_1_FOODS_3_252,9.0,1.0,DTW,1.3892857142857145,"OrderedDict([('max_depth', 6), ('min_samples_split', 32)])",0.6364485981308412,0.9
CA_1_FOODS_3_252,9.0,1.0,GKW,4.010714285714285,"OrderedDict([('kernel_bandwidth', 2.5)])",-0.0495327102803735,0.9
CA_1_FOODS_3_377,9.0,1.0,SAA,0.85,,,0.9
CA_1_FOODS_3_377,9.0,1.0,MLP,1.3034711784846384,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.5334955040995746,0.9
CA_1_FOODS_3_377,9.0,1.0,RFW,0.6821428571428572,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 8), ('n_estimators', 50)])",0.1974789915966386,0.9
CA_1_FOODS_3_377,9.0,1.0,KNNW,0.7142857142857143,"OrderedDict([('n_neighbors', 128)])",0.1596638655462184,0.9
CA_1_FOODS_3_377,9.0,1.0,DTW,0.6749999999999998,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.2058823529411766,0.9
CA_1_FOODS_3_377,9.0,1.0,GKW,0.7178571428571429,"OrderedDict([('kernel_bandwidth', 2.5)])",0.1554621848739495,0.9
CA_1_FOODS_3_555,9.0,1.0,SAA,1.4464285714285714,,,0.9
CA_1_FOODS_3_555,9.0,1.0,MLP,2.884243163005474,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",-0.9940446559050192,0.9
CA_1_FOODS_3_555,9.0,1.0,RFW,1.239285714285714,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 100)])",0.1432098765432099,0.9
CA_1_FOODS_3_555,9.0,1.0,KNNW,1.242857142857143,"OrderedDict([('n_neighbors', 32)])",0.1407407407407405,0.9
CA_1_FOODS_3_555,9.0,1.0,DTW,1.2321428571428572,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.1481481481481481,0.9
CA_1_FOODS_3_555,9.0,1.0,GKW,1.2821428571428577,"OrderedDict([('kernel_bandwidth', 2.5)])",0.1135802469135798,0.9
CA_1_FOODS_3_586,9.0,1.0,SAA,2.6928571428571426,,,0.9
CA_1_FOODS_3_586,9.0,1.0,MLP,2.6552401286035763,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.0139691830119345,0.9
CA_1_FOODS_3_586,9.0,1.0,RFW,1.5749999999999995,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 8), ('n_estimators', 100)])",0.4151193633952256,0.9
CA_1_FOODS_3_586,9.0,1.0,KNNW,1.5571428571428572,"OrderedDict([('n_neighbors', 32)])",0.4217506631299734,0.9
CA_1_FOODS_3_586,9.0,1.0,DTW,1.825,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.3222811671087533,0.9
CA_1_FOODS_3_586,9.0,1.0,GKW,1.6214285714285708,"OrderedDict([('kernel_bandwidth', 2.5)])",0.3978779840848808,0.9
CA_1_FOODS_3_668,9.0,1.0,SAA,0.846428571428571,,,0.9
CA_1_FOODS_3_668,9.0,1.0,MLP,1.231920939580119,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 177), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.4554340214448671,0.9
CA_1_FOODS_3_668,9.0,1.0,RFW,0.5714285714285714,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 10)])",0.3248945147679322,0.9
CA_1_FOODS_3_668,9.0,1.0,KNNW,0.5535714285714284,"OrderedDict([('n_neighbors', 32)])",0.3459915611814345,0.9
CA_1_FOODS_3_668,9.0,1.0,DTW,0.5392857142857143,"OrderedDict([('max_depth', 4), ('min_samples_split', 4)])",0.3628691983122359,0.9
CA_1_FOODS_3_668,9.0,1.0,GKW,0.4714285714285712,"OrderedDict([('kernel_bandwidth', 2.5)])",0.4430379746835442,0.9
CA_1_FOODS_3_694,9.0,1.0,SAA,1.3428571428571427,,,0.9
CA_1_FOODS_3_694,9.0,1.0,MLP,1.3926363656466187,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",-0.037069633992163,0.9
CA_1_FOODS_3_694,9.0,1.0,RFW,0.6607142857142857,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 4), ('n_estimators', 100)])",0.5079787234042553,0.9
CA_1_FOODS_3_694,9.0,1.0,KNNW,0.5678571428571428,"OrderedDict([('n_neighbors', 32)])",0.5771276595744681,0.9
CA_1_FOODS_3_694,9.0,1.0,DTW,0.6214285714285716,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.5372340425531914,0.9
CA_1_FOODS_3_694,9.0,1.0,GKW,0.6964285714285711,"OrderedDict([('kernel_bandwidth', 2.5)])",0.4813829787234045,0.9
CA_1_FOODS_3_714,9.0,1.0,SAA,2.392857142857142,,,0.9
CA_1_FOODS_3_714,9.0,1.0,MLP,5.197277512784042,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.1719965725067647,0.9
CA_1_FOODS_3_714,9.0,1.0,RFW,1.9321428571428567,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 500)])",0.1925373134328355,0.9
CA_1_FOODS_3_714,9.0,1.0,KNNW,1.632142857142857,"OrderedDict([('n_neighbors', 32)])",0.3179104477611938,0.9
CA_1_FOODS_3_714,9.0,1.0,DTW,1.7785714285714287,"OrderedDict([('max_depth', 8), ('min_samples_split', 64)])",0.2567164179104474,0.9
CA_1_FOODS_3_714,9.0,1.0,GKW,2.039285714285714,"OrderedDict([('kernel_bandwidth', 2.5)])",0.1477611940298504,0.9
CA_2_FOODS_3_080,9.0,1.0,SAA,1.3607142857142858,,,0.9
CA_2_FOODS_3_080,9.0,1.0,MLP,1.7447865074776097,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.2822578007709466,0.9
CA_2_FOODS_3_080,9.0,1.0,RFW,1.0749999999999995,"OrderedDict([('max_depth', 8), ('max_features', 'sqrt'), ('min_samples_split', 64), ('n_estimators', 50)])",0.2099737532808401,0.9
CA_2_FOODS_3_080,9.0,1.0,KNNW,1.0857142857142856,"OrderedDict([('n_neighbors', 128)])",0.2020997375328085,0.9
CA_2_FOODS_3_080,9.0,1.0,DTW,1.0892857142857144,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.1994750656167978,0.9
CA_2_FOODS_3_080,9.0,1.0,GKW,1.0392857142857144,"OrderedDict([('kernel_bandwidth', 2.5)])",0.2362204724409448,0.9
CA_2_FOODS_3_226,9.0,1.0,SAA,0.3999999999999999,,,0.9
CA_2_FOODS_3_226,9.0,1.0,MLP,0.5881479758528371,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 59), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.4703699396320928,0.9
CA_2_FOODS_3_226,9.0,1.0,RFW,0.4035714285714285,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 8), ('n_estimators', 250)])",-0.0089285714285713,0.9
CA_2_FOODS_3_226,9.0,1.0,KNNW,0.2857142857142857,"OrderedDict([('n_neighbors', 32)])",0.2857142857142857,0.9
CA_2_FOODS_3_226,9.0,1.0,DTW,0.3928571428571428,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.0178571428571429,0.9
CA_2_FOODS_3_226,9.0,1.0,GKW,0.3285714285714286,"OrderedDict([('kernel_bandwidth', 2.5)])",0.1785714285714283,0.9
CA_2_FOODS_3_228,9.0,1.0,SAA,0.5750000000000001,,,0.9
CA_2_FOODS_3_228,9.0,1.0,MLP,0.9696930501052516,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 59), ('layer2', 118), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",-0.68642269583522,0.9
CA_2_FOODS_3_228,9.0,1.0,RFW,0.4964285714285713,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 4), ('n_estimators', 500)])",0.1366459627329196,0.9
CA_2_FOODS_3_228,9.0,1.0,KNNW,0.5142857142857141,"OrderedDict([('n_neighbors', 32)])",0.1055900621118016,0.9
CA_2_FOODS_3_228,9.0,1.0,DTW,0.4892857142857142,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",0.1490683229813666,0.9
CA_2_FOODS_3_228,9.0,1.0,GKW,0.5428571428571428,"OrderedDict([('kernel_bandwidth', 2.5)])",0.0559006211180126,0.9
CA_2_FOODS_3_252,9.0,1.0,SAA,5.757142857142855,,,0.9
CA_2_FOODS_3_252,9.0,1.0,MLP,4.158502103675296,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.2776795353417596,0.9
CA_2_FOODS_3_252,9.0,1.0,RFW,2.392857142857143,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 20)])",0.584367245657568,0.9
CA_2_FOODS_3_252,9.0,1.0,KNNW,3.935714285714286,"OrderedDict([('n_neighbors', 32)])",0.3163771712158805,0.9
CA_2_FOODS_3_252,9.0,1.0,DTW,6.19642857142857,"OrderedDict([('max_depth', 6), ('min_samples_split', 8)])",-0.0763027295285363,0.9
CA_2_FOODS_3_252,9.0,1.0,GKW,4.235714285714284,"OrderedDict([('kernel_bandwidth', 2.5)])",0.2642679900744417,0.9
CA_2_FOODS_3_377,9.0,1.0,SAA,0.4821428571428571,,,0.9
CA_2_FOODS_3_377,9.0,1.0,MLP,0.7295143328332215,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 177), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.5130667643948299,0.9
CA_2_FOODS_3_377,9.0,1.0,RFW,0.5321428571428571,"OrderedDict([('max_depth', 4), ('max_features', 'sqrt'), ('min_samples_split', 64), ('n_estimators', 10)])",-0.1037037037037038,0.9
CA_2_FOODS_3_377,9.0,1.0,KNNW,0.5392857142857143,"OrderedDict([('n_neighbors', 128)])",-0.1185185185185184,0.9
CA_2_FOODS_3_377,9.0,1.0,DTW,0.5607142857142856,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",-0.1629629629629627,0.9
CA_2_FOODS_3_377,9.0,1.0,GKW,0.4785714285714285,"OrderedDict([('kernel_bandwidth', 2.5)])",0.0074074074074074,0.9
CA_2_FOODS_3_555,9.0,1.0,SAA,1.6821428571428576,,,0.9
CA_2_FOODS_3_555,9.0,1.0,MLP,2.0706673664952886,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.2309699843284089,0.9
CA_2_FOODS_3_555,9.0,1.0,RFW,1.2035714285714287,"OrderedDict([('max_depth', 10), ('max_features', 'sqrt'), ('min_samples_split', 16), ('n_estimators', 10)])",0.2845010615711253,0.9
CA_2_FOODS_3_555,9.0,1.0,KNNW,1.085714285714286,"OrderedDict([('n_neighbors', 32)])",0.3545647558386413,0.9
CA_2_FOODS_3_555,9.0,1.0,DTW,1.060714285714286,"OrderedDict([('max_depth', 8), ('min_samples_split', 64)])",0.3694267515923567,0.9
CA_2_FOODS_3_555,9.0,1.0,GKW,1.260714285714286,"OrderedDict([('kernel_bandwidth', 2.5)])",0.2505307855626327,0.9
CA_2_FOODS_3_586,9.0,1.0,SAA,1.8785714285714283,,,0.9
CA_2_FOODS_3_586,9.0,1.0,MLP,2.5955260058419336,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.3816488244025504,0.9
CA_2_FOODS_3_586,9.0,1.0,RFW,1.7464285714285708,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 4), ('n_estimators', 500)])",0.0703422053231941,0.9
CA_2_FOODS_3_586,9.0,1.0,KNNW,1.6571428571428568,"OrderedDict([('n_neighbors', 32)])",0.1178707224334602,0.9
CA_2_FOODS_3_586,9.0,1.0,DTW,1.6357142857142857,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.1292775665399238,0.9
CA_2_FOODS_3_586,9.0,1.0,GKW,1.7035714285714287,"OrderedDict([('kernel_bandwidth', 2.5)])",0.0931558935361215,0.9
CA_2_FOODS_3_668,9.0,1.0,SAA,0.4678571428571427,,,0.9
CA_2_FOODS_3_668,9.0,1.0,MLP,0.841252429053184,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 59), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.7980967949228366,0.9
CA_2_FOODS_3_668,9.0,1.0,RFW,0.4607142857142856,"OrderedDict([('max_depth', 4), ('max_features', 'sqrt'), ('min_samples_split', 64), ('n_estimators', 50)])",0.0152671755725189,0.9
CA_2_FOODS_3_668,9.0,1.0,KNNW,0.4607142857142855,"OrderedDict([('n_neighbors', 128)])",0.0152671755725191,0.9
CA_2_FOODS_3_668,9.0,1.0,DTW,0.4535714285714284,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.0305343511450382,0.9
CA_2_FOODS_3_668,9.0,1.0,GKW,0.4571428571428569,"OrderedDict([('kernel_bandwidth', 3.0)])",0.0229007633587786,0.9
CA_2_FOODS_3_694,9.0,1.0,SAA,0.7821428571428571,,,0.9
CA_2_FOODS_3_694,9.0,1.0,MLP,1.2502709987573122,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 177), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.5985199984111753,0.9
CA_2_FOODS_3_694,9.0,1.0,RFW,0.5571428571428569,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 8), ('n_estimators', 10)])",0.2876712328767126,0.9
CA_2_FOODS_3_694,9.0,1.0,KNNW,0.6892857142857142,"OrderedDict([('n_neighbors', 32)])",0.1187214611872147,0.9
CA_2_FOODS_3_694,9.0,1.0,DTW,0.5999999999999998,"OrderedDict([('max_depth', 4), ('min_samples_split', 16)])",0.2328767123287674,0.9
CA_2_FOODS_3_694,9.0,1.0,GKW,0.7035714285714285,"OrderedDict([('kernel_bandwidth', 2.5)])",0.1004566210045663,0.9
CA_2_FOODS_3_714,9.0,1.0,SAA,5.357142857142857,,,0.9
CA_2_FOODS_3_714,9.0,1.0,MLP,3.627171852718259,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 59), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.3229279208259249,0.9
CA_2_FOODS_3_714,9.0,1.0,RFW,2.017857142857143,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 500)])",0.6233333333333333,0.9
CA_2_FOODS_3_714,9.0,1.0,KNNW,2.721428571428571,"OrderedDict([('n_neighbors', 8)])",0.492,0.9
CA_2_FOODS_3_714,9.0,1.0,DTW,2.4642857142857157,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.5399999999999998,0.9
CA_2_FOODS_3_714,9.0,1.0,GKW,2.9035714285714285,"OrderedDict([('kernel_bandwidth', 2.5)])",0.4579999999999999,0.9
CA_3_FOODS_3_080,9.0,1.0,SAA,1.2214285714285718,,,0.9
CA_3_FOODS_3_080,9.0,1.0,MLP,2.5409741603492164,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-1.0803297219233343,0.9
CA_3_FOODS_3_080,9.0,1.0,RFW,0.8428571428571426,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.3099415204678366,0.9
CA_3_FOODS_3_080,9.0,1.0,KNNW,0.8964285714285715,"OrderedDict([('n_neighbors', 128)])",0.2660818713450293,0.9
CA_3_FOODS_3_080,9.0,1.0,DTW,0.9857142857142858,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.192982456140351,0.9
CA_3_FOODS_3_080,9.0,1.0,GKW,1.1107142857142855,"OrderedDict([('kernel_bandwidth', 2.5)])",0.0906432748538015,0.9
CA_3_FOODS_3_226,9.0,1.0,SAA,0.7428571428571427,,,0.9
CA_3_FOODS_3_226,9.0,1.0,MLP,0.7399999554954173,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 118), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",0.0038462137561687,0.9
CA_3_FOODS_3_226,9.0,1.0,RFW,0.6214285714285711,"OrderedDict([('max_depth', 2), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 20)])",0.1634615384615386,0.9
CA_3_FOODS_3_226,9.0,1.0,KNNW,0.5142857142857141,"OrderedDict([('n_neighbors', 32)])",0.3076923076923077,0.9
CA_3_FOODS_3_226,9.0,1.0,DTW,0.5249999999999998,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.2932692307692308,0.9
CA_3_FOODS_3_226,9.0,1.0,GKW,0.5464285714285713,"OrderedDict([('kernel_bandwidth', 2.5)])",0.264423076923077,0.9
CA_3_FOODS_3_228,9.0,1.0,SAA,0.6857142857142856,,,0.9
