Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
16,9.0,1.0,SAA,0.1014542288380471,,,0.9
16,9.0,1.0,MLP,0.1876661339181149,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 237), ('layer2', 19), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.849761572952165,0.9
16,9.0,1.0,RFW,0.0831528947054161,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 500)])",0.1803900570950639,0.9
16,9.0,1.0,KNNW,0.090733989160609,"OrderedDict([('n_neighbors', 32)])",0.1056657746080843,0.9
16,9.0,1.0,DTW,0.0877530146121605,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.1350482319249405,0.9
16,9.0,1.0,GKW,0.0933791023379789,"OrderedDict([('kernel_bandwidth', 3.0)])",0.0795937891653453,0.9
18,9.0,1.0,SAA,0.1095949122732833,,,0.9
18,9.0,1.0,MLP,0.2359798452034605,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 237), ('layer2', 39), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.1532007308425651,0.9
18,9.0,1.0,RFW,0.0895916516523801,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_split', 4), ('n_estimators', 100)])",0.1825199747505024,0.9
18,9.0,1.0,KNNW,0.0978950269130177,"OrderedDict([('n_neighbors', 32)])",0.1067557345279952,0.9
18,9.0,1.0,DTW,0.1090215143770265,"OrderedDict([('max_depth', 8), ('min_samples_split', 64)])",0.0052319755029044,0.9
18,9.0,1.0,GKW,0.0997479603637743,"OrderedDict([('kernel_bandwidth', 3.0)])",0.0898486225798042,0.9
19,9.0,1.0,SAA,0.1090645823784333,,,0.9
19,9.0,1.0,MLP,0.1992072558796278,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 158), ('layer2', 79), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.8265072999446932,0.9
19,9.0,1.0,RFW,0.0885944985775284,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_split', 2), ('n_estimators', 250)])",0.1876877291830414,0.9
19,9.0,1.0,KNNW,0.0922754579466336,"OrderedDict([('n_neighbors', 32)])",0.1539374567404902,0.9
19,9.0,1.0,DTW,0.0935875432095815,"OrderedDict([('max_depth', 8), ('min_samples_split', 64)])",0.1419071052337545,0.9
19,9.0,1.0,GKW,0.1023920677827488,"OrderedDict([('kernel_bandwidth', 2.5)])",0.0611794814611049,0.9
20,9.0,1.0,SAA,0.0909366879802328,,,0.9
20,9.0,1.0,MLP,0.2019165059521437,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 158), ('layer2', 79), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.2204075212859626,0.9
20,9.0,1.0,RFW,0.0789887061270739,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 250)])",0.1313879152466611,0.9
