Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
calamari,9.0,1.0,SAA,0.5118421052631579,,,0.9
calamari,9.0,1.0,MLP,0.494511955928237,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 28), ('layer2', 114), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.0338583894461178,0.9
calamari,9.0,1.0,RFW,0.4736842105263157,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 10)])",0.0745501285347044,0.9
calamari,9.0,1.0,KNNW,0.375,"OrderedDict([('n_neighbors', 32)])",0.2673521850899742,0.9
calamari,9.0,1.0,DTW,0.3986842105263157,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.2210796915167097,0.9
calamari,9.0,1.0,GKW,0.4184210526315789,"OrderedDict([('kernel_bandwidth', 2.5)])",0.1825192802056555,0.9
chicken,9.0,1.0,SAA,2.4618421052631576,,,0.9
chicken,9.0,1.0,MLP,5.178921573774247,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 114), ('layer2', 114), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.1036773896677865,0.9
chicken,9.0,1.0,RFW,2.494736842105263,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 2), ('n_estimators', 500)])",-0.0133618385889897,0.9
chicken,9.0,1.0,KNNW,2.318421052631579,"OrderedDict([('n_neighbors', 8)])",0.0582576162479956,0.9
chicken,9.0,1.0,DTW,2.3039473684210527,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",0.0641368252271511,0.9
chicken,9.0,1.0,GKW,1.91578947368421,"OrderedDict([('kernel_bandwidth', 2.5)])",0.2218065205772315,0.9
fish,9.0,1.0,SAA,0.4078947368421051,,,0.9
