binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,1.034116671098429,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.3997632294519489,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.9965716307016949,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,1.3541459882588498,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.9639685229250338,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,1.308990061164897,0,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,0.9798309463576815,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.2790308394217056,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.8626727618441903,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,1.1718742355480487,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.8837225881240243,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,1.1235894123085273,1,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,1.0618293673775938,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.4732405730576252,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.9913270751128012,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,1.4160883406776978,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.9505837315600874,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,1.3254899577346635,2,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,0.975218648835204,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.0300345793475634,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.937958664230261,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,1.0159849392220002,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.9095158415838309,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,0.9901838703120291,3,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,0.9724773710412412,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,True,1.2257794901411938,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,False,0.9376394811271604,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
100,True,1.1377870403124115,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,False,0.9445461642147058,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
400,True,1.0639712132492813,4,LS_KDEx_LGBM,9.0,1.0,0.9,16,wage,,,,
20,False,1.2831184728859328,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
20,True,1.2747671016729405,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,False,1.2159112195939095,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,True,1.2479838987746947,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
400,False,1.1803291433390937,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
400,True,1.1931844179918816,0,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
20,False,1.0568442532217268,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
20,True,1.1419302027451101,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,False,1.0054380264603233,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,True,1.0538419511130603,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
400,False,0.9924990152242996,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
400,True,1.0186578052970492,1,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
20,False,1.2318206277639185,2,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
20,True,1.6221357751434873,2,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
100,False,1.1996776645830218,2,LS_KDEx_MLP,9.0,1.0,0.9,16,wage,,,,
