binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,1.0179372197309418,0,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,True,1.125560538116592,0,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
100,False,0.8116591928251121,0,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
100,True,1.1121076233183858,0,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
400,False,1.0,0,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
400,True,1.0582959641255605,0,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,False,0.6956521739130435,1,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,True,0.9173913043478261,1,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
100,False,0.7608695652173915,1,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
100,True,0.9391304347826087,1,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
400,False,1.0,1,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
400,True,0.8521739130434783,1,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,False,0.6520000000000001,2,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,True,0.9400000000000002,2,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
100,False,0.68,2,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
100,True,0.9880000000000002,2,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
400,False,1.0,2,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
400,True,0.9560000000000002,2,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,False,0.99438202247191,3,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,True,1.4887640449438204,3,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
100,False,1.1067415730337078,3,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
100,True,1.3483146067415732,3,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
400,False,1.0,3,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
400,True,1.157303370786517,3,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,False,1.076923076923077,4,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
20,True,1.208791208791209,4,LS_KDEx_LGBM,9.0,1.0,0.9,calamari,yaz,,,,
