Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
Location_1_max_CO,9.0,1.0,SAA,0.08884879725085909,N/A,,0.9
Location_1_max_CO,9.0,1.0,LS_KDEx_LGBM,0.1270618556701031,"{'binSize': 20, 'weightsByDistance': False}",-0.43009089151034674,0.9
Location_1_max_CO,9.0,1.0,LS_KDEx_MLP,0.12384020618556701,"{'binSize': 400, 'weightsByDistance': False}",-0.3938309804679949,0.9
Location_1_max_CO,9.0,1.0,DRF,0.11750000000000001,"OrderedDict([('min_node_size', 4), ('num_features', 3), ('num_trees', 500)])",-0.3224714755366469,0.9
Location_1_max_NO2,9.0,1.0,SAA,2.2273539518900347,N/A,,0.9
Location_1_max_NO2,9.0,1.0,LS_KDEx_LGBM,3.2675859106529206,"{'binSize': 400, 'weightsByDistance': False}",-0.46702588866946404,0.9
Location_1_max_NO2,9.0,1.0,LS_KDEx_MLP,1.7552061855670098,"{'binSize': 800, 'weightsByDistance': False}",0.21197698099234796,0.9
Location_1_max_NO2,9.0,1.0,DRF,3.397346697385887,"OrderedDict([('min_node_size', 4), ('num_features', 13), ('num_trees', 500)])",-0.5252837091756557,0.9
Location_1_max_O3,9.0,1.0,SAA,0.002719587628865979,N/A,,0.9
Location_1_max_O3,9.0,1.0,LS_KDEx_LGBM,0.001993556701030927,"{'binSize': 100, 'weightsByDistance': False}",0.2669636087945416,0.9
Location_1_max_O3,9.0,1.0,LS_KDEx_MLP,0.001880240549828178,"{'binSize': 800, 'weightsByDistance': False}",0.30863027546120814,0.9
Location_1_max_O3,9.0,1.0,DRF,0.002441669249086715,"OrderedDict([('min_node_size', 32), ('num_features', 3), ('num_trees', 50)])",0.10219136784908511,0.9
Location_1_max_PM10,9.0,1.0,SAA,3.04823883161512,N/A,,0.9
Location_1_max_PM10,9.0,1.0,LS_KDEx_LGBM,2.4995274914089345,"{'binSize': 400, 'weightsByDistance': False}",0.1800093006214506,0.9
Location_1_max_PM10,9.0,1.0,LS_KDEx_MLP,2.498152920962199,"{'binSize': 100, 'weightsByDistance': False}",0.18046023984329862,0.9
Location_1_max_PM10,9.0,1.0,DRF,2.5163063805269106,"OrderedDict([('min_node_size', 32), ('num_features', 13), ('num_trees', 250)])",0.1745048470517525,0.9
Location_1_max_PM2.5,9.0,1.0,SAA,1.1716680985108816,N/A,,0.9
Location_1_max_PM2.5,9.0,1.0,LS_KDEx_LGBM,1.536262886597938,"{'binSize': 20, 'weightsByDistance': False}",-0.3111758257738979,0.9
Location_1_max_PM2.5,9.0,1.0,LS_KDEx_MLP,1.3431386025200456,"{'binSize': 100, 'weightsByDistance': False}",-0.14634733524544408,0.9
Location_1_max_PM2.5,9.0,1.0,DRF,1.3402342859311747,"OrderedDict([('min_node_size', 16), ('num_features', 3), ('num_trees', 100)])",-0.14386854744490396,0.9
Location_1_max_SO2,9.0,1.0,SAA,0.36592783505154636,N/A,,0.9
Location_1_max_SO2,9.0,1.0,LS_KDEx_LGBM,0.46853951890034357,"{'binSize': 400, 'weightsByDistance': False}",-0.28041508193642284,0.9
Location_1_max_SO2,9.0,1.0,LS_KDEx_MLP,0.3995103092783505,"{'binSize': 100, 'weightsByDistance': False}",-0.09177348922383444,0.9
Location_1_max_SO2,9.0,1.0,DRF,0.38318491314336456,"OrderedDict([('min_node_size', 8), ('num_features', 3), ('num_trees', 50)])",-0.04715978517837338,0.9
Location_2_max_CO,9.0,1.0,SAA,0.06134413309982487,N/A,,0.9
Location_2_max_CO,9.0,1.0,LS_KDEx_LGBM,0.09678633975481611,"{'binSize': 400, 'weightsByDistance': False}",-0.5777603311683677,0.9
Location_2_max_CO,9.0,1.0,LS_KDEx_MLP,0.05382224168126095,"{'binSize': 400, 'weightsByDistance': False}",0.12261794304475049,0.9
Location_2_max_CO,9.0,1.0,DRF,0.06011821366024518,"OrderedDict([('min_node_size', 8), ('num_features', 13), ('num_trees', 50)])",0.019984298051531013,0.9
Location_2_max_NO2,9.0,1.0,SAA,1.9885989492119085,N/A,,0.9
Location_2_max_NO2,9.0,1.0,LS_KDEx_LGBM,2.920052539404553,"{'binSize': 400, 'weightsByDistance': False}",-0.4683969035394413,0.9
Location_2_max_NO2,9.0,1.0,LS_KDEx_MLP,2.1133296847635723,"{'binSize': 400, 'weightsByDistance': False}",-0.06272292138195845,0.9
Location_2_max_NO2,9.0,1.0,DRF,2.4068758837574253,"OrderedDict([('min_node_size', 16), ('num_features', 13), ('num_trees', 500)])",-0.21033750154161646,0.9
Location_2_max_O3,9.0,1.0,SAA,0.002948730297723292,N/A,,0.9
Location_2_max_O3,9.0,1.0,LS_KDEx_LGBM,0.0017617775831873903,"{'binSize': 400, 'weightsByDistance': False}",0.4025301043816537,0.9
Location_2_max_O3,9.0,1.0,LS_KDEx_MLP,0.0017427320490367771,"{'binSize': 800, 'weightsByDistance': False}",0.40898899760946716,0.9
Location_2_max_O3,9.0,1.0,DRF,0.0020546235545409286,"OrderedDict([('min_node_size', 4), ('num_features', 13), ('num_trees', 500)])",0.3032175387056256,0.9
Location_2_max_PM10,9.0,1.0,SAA,1.7785135726795094,N/A,,0.9
Location_2_max_PM10,9.0,1.0,LS_KDEx_LGBM,3.0546154407472272,"{'binSize': 100, 'weightsByDistance': False}",-0.717510334287268,0.9
