Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
calamari,9.0,1.0,SAA,0.5118421052631579,N/A,,0.9
calamari,9.0,1.0,LS_KDEx_LGBM,0.419736842105263,"{'binSize': 100, 'weightsByDistance': False}",0.17994858611825215,0.9
calamari,9.0,1.0,LS_KDEx_MLP,0.4592105263157893,"{'binSize': 100, 'weightsByDistance': False}",0.10282776349614431,0.9
calamari,9.0,1.0,DRF,0.42486788237998674,"OrderedDict([('min_node_size', 8), ('num_features', 57), ('num_trees', 100)])",0.16992393159694108,0.9
chicken,9.0,1.0,SAA,2.4618421052631576,N/A,,0.9
chicken,9.0,1.0,LS_KDEx_LGBM,2.5618421052631586,"{'binSize': 100, 'weightsByDistance': False}",-0.04061998931052946,0.9
chicken,9.0,1.0,LS_KDEx_MLP,2.4618421052631576,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
chicken,9.0,1.0,DRF,2.1488065001939174,"OrderedDict([('min_node_size', 16), ('num_features', 57), ('num_trees', 50)])",0.12715502931727563,0.9
fish,9.0,1.0,SAA,0.40789473684210514,N/A,,0.9
fish,9.0,1.0,LS_KDEx_LGBM,0.38421052631578934,"{'binSize': 100, 'weightsByDistance': False}",0.058064516129032295,0.9
fish,9.0,1.0,LS_KDEx_MLP,0.40789473684210514,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
fish,9.0,1.0,DRF,0.395922842821343,"OrderedDict([('min_node_size', 2), ('num_features', 57), ('num_trees', 500)])",0.029350449857352356,0.9
koefte,9.0,1.0,SAA,2.3881578947368425,N/A,,0.9
koefte,9.0,1.0,LS_KDEx_LGBM,2.0434210526315786,"{'binSize': 20, 'weightsByDistance': False}",0.1443526170798901,0.9
koefte,9.0,1.0,LS_KDEx_MLP,2.3881578947368425,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
koefte,9.0,1.0,DRF,1.7502593960052877,"OrderedDict([('min_node_size', 8), ('num_features', 57), ('num_trees', 100)])",0.2671090132429651,0.9
lamb,9.0,1.0,SAA,2.0618421052631577,N/A,,0.9
lamb,9.0,1.0,LS_KDEx_LGBM,1.7828947368421049,"{'binSize': 100, 'weightsByDistance': False}",0.13529036375239323,0.9
lamb,9.0,1.0,LS_KDEx_MLP,2.0618421052631577,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
lamb,9.0,1.0,DRF,1.7566809764218945,"OrderedDict([('min_node_size', 4), ('num_features', 57), ('num_trees', 50)])",0.14800412119933637,0.9
shrimp,9.0,1.0,SAA,0.8394736842105261,N/A,,0.9
shrimp,9.0,1.0,LS_KDEx_LGBM,0.8394736842105261,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
shrimp,9.0,1.0,LS_KDEx_MLP,0.8394736842105261,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.9
shrimp,9.0,1.0,DRF,0.7188931528391679,"OrderedDict([('min_node_size', 4), ('num_features', 7), ('num_trees', 100)])",0.1436382505364142,0.9
steak,9.0,1.0,SAA,1.9881578947368421,N/A,,0.9
steak,9.0,1.0,LS_KDEx_LGBM,1.5802631578947366,"{'binSize': 100, 'weightsByDistance': False}",0.20516214427531454,0.9
steak,9.0,1.0,LS_KDEx_MLP,1.9710526315789467,"{'binSize': 400, 'weightsByDistance': True}",0.0086035737921909,0.9
steak,9.0,1.0,DRF,1.4695267901820241,"OrderedDict([('min_node_size', 16), ('num_features', 57), ('num_trees', 50)])",0.2608601187701268,0.9
calamari,7.5,2.5,SAA,0.805921052631579,N/A,,0.75
calamari,7.5,2.5,LS_KDEx_LGBM,0.6644736842105263,"{'binSize': 20, 'weightsByDistance': False}",0.17551020408163265,0.75
calamari,7.5,2.5,LS_KDEx_MLP,0.805921052631579,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.75
calamari,7.5,2.5,DRF,0.6973684210526315,"OrderedDict([('min_node_size', 1), ('num_features', 57), ('num_trees', 50)])",0.13469387755102047,0.75
chicken,7.5,2.5,SAA,4.016447368421052,N/A,,0.75
chicken,7.5,2.5,LS_KDEx_LGBM,3.776315789473686,"{'binSize': 20, 'weightsByDistance': False}",0.05978705978705923,0.75
chicken,7.5,2.5,LS_KDEx_MLP,4.016447368421052,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.75
chicken,7.5,2.5,DRF,3.3438124934105216,"OrderedDict([('min_node_size', 16), ('num_features', 57), ('num_trees', 100)])",0.16747010811073004,0.75
fish,7.5,2.5,SAA,0.7171052631578947,N/A,,0.75
fish,7.5,2.5,LS_KDEx_LGBM,0.7171052631578947,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.75
fish,7.5,2.5,LS_KDEx_MLP,0.7171052631578947,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.75
fish,7.5,2.5,DRF,0.7105263157894737,"OrderedDict([('min_node_size', 8), ('num_features', 57), ('num_trees', 100)])",0.00917431192660545,0.75
koefte,7.5,2.5,SAA,4.358552631578948,N/A,,0.75
koefte,7.5,2.5,LS_KDEx_LGBM,3.0921052631578947,"{'binSize': 400, 'weightsByDistance': True}",0.2905660377358491,0.75
koefte,7.5,2.5,LS_KDEx_MLP,4.358552631578948,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.75
koefte,7.5,2.5,DRF,3.4205698056897837,"OrderedDict([('min_node_size', 8), ('num_features', 57), ('num_trees', 100)])",0.21520511627947614,0.75
lamb,7.5,2.5,SAA,3.7401315789473686,N/A,,0.75
lamb,7.5,2.5,LS_KDEx_LGBM,3.0690789473684212,"{'binSize': 100, 'weightsByDistance': False}",0.17941952506596304,0.75
lamb,7.5,2.5,LS_KDEx_MLP,3.7401315789473686,"{'binSize': 400, 'weightsByDistance': False}",0.0,0.75
lamb,7.5,2.5,DRF,2.862209612137574,"OrderedDict([('min_node_size', 16), ('num_features', 57), ('num_trees', 50)])",0.23473023562900397,0.75
shrimp,7.5,2.5,SAA,1.375,N/A,,0.75
shrimp,7.5,2.5,LS_KDEx_LGBM,1.4769736842105263,"{'binSize': 100, 'weightsByDistance': False}",-0.07416267942583743,0.75
