Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
Location_1_max_CO,9.0,1.0,SAA,0.08884879725085909,N/A,,0.9
Location_1_max_CO,9.0,1.0,MLP,0.14647580254863238,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 12), ('layer2', 24), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",-0.6485963466119524,0.9
Location_1_max_CO,9.0,1.0,LGBM,0.20130018252208445,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 31)])",-1.2656489311129988,0.9
Location_1_max_CO,9.0,1.0,RFW,0.11760309278350517,"OrderedDict([('max_depth', 8), ('max_features', 'sqrt'), ('min_samples_split', 32), ('n_estimators', 100)])",-0.3236317926900023,0.9
Location_1_max_CO,9.0,1.0,KNNW,0.14195876288659795,"OrderedDict([('n_neighbors', 128)])",-0.5977567201701803,0.9
Location_1_max_CO,9.0,1.0,DTW,0.11404639175257734,"OrderedDict([('max_depth', 10), ('min_samples_split', 32)])",-0.28360085089924625,0.9
Location_1_max_CO,9.0,1.0,GKW,0.12689003436426116,"OrderedDict([('kernel_bandwidth', 1.5)])",-0.42815702958808766,0.9
Location_1_max_NO2,9.0,1.0,SAA,2.2273539518900347,N/A,,0.9
Location_1_max_NO2,9.0,1.0,MLP,6.770422880351646,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 36), ('layer2', 6), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-2.0396708500714773,0.9
Location_1_max_NO2,9.0,1.0,LGBM,8.102859119960437,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 127)])",-2.6378857132629085,0.9
Location_1_max_NO2,9.0,1.0,RFW,3.2852663230240546,"OrderedDict([('max_depth', 8), ('max_features', 'sqrt'), ('min_samples_split', 8), ('n_estimators', 20)])",-0.47496374352011816,0.9
Location_1_max_NO2,9.0,1.0,KNNW,4.016713917525773,"OrderedDict([('n_neighbors', 128)])",-0.8033568100469015,0.9
Location_1_max_NO2,9.0,1.0,DTW,3.9872680412371135,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",-0.7901366946432977,0.9
