binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.3654571796367332,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,True,0.47358172137821464,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,False,0.34785494485654944,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,True,0.45190987972575447,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,False,0.3463585805815216,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,True,0.44570367027694446,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,False,0.34707699094591055,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,True,0.4430297388012074,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,False,0.3714753882667386,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,True,0.4447458298633099,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,False,0.35720475643127064,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,True,0.41819244074766837,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,False,0.3502120944353131,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,True,0.40849050418903265,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,False,0.3509168575965936,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,True,0.4058484664387008,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,False,0.39294027768822637,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,True,0.4539899719485266,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,False,0.371935123681016,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,True,0.43696439011785004,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,False,0.36625254071076696,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,True,0.4307349209455273,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,False,0.3677732814261522,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,True,0.42742689685957,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,False,0.4287393275199448,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,True,0.5119619142461727,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,False,0.4040774106389808,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,True,0.4936378684064699,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,False,0.39656747665999253,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,True,0.4808748415178783,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,False,0.39655953834821744,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,True,0.4771988513050078,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,False,0.4568729342647484,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,True,0.5688540144614476,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,False,0.42680908192816597,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,True,0.5412285639497411,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,False,0.4195384121101358,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
400,True,0.5323447437660715,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,False,0.4203883496406542,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
1000,True,0.5279330844715763,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,False,0.3845965568655839,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,air_random_10,,,,
20,True,0.4327786547608173,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,False,0.36987282389741205,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,air_random_10,,,,
100,True,0.40713393374781154,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,air_random_10,,,,
