binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.5382935697515734,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
20,True,0.595389766958842,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
100,False,0.5228271183416742,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
100,True,0.5673159372761614,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
400,False,0.5192371638116653,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
400,True,0.5553791719432652,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
1000,False,0.5272535363691581,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
1000,True,0.550156686239063,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
20,False,0.5937841459887414,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
20,True,0.6495874243355966,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
100,False,0.5782462950081857,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
100,True,0.6200723745852773,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
400,False,0.5727192141836444,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
400,True,0.6102387692094012,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
1000,False,0.5793124916184795,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
1000,True,0.6048498432739234,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
20,False,0.5988892212999439,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
20,True,0.6823226332936008,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
100,False,0.558843233103988,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
100,True,0.6415916994866059,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
400,False,0.5521974750470695,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
400,True,0.6218799326573011,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
1000,False,0.5514531922119241,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
1000,True,0.6120168658937587,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
20,False,0.5025164198463977,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
20,True,0.5755550298367352,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
100,False,0.4745245794921086,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
100,True,0.532530861526655,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,bakery_random_50,,,,
