binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.6960263526650705,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,True,0.8464285004836789,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,False,0.665641206259998,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,True,0.7700370417160995,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,False,0.6598305665253558,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,True,0.7435434767279973,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,False,0.6571641005361331,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,True,0.728787623059694,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,False,0.681266516179195,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,True,0.8119794557832347,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,False,0.634122727419678,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,True,0.7472294422672204,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,False,0.6196716105968166,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,True,0.7150931632036375,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,False,0.6169395468936953,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,True,0.7035152314485503,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,False,0.6977331540524,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,True,0.8213388376576998,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,False,0.6530218919335146,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,True,0.7576342823554755,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,False,0.6412333371540404,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,True,0.7281054393314835,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,False,0.6407598473045502,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,True,0.7132297695829032,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,False,0.7018687553733343,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,True,0.8205434856733483,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,False,0.6545201274567202,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,True,0.7663635220372165,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,False,0.6473200424813829,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,True,0.7365722270887002,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,False,0.6476768151008113,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,True,0.7233186453121124,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,False,0.7620347300262668,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,True,0.9179135826042044,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,False,0.6843756451751662,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,True,0.8323993438480629,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,False,0.6752944391254525,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,True,0.7976286712346351,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,False,0.6739852410189199,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,True,0.7833623470478462,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,False,0.7704254871267379,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,True,0.8791228533201401,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,False,0.7465635529482604,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,True,0.8289139874430469,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,False,0.7290503360467099,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,True,0.7982910479403796,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,False,0.7288249089932345,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,True,0.785784971145371,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,False,0.7016520007137416,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,True,0.8265808673171161,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,False,0.6646018754789693,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,True,0.7720068606895175,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,False,0.6529963273602934,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,True,0.7476775025462983,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,False,0.6519599566507793,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,True,0.73311141247647,1,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,False,0.7443823388384386,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,True,0.9015046778945207,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,False,0.6885439178849617,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
100,True,0.823742697426244,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,False,0.6727524613565657,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
400,True,0.786401085129059,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,False,0.6739993650608738,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
1000,True,0.7723310469518723,2,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
20,False,0.7233657843575462,3,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,m5_random_30,,,,
