binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.7041131271159928,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,0.8744119958250323,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.695809308457777,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,0.8249932728373983,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.6946809577044125,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.8034055046967724,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.6983586935521918,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.7931447479552268,0,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.7474529491514592,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,0.9261185206070036,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.7268567278678998,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,0.8645334125735876,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.7188722885307107,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.8377236127463288,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.720514396076402,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.8260305853814817,1,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.8489392105081269,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,1.0945861309478335,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.8197178962926164,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,1.0252854408690533,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.8139201845186452,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,1.0019082475403638,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.8202103004149008,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.991106151631722,2,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.8970350394043962,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,1.2183485776029228,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.8195678112030214,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,1.0981649356770082,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.8061507070353392,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,1.0422703507220505,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.8144243306062076,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,1.0220456694557478,3,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.8492370954756757,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,True,1.1321919289461284,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.7812288860774289,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
100,True,1.0348630810692663,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.7620683725275794,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.9825946695702721,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,False,0.7536987776322359,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
1000,True,0.9674145106764885,4,LS_KDEx_LGBM,9.0,1.0,0.9,dummyID,wage,,,,
20,False,0.7439297190610267,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
20,True,0.9117763361454271,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,False,0.7299820786974488,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
100,True,0.8335797034602433,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,False,0.7210132933862455,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
400,True,0.8039161602455787,0,LS_KDEx_MLP,9.0,1.0,0.9,dummyID,wage,,,,
