Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
pollutant_max_NO2_Location 3,9.0,1.0,SAA,0.025721559039280473,N/A,,0.9
pollutant_max_O3_Location 1,9.0,1.0,SAA,0.017306571087216248,N/A,,0.9
pollutant_max_O3_Location 2,9.0,1.0,SAA,0.025440176624912235,N/A,,0.9
pollutant_max_O3_Location 5,9.0,1.0,SAA,0.020777013019321663,N/A,,0.9
pollutant_max_O3_Location 6,9.0,1.0,SAA,0.026010071345221587,N/A,,0.9
pollutant_max_PM10_Location 4,9.0,1.0,SAA,0.03914378721558311,N/A,,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,SAA,0.03502484419934175,N/A,,0.9
pollutant_max_SO2_Location 1,9.0,1.0,SAA,0.04910653029110936,N/A,,0.9
pollutant_max_SO2_Location 2,9.0,1.0,SAA,0.04886424956492664,N/A,,0.9
pollutant_max_SO2_Location 6,9.0,1.0,SAA,0.04930675885712408,N/A,,0.9
pollutant_max_NO2_Location 3,9.0,1.0,DRF,0.031916473725910714,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",-0.2408452254845721,0.9
pollutant_max_O3_Location 1,9.0,1.0,DRF,0.025158422939068094,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",-0.45369194234274013,0.9
pollutant_max_O3_Location 2,9.0,1.0,DRF,0.02936735579943095,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",-0.15436917881588275,0.9
pollutant_max_O3_Location 5,9.0,1.0,DRF,0.024255787515039436,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",-0.16743381218862763,0.9
pollutant_max_O3_Location 6,9.0,1.0,DRF,0.025112586458791615,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",0.03450528353106008,0.9
pollutant_max_PM10_Location 4,9.0,1.0,DRF,0.017099032674635306,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",0.5631737782431999,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,DRF,0.01266577459482641,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",0.6383774179625202,0.9
pollutant_max_SO2_Location 1,9.0,1.0,DRF,0.00409628653714017,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",0.9165836699751154,0.9
pollutant_max_SO2_Location 2,9.0,1.0,DRF,0.006779559297133721,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",0.8612572717785091,0.9
pollutant_max_SO2_Location 6,9.0,1.0,DRF,0.003966062008794897,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 250)])",0.9195635223096426,0.9
pollutant_max_NO2_Location 3,9.0,1.0,LS_KDEx_LGBM,0.03924251602360937,"{'binSize': 400, 'weightsByDistance': False}",-0.525666308316711,0.9
pollutant_max_O3_Location 1,9.0,1.0,LS_KDEx_LGBM,0.026172520908004777,"{'binSize': 400, 'weightsByDistance': False}",-0.512288065389076,0.9
pollutant_max_O3_Location 2,9.0,1.0,LS_KDEx_LGBM,0.021665917740116253,"{'binSize': 400, 'weightsByDistance': False}",0.148358202871125,0.9
pollutant_max_O3_Location 5,9.0,1.0,LS_KDEx_LGBM,0.01937925040115134,"{'binSize': 400, 'weightsByDistance': False}",0.06727447380768692,0.9
pollutant_max_O3_Location 6,9.0,1.0,LS_KDEx_LGBM,0.018980398645187625,"{'binSize': 400, 'weightsByDistance': False}",0.27026733632260536,0.9
pollutant_max_PM10_Location 4,9.0,1.0,LS_KDEx_LGBM,0.0175966817849892,"{'binSize': 400, 'weightsByDistance': False}",0.5504604169219484,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,LS_KDEx_LGBM,0.012746928264791253,"{'binSize': 400, 'weightsByDistance': False}",0.6360603863862209,0.9
pollutant_max_SO2_Location 1,9.0,1.0,LS_KDEx_LGBM,0.0041110231023102324,"{'binSize': 400, 'weightsByDistance': False}",0.9162835761773516,0.9
pollutant_max_SO2_Location 2,9.0,1.0,LS_KDEx_LGBM,0.006889495737039132,"{'binSize': 400, 'weightsByDistance': False}",0.8590074379862325,0.9
pollutant_max_SO2_Location 6,9.0,1.0,LS_KDEx_LGBM,0.004241573394367131,"{'binSize': 400, 'weightsByDistance': False}",0.9139758221249562,0.9
pollutant_max_NO2_Location 3,9.0,1.0,LS_KDEx_MLP,0.04265689623340701,"{'binSize': 400, 'weightsByDistance': False}",-0.6584102141034247,0.9
pollutant_max_O3_Location 1,9.0,1.0,LS_KDEx_MLP,0.01764068352124216,"{'binSize': 400, 'weightsByDistance': False}",-0.019305524609245728,0.9
pollutant_max_O3_Location 2,9.0,1.0,LS_KDEx_MLP,0.01830514248049619,"{'binSize': 400, 'weightsByDistance': False}",0.2804632314316984,0.9
pollutant_max_O3_Location 5,9.0,1.0,LS_KDEx_MLP,0.017112852380075788,"{'binSize': 400, 'weightsByDistance': False}",0.17635646836426266,0.9
pollutant_max_O3_Location 6,9.0,1.0,LS_KDEx_MLP,0.015308755901293063,"{'binSize': 400, 'weightsByDistance': False}",0.41142968436703287,0.9
pollutant_max_PM10_Location 4,9.0,1.0,LS_KDEx_MLP,0.023454679208231372,"{'binSize': 400, 'weightsByDistance': False}",0.4008071043546323,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,LS_KDEx_MLP,0.0131184397680129,"{'binSize': 400, 'weightsByDistance': False}",0.6254533012809391,0.9
pollutant_max_SO2_Location 1,9.0,1.0,LS_KDEx_MLP,0.006796072875580246,"{'binSize': 400, 'weightsByDistance': False}",0.8616055169181712,0.9
pollutant_max_SO2_Location 2,9.0,1.0,LS_KDEx_MLP,0.010352291248108976,"{'binSize': 400, 'weightsByDistance': False}",0.7881418145109599,0.9
pollutant_max_SO2_Location 6,9.0,1.0,LS_KDEx_MLP,0.004965912086918639,"{'binSize': 400, 'weightsByDistance': False}",0.8992853677259879,0.9
pollutant_max_NO2_Location 3,7.5,2.5,SAA,0.046745152740117896,N/A,,0.75
pollutant_max_O3_Location 1,7.5,2.5,SAA,0.030310633213859017,N/A,,0.75
pollutant_max_O3_Location 2,7.5,2.5,SAA,0.03500974577836899,N/A,,0.75
pollutant_max_O3_Location 5,7.5,2.5,SAA,0.032164773198440993,N/A,,0.75
pollutant_max_O3_Location 6,7.5,2.5,SAA,0.03459185990962417,N/A,,0.75
pollutant_max_PM10_Location 4,7.5,2.5,SAA,0.06705590255136064,N/A,,0.75
pollutant_max_PM2.5_Location 3,7.5,2.5,SAA,0.05546713796432473,N/A,,0.75
pollutant_max_SO2_Location 1,7.5,2.5,SAA,0.09050826121164438,N/A,,0.75
pollutant_max_SO2_Location 2,7.5,2.5,SAA,0.08999922155440378,N/A,,0.75
pollutant_max_SO2_Location 6,7.5,2.5,SAA,0.09100883262668119,N/A,,0.75
pollutant_max_NO2_Location 3,7.5,2.5,DRF,0.05441317902284019,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",-0.1640389609026005,0.75
pollutant_max_O3_Location 1,7.5,2.5,DRF,0.046057347670250895,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",-0.5195112337406387,0.75
pollutant_max_O3_Location 2,7.5,2.5,DRF,0.04996039334146252,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",-0.4270424486295723,0.75
pollutant_max_O3_Location 5,7.5,2.5,DRF,0.043637865059539344,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",-0.35669742765835655,0.75
pollutant_max_O3_Location 6,7.5,2.5,DRF,0.04246339627537236,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",-0.22755458614580482,0.75
pollutant_max_PM10_Location 4,7.5,2.5,DRF,0.02777110042254752,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",0.5858515154385314,0.75
pollutant_max_PM2.5_Location 3,7.5,2.5,DRF,0.019477875424955098,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",0.6488393643551098,0.75
pollutant_max_SO2_Location 1,7.5,2.5,DRF,0.005671273712737131,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",0.9373397120128578,0.75
pollutant_max_SO2_Location 2,7.5,2.5,DRF,0.008842091932770513,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",0.9017536843090854,0.75
pollutant_max_SO2_Location 6,7.5,2.5,DRF,0.00541996784680156,"OrderedDict([('min_node_size', 1), ('num_features', 27), ('num_trees', 100)])",0.9404456942214137,0.75
pollutant_max_NO2_Location 3,7.5,2.5,LS_KDEx_LGBM,0.053941281732199434,"{'binSize': 400, 'weightsByDistance': False}",-0.1539438545016376,0.75
pollutant_max_O3_Location 1,7.5,2.5,LS_KDEx_LGBM,0.03248577981021437,"{'binSize': 400, 'weightsByDistance': False}",-0.07176183291877924,0.75
pollutant_max_O3_Location 2,7.5,2.5,LS_KDEx_LGBM,0.03568327217337547,"{'binSize': 400, 'weightsByDistance': False}",-0.01923825437837423,0.75
pollutant_max_O3_Location 5,7.5,2.5,LS_KDEx_LGBM,0.03571493345245814,"{'binSize': 400, 'weightsByDistance': False}",-0.11037417338883082,0.75
pollutant_max_O3_Location 6,7.5,2.5,LS_KDEx_LGBM,0.031375299762242605,"{'binSize': 400, 'weightsByDistance': False}",0.0929860422592268,0.75
pollutant_max_PM10_Location 4,7.5,2.5,LS_KDEx_LGBM,0.027014841815137865,"{'binSize': 400, 'weightsByDistance': False}",0.5971295473288696,0.75
pollutant_max_PM2.5_Location 3,7.5,2.5,LS_KDEx_LGBM,0.019406841400339717,"{'binSize': 400, 'weightsByDistance': False}",0.6501200149749609,0.75
pollutant_max_SO2_Location 1,7.5,2.5,LS_KDEx_LGBM,0.005695800799592159,"{'binSize': 400, 'weightsByDistance': False}",0.9370687192158834,0.75
pollutant_max_SO2_Location 2,7.5,2.5,LS_KDEx_LGBM,0.008958809980822074,"{'binSize': 400, 'weightsByDistance': False}",0.9004568058912982,0.75
pollutant_max_SO2_Location 6,7.5,2.5,LS_KDEx_LGBM,0.005721404082212711,"{'binSize': 400, 'weightsByDistance': False}",0.937133529602759,0.75
pollutant_max_NO2_Location 3,7.5,2.5,LS_KDEx_MLP,0.05945781895562542,"{'binSize': 400, 'weightsByDistance': False}",-0.27195688687090724,0.75
pollutant_max_O3_Location 1,7.5,2.5,LS_KDEx_MLP,0.032941393500780465,"{'binSize': 400, 'weightsByDistance': False}",-0.08679331336827945,0.75
pollutant_max_O3_Location 2,7.5,2.5,LS_KDEx_MLP,0.032334264537655276,"{'binSize': 400, 'weightsByDistance': False}",0.0764210416622556,0.75
pollutant_max_O3_Location 5,7.5,2.5,LS_KDEx_MLP,0.030894960715568985,"{'binSize': 400, 'weightsByDistance': False}",0.03947835960284507,0.75
pollutant_max_O3_Location 6,7.5,2.5,LS_KDEx_MLP,0.027768369081321766,"{'binSize': 400, 'weightsByDistance': False}",0.1972571248302254,0.75
pollutant_max_PM10_Location 4,7.5,2.5,LS_KDEx_MLP,0.03511946612356977,"{'binSize': 400, 'weightsByDistance': False}",0.4762658500246053,0.75
