Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
CA_1_FOODS_3_080,9.0,1.0,SAA,0.021438938420070486,N/A,,0.9
CA_1_FOODS_3_377,9.0,1.0,SAA,0.02492770387507229,N/A,,0.9
CA_1_FOODS_3_714,9.0,1.0,SAA,0.023868604513765795,N/A,,0.9
CA_2_FOODS_3_080,9.0,1.0,SAA,0.031179237429237425,N/A,,0.9
CA_2_FOODS_3_228,9.0,1.0,SAA,0.018162393162393157,N/A,,0.9
CA_2_FOODS_3_555,9.0,1.0,SAA,0.030296092796092803,N/A,,0.9
CA_2_FOODS_3_694,9.0,1.0,SAA,0.02486411438024341,N/A,,0.9
CA_3_FOODS_3_228,9.0,1.0,SAA,0.024087406846027528,N/A,,0.9
CA_3_FOODS_3_586,9.0,1.0,SAA,0.02918698299493003,N/A,,0.9
CA_4_FOODS_3_080,9.0,1.0,SAA,0.03704212454212454,N/A,,0.9
CA_4_FOODS_3_226,9.0,1.0,SAA,0.029251012145748982,N/A,,0.9
CA_4_FOODS_3_252,9.0,1.0,SAA,0.07370879120879122,N/A,,0.9
CA_4_FOODS_3_714,9.0,1.0,SAA,0.029594017094017093,N/A,,0.9
TX_1_FOODS_3_080,9.0,1.0,SAA,0.02391636141636141,N/A,,0.9
TX_1_FOODS_3_228,9.0,1.0,SAA,0.026217948717948712,N/A,,0.9
TX_1_FOODS_3_377,9.0,1.0,SAA,0.02866300366300365,N/A,,0.9
TX_1_FOODS_3_555,9.0,1.0,SAA,0.024008954008954,N/A,,0.9
TX_2_FOODS_3_252,9.0,1.0,SAA,0.02082138875617137,N/A,,0.9
TX_2_FOODS_3_555,9.0,1.0,SAA,0.016821500867553494,N/A,,0.9
TX_3_FOODS_3_714,9.0,1.0,SAA,0.022198634698634694,N/A,,0.9
WI_1_FOODS_3_080,9.0,1.0,SAA,0.025340744526791036,N/A,,0.9
WI_1_FOODS_3_228,9.0,1.0,SAA,0.03778998778998778,N/A,,0.9
WI_1_FOODS_3_252,9.0,1.0,SAA,0.061562881562881554,N/A,,0.9
WI_1_FOODS_3_586,9.0,1.0,SAA,0.021615703137442273,N/A,,0.9
WI_1_FOODS_3_668,9.0,1.0,SAA,0.026190476190476188,N/A,,0.9
WI_2_FOODS_3_080,9.0,1.0,SAA,0.021388756171364858,N/A,,0.9
WI_2_FOODS_3_252,9.0,1.0,SAA,0.024901556776556772,N/A,,0.9
