Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
16.0,9.0,1.0,SAA,0.1217812419717737,N/A,,0.9
18.0,9.0,1.0,SAA,0.11212233329352672,N/A,,0.9
19.0,9.0,1.0,SAA,0.11636662406213116,N/A,,0.9
20.0,9.0,1.0,SAA,0.09860000252644074,N/A,,0.9
21.0,9.0,1.0,SAA,0.13244063578425125,N/A,,0.9
22.0,9.0,1.0,SAA,0.13037336286752454,N/A,,0.9
16.0,9.0,1.0,DRF,0.09724546238839753,"OrderedDict([('min_node_size', 4), ('num_features', 78), ('num_trees', 250)])",0.20147421052794856,0.9
18.0,9.0,1.0,DRF,0.09469956524253294,"OrderedDict([('min_node_size', 4), ('num_features', 78), ('num_trees', 250)])",0.15539070173809588,0.9
19.0,9.0,1.0,DRF,0.0951454303640067,"OrderedDict([('min_node_size', 4), ('num_features', 78), ('num_trees', 250)])",0.18236495102576766,0.9
20.0,9.0,1.0,DRF,0.08787123135703655,"OrderedDict([('min_node_size', 4), ('num_features', 78), ('num_trees', 250)])",0.10881106383873729,0.9
21.0,9.0,1.0,DRF,0.10032445912209284,"OrderedDict([('min_node_size', 4), ('num_features', 78), ('num_trees', 250)])",0.24249488438334266,0.9
22.0,9.0,1.0,DRF,0.08993937585447298,"OrderedDict([('min_node_size', 4), ('num_features', 78), ('num_trees', 250)])",0.31013994058078787,0.9
16.0,9.0,1.0,LS_KDEx_LGBM,0.08339987759617547,"{'binSize': 400, 'weightsByDistance': False}",0.31516647189798097,0.9
18.0,9.0,1.0,LS_KDEx_LGBM,0.08821163894593366,"{'binSize': 400, 'weightsByDistance': False}",0.2132554117028309,0.9
19.0,9.0,1.0,LS_KDEx_LGBM,0.08725114144807732,"{'binSize': 400, 'weightsByDistance': False}",0.25020475457385727,0.9
20.0,9.0,1.0,LS_KDEx_LGBM,0.07769322984452985,"{'binSize': 400, 'weightsByDistance': False}",0.2120362286634272,0.9
21.0,9.0,1.0,LS_KDEx_LGBM,0.10133888477237459,"{'binSize': 400, 'weightsByDistance': False}",0.234835410051505,0.9
22.0,9.0,1.0,LS_KDEx_LGBM,0.09756855409459689,"{'binSize': 400, 'weightsByDistance': False}",0.25162201888020175,0.9
16.0,9.0,1.0,LS_KDEx_MLP,0.08852121169644174,"{'binSize': 1000, 'weightsByDistance': False}",0.2731129173657215,0.9
18.0,9.0,1.0,LS_KDEx_MLP,0.08899473221872312,"{'binSize': 1000, 'weightsByDistance': False}",0.20627113613714687,0.9
19.0,9.0,1.0,LS_KDEx_MLP,0.09592628460276349,"{'binSize': 1000, 'weightsByDistance': False}",0.17565465720182827,0.9
20.0,9.0,1.0,LS_KDEx_MLP,0.08171550499129146,"{'binSize': 1000, 'weightsByDistance': False}",0.1712423641228763,0.9
21.0,9.0,1.0,LS_KDEx_MLP,0.10704116402881385,"{'binSize': 1000, 'weightsByDistance': False}",0.19178005002040088,0.9
22.0,9.0,1.0,LS_KDEx_MLP,0.10855905868908668,"{'binSize': 1000, 'weightsByDistance': False}",0.1673217879683283,0.9
16.0,7.5,2.5,SAA,0.21696920907113917,N/A,,0.75
18.0,7.5,2.5,SAA,0.2023261536179372,N/A,,0.75
19.0,7.5,2.5,SAA,0.20669770544153968,N/A,,0.75
20.0,7.5,2.5,SAA,0.1720677060283406,N/A,,0.75
21.0,7.5,2.5,SAA,0.23069635827077814,N/A,,0.75
22.0,7.5,2.5,SAA,0.24210705436573393,N/A,,0.75
16.0,7.5,2.5,DRF,0.16799312459897356,"OrderedDict([('min_node_size', 2), ('num_features', 78), ('num_trees', 250)])",0.22572827122261152,0.75
