Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
calamari,9.0,1.0,SAA,0.036284688995215295,N/A,,0.9
chicken,9.0,1.0,SAA,0.026739273035962345,N/A,,0.9
fish,9.0,1.0,SAA,0.025798620883760195,N/A,,0.9
koefte,9.0,1.0,SAA,0.030629590942785903,N/A,,0.9
lamb,9.0,1.0,SAA,0.02432715311004785,N/A,,0.9
shrimp,9.0,1.0,SAA,0.0258652312599681,N/A,,0.9
steak,9.0,1.0,SAA,0.027869354650484294,N/A,,0.9
calamari,9.0,1.0,DRF,0.019868694127646316,"OrderedDict([('min_node_size', 2), ('num_features', 64), ('num_trees', 250)])",0.45242209102946107,0.9
chicken,9.0,1.0,DRF,0.018619110437625354,"OrderedDict([('min_node_size', 2), ('num_features', 64), ('num_trees', 250)])",0.3036792581240325,0.9
fish,9.0,1.0,DRF,0.0216557009609817,"OrderedDict([('min_node_size', 2), ('num_features', 64), ('num_trees', 250)])",0.16058687561033136,0.9
koefte,9.0,1.0,DRF,0.0198452503061602,"OrderedDict([('min_node_size', 2), ('num_features', 64), ('num_trees', 250)])",0.3520889540043207,0.9
lamb,9.0,1.0,DRF,0.018682786606039083,"OrderedDict([('min_node_size', 2), ('num_features', 64), ('num_trees', 250)])",0.23201919593614395,0.9
shrimp,9.0,1.0,DRF,0.019828741752915702,"OrderedDict([('min_node_size', 2), ('num_features', 64), ('num_trees', 250)])",0.23338239068425182,0.9
steak,9.0,1.0,DRF,0.01889954951725787,"OrderedDict([('min_node_size', 2), ('num_features', 64), ('num_trees', 250)])",0.32185191389318923,0.9
calamari,9.0,1.0,LS_KDEx_LGBM,0.014910492224384862,"{'binSize': 400, 'weightsByDistance': False}",0.5890693116771362,0.9
chicken,9.0,1.0,LS_KDEx_LGBM,0.022496680890630984,"{'binSize': 400, 'weightsByDistance': False}",0.15866520154176922,0.9
fish,9.0,1.0,LS_KDEx_LGBM,0.021856712899247236,"{'binSize': 400, 'weightsByDistance': False}",0.1527952987205733,0.9
koefte,9.0,1.0,LS_KDEx_LGBM,0.024210611341962607,"{'binSize': 400, 'weightsByDistance': False}",0.20956791792660678,0.9
lamb,9.0,1.0,LS_KDEx_LGBM,0.01863556123513101,"{'binSize': 400, 'weightsByDistance': False}",0.233960457648702,0.9
shrimp,9.0,1.0,LS_KDEx_LGBM,0.019850936127901158,"{'binSize': 400, 'weightsByDistance': False}",0.23252431310658073,0.9
steak,9.0,1.0,LS_KDEx_LGBM,0.017175826438616065,"{'binSize': 400, 'weightsByDistance': False}",0.3837020392462659,0.9
calamari,9.0,1.0,LS_KDEx_MLP,0.017206078576723495,"{'binSize': 1000, 'weightsByDistance': False}",0.5258033332188023,0.9
chicken,9.0,1.0,LS_KDEx_MLP,0.029486198458435954,"{'binSize': 1000, 'weightsByDistance': False}",-0.10272999639067226,0.9
fish,9.0,1.0,LS_KDEx_MLP,0.029610604805302403,"{'binSize': 1000, 'weightsByDistance': False}",-0.14775921312684548,0.9
koefte,9.0,1.0,LS_KDEx_MLP,0.0321349147516679,"{'binSize': 1000, 'weightsByDistance': False}",-0.04914606308957392,0.9
lamb,9.0,1.0,LS_KDEx_MLP,0.02148253756991711,"{'binSize': 1000, 'weightsByDistance': False}",0.11693170702147748,0.9
shrimp,9.0,1.0,LS_KDEx_MLP,0.026672844082036073,"{'binSize': 1000, 'weightsByDistance': False}",-0.03122387787492631,0.9
steak,9.0,1.0,LS_KDEx_MLP,0.02264672114845685,"{'binSize': 1000, 'weightsByDistance': False}",0.18739700174351503,0.9
calamari,7.5,2.5,SAA,0.060657894736842084,N/A,,0.75
chicken,7.5,2.5,SAA,0.04530984719864178,N/A,,0.75
fish,7.5,2.5,SAA,0.043627450980392155,N/A,,0.75
koefte,7.5,2.5,SAA,0.05699592290585621,N/A,,0.75
lamb,7.5,2.5,SAA,0.044574860446570976,N/A,,0.75
shrimp,7.5,2.5,SAA,0.038377192982456135,N/A,,0.75
steak,7.5,2.5,SAA,0.04289955070603337,N/A,,0.75
calamari,7.5,2.5,DRF,0.02896260081190724,"OrderedDict([('min_node_size', 1), ('num_features', 64), ('num_trees', 500)])",0.5225254529924184,0.75
chicken,7.5,2.5,DRF,0.03350557732665786,"OrderedDict([('min_node_size', 1), ('num_features', 64), ('num_trees', 500)])",0.2605232769872984,0.75
fish,7.5,2.5,DRF,0.04107553554580015,"OrderedDict([('min_node_size', 1), ('num_features', 64), ('num_trees', 500)])",0.058493342545704374,0.75
koefte,7.5,2.5,DRF,0.040009160383646304,"OrderedDict([('min_node_size', 1), ('num_features', 64), ('num_trees', 500)])",0.2980346953986168,0.75
lamb,7.5,2.5,DRF,0.028909140633442656,"OrderedDict([('min_node_size', 1), ('num_features', 64), ('num_trees', 500)])",0.3514474225198262,0.75
shrimp,7.5,2.5,DRF,0.03545805530184417,"OrderedDict([('min_node_size', 1), ('num_features', 64), ('num_trees', 500)])",0.07606438756337464,0.75
steak,7.5,2.5,DRF,0.03133772485826424,"OrderedDict([('min_node_size', 1), ('num_features', 64), ('num_trees', 500)])",0.2695092526025705,0.75
calamari,7.5,2.5,LS_KDEx_LGBM,0.02593533831754954,"{'binSize': 100, 'weightsByDistance': False}",0.572432600404823,0.75
chicken,7.5,2.5,LS_KDEx_LGBM,0.03512151994344675,"{'binSize': 100, 'weightsByDistance': False}",0.22485900714978435,0.75
fish,7.5,2.5,LS_KDEx_LGBM,0.03642473796964334,"{'binSize': 100, 'weightsByDistance': False}",0.1650958937295235,0.75
koefte,7.5,2.5,LS_KDEx_LGBM,0.04040771095661012,"{'binSize': 100, 'weightsByDistance': False}",0.2910420799158897,0.75
lamb,7.5,2.5,LS_KDEx_LGBM,0.03311277136466658,"{'binSize': 100, 'weightsByDistance': False}",0.2571424557939618,0.75
shrimp,7.5,2.5,LS_KDEx_LGBM,0.03831076735112877,"{'binSize': 100, 'weightsByDistance': False}",0.0017308621648730593,0.75
steak,7.5,2.5,LS_KDEx_LGBM,0.03127815960684441,"{'binSize': 100, 'weightsByDistance': False}",0.2708977345432789,0.75
calamari,7.5,2.5,LS_KDEx_MLP,0.031289465713351984,"{'binSize': 1000, 'weightsByDistance': False}",0.48416499040894756,0.75
chicken,7.5,2.5,LS_KDEx_MLP,0.045840905648947446,"{'binSize': 1000, 'weightsByDistance': False}",-0.011720596804872585,0.75
fish,7.5,2.5,LS_KDEx_MLP,0.050066808688610916,"{'binSize': 1000, 'weightsByDistance': False}",-0.14759876095243007,0.75
koefte,7.5,2.5,LS_KDEx_MLP,0.049706273862757756,"{'binSize': 1000, 'weightsByDistance': False}",0.1278977279680027,0.75
lamb,7.5,2.5,LS_KDEx_MLP,0.04208626330318174,"{'binSize': 1000, 'weightsByDistance': False}",0.05582961154465427,0.75
shrimp,7.5,2.5,LS_KDEx_MLP,0.04734968953505982,"{'binSize': 1000, 'weightsByDistance': False}",-0.23379762445641616,0.75
steak,7.5,2.5,LS_KDEx_MLP,0.03634188407183337,"{'binSize': 1000, 'weightsByDistance': False}",0.15286096302350627,0.75
calamari,5.0,5.0,SAA,0.07849179400113183,N/A,,0.5
chicken,5.0,5.0,SAA,0.0558149405772496,N/A,,0.5
fish,5.0,5.0,SAA,0.05575252172176171,N/A,,0.5
koefte,5.0,5.0,SAA,0.06495751532397555,N/A,,0.5
lamb,5.0,5.0,SAA,0.05527232211761076,N/A,,0.5
shrimp,5.0,5.0,SAA,0.046151669496321455,N/A,,0.5
steak,5.0,5.0,SAA,0.046100080058525526,N/A,,0.5
calamari,5.0,5.0,DRF,0.03375481386392811,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.5699574166512059,0.5
chicken,5.0,5.0,DRF,0.04202922981101818,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.2469896164657127,0.5
fish,5.0,5.0,DRF,0.05073976962814422,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.08991076885515792,0.5
koefte,5.0,5.0,DRF,0.05290053535332642,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.18561331834376593,0.5
lamb,5.0,5.0,DRF,0.0423785984236852,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.23327631624540313,0.5
shrimp,5.0,5.0,DRF,0.04432432377320867,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.039594357973516736,0.5
steak,5.0,5.0,DRF,0.035646920306039206,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.22674927547231372,0.5
calamari,5.0,5.0,LS_KDEx_LGBM,0.03041403386425436,"{'binSize': 100, 'weightsByDistance': False}",0.6125195728891635,0.5
chicken,5.0,5.0,LS_KDEx_LGBM,0.039272948587768,"{'binSize': 100, 'weightsByDistance': False}",0.2963721150358831,0.5
fish,5.0,5.0,LS_KDEx_LGBM,0.046322482934438115,"{'binSize': 100, 'weightsByDistance': False}",0.1691410270980227,0.5
koefte,5.0,5.0,LS_KDEx_LGBM,0.050374449205305774,"{'binSize': 100, 'weightsByDistance': False}",0.22450159994477537,0.5
lamb,5.0,5.0,LS_KDEx_LGBM,0.040738270307259995,"{'binSize': 100, 'weightsByDistance': False}",0.26295352273104433,0.5
shrimp,5.0,5.0,LS_KDEx_LGBM,0.046494627603786545,"{'binSize': 100, 'weightsByDistance': False}",-0.007431109452983531,0.5
steak,5.0,5.0,LS_KDEx_LGBM,0.03586985024552767,"{'binSize': 100, 'weightsByDistance': False}",0.22191349342583033,0.5
calamari,5.0,5.0,LS_KDEx_MLP,0.0366340823801839,"{'binSize': 400, 'weightsByDistance': False}",0.5332750022294606,0.5
chicken,5.0,5.0,LS_KDEx_MLP,0.05060431404249479,"{'binSize': 400, 'weightsByDistance': False}",0.0933554077253409,0.5
fish,5.0,5.0,LS_KDEx_MLP,0.06432756525071169,"{'binSize': 400, 'weightsByDistance': False}",-0.15380548294738228,0.5
koefte,5.0,5.0,LS_KDEx_MLP,0.05650681109862344,"{'binSize': 400, 'weightsByDistance': False}",0.13009586624741154,0.5
lamb,5.0,5.0,LS_KDEx_MLP,0.05510872570282162,"{'binSize': 400, 'weightsByDistance': False}",0.0029598252528821867,0.5
shrimp,5.0,5.0,LS_KDEx_MLP,0.05338415727709251,"{'binSize': 400, 'weightsByDistance': False}",-0.15671129256434635,0.5
steak,5.0,5.0,LS_KDEx_MLP,0.04313802202562067,"{'binSize': 400, 'weightsByDistance': False}",0.06425277416317776,0.5
calamari,2.5,7.5,SAA,0.05900119617224875,N/A,,0.25
chicken,2.5,7.5,SAA,0.04742887276843135,N/A,,0.25
fish,2.5,7.5,SAA,0.041610962566844906,N/A,,0.25
koefte,2.5,7.5,SAA,0.04897988408922436,N/A,,0.25
lamb,2.5,7.5,SAA,0.04676285885167466,N/A,,0.25
shrimp,2.5,7.5,SAA,0.037071371610845304,N/A,,0.25
steak,2.5,7.5,SAA,0.029167639164429923,N/A,,0.25
calamari,2.5,7.5,DRF,0.0236322963074832,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.599460725533584,0.25
chicken,2.5,7.5,DRF,0.03868545546294191,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.18434798879110326,0.25
fish,2.5,7.5,DRF,0.03657369347978381,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.12105629806013507,0.25
koefte,2.5,7.5,DRF,0.03807573063681321,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.22262513795556493,0.25
lamb,2.5,7.5,DRF,0.037700271588188526,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.1937988285154124,0.25
shrimp,2.5,7.5,DRF,0.03772317212102944,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",-0.01758231438065949,0.25
steak,2.5,7.5,DRF,0.027455369091869818,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",0.05870444511834971,0.25
calamari,2.5,7.5,LS_KDEx_LGBM,0.02440578764839191,"{'binSize': 100, 'weightsByDistance': False}",0.5863509685949182,0.25
chicken,2.5,7.5,LS_KDEx_LGBM,0.03127412382754631,"{'binSize': 100, 'weightsByDistance': False}",0.3406100123812691,0.25
fish,2.5,7.5,LS_KDEx_LGBM,0.03808005632886537,"{'binSize': 100, 'weightsByDistance': False}",0.08485519248220696,0.25
koefte,2.5,7.5,LS_KDEx_LGBM,0.03821910403085558,"{'binSize': 100, 'weightsByDistance': False}",0.2196979486265499,0.25
lamb,2.5,7.5,LS_KDEx_LGBM,0.03580410477296829,"{'binSize': 100, 'weightsByDistance': False}",0.2343473933761412,0.25
shrimp,2.5,7.5,LS_KDEx_LGBM,0.03996054494872394,"{'binSize': 100, 'weightsByDistance': False}",-0.07793543136756775,0.25
steak,2.5,7.5,LS_KDEx_LGBM,0.027920113643234306,"{'binSize': 100, 'weightsByDistance': False}",0.04277087748387198,0.25
calamari,2.5,7.5,LS_KDEx_MLP,0.030921840339952423,"{'binSize': 1000, 'weightsByDistance': False}",0.47591163661023317,0.25
chicken,2.5,7.5,LS_KDEx_MLP,0.037046557784739,"{'binSize': 1000, 'weightsByDistance': False}",0.21890284077345434,0.25
fish,2.5,7.5,LS_KDEx_MLP,0.052326760422718076,"{'binSize': 1000, 'weightsByDistance': False}",-0.25752343120299215,0.25
