Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
pollutant_max_NO2_Location 3,9.0,1.0,SAA,0.025721559039280473,N/A,,0.9
pollutant_max_O3_Location 1,9.0,1.0,SAA,0.017306571087216248,N/A,,0.9
pollutant_max_O3_Location 2,9.0,1.0,SAA,0.025440176624912235,N/A,,0.9
pollutant_max_O3_Location 5,9.0,1.0,SAA,0.020777013019321663,N/A,,0.9
pollutant_max_O3_Location 6,9.0,1.0,SAA,0.026010071345221587,N/A,,0.9
pollutant_max_PM10_Location 4,9.0,1.0,SAA,0.03914378721558311,N/A,,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,SAA,0.03502484419934175,N/A,,0.9
pollutant_max_SO2_Location 1,9.0,1.0,SAA,0.04910653029110936,N/A,,0.9
pollutant_max_SO2_Location 2,9.0,1.0,SAA,0.04886424956492664,N/A,,0.9
pollutant_max_SO2_Location 6,9.0,1.0,SAA,0.04930675885712408,N/A,,0.9
pollutant_max_NO2_Location 3,9.0,1.0,MLP,0.05404047513227213,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",-1.1009797675850304,0.9
pollutant_max_O3_Location 1,9.0,1.0,MLP,0.02386934417339507,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",-0.37920701062653084,0.9
pollutant_max_O3_Location 2,9.0,1.0,MLP,0.023784210534204014,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",0.06509255478543419,0.9
pollutant_max_O3_Location 5,9.0,1.0,MLP,0.02876229700779728,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",-0.3843326266893934,0.9
pollutant_max_O3_Location 6,9.0,1.0,MLP,0.022132570965966648,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",0.1490768836344345,0.9
pollutant_max_PM10_Location 4,9.0,1.0,MLP,0.024974067618116092,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",0.3619915344273603,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,MLP,0.01649017636446221,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",0.5291863035675652,0.9
pollutant_max_SO2_Location 1,9.0,1.0,MLP,0.015447517567217163,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",0.6854284455520999,0.9
pollutant_max_SO2_Location 2,9.0,1.0,MLP,0.013402841137815974,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",0.725712739740177,0.9
pollutant_max_SO2_Location 6,9.0,1.0,MLP,0.005904499295986997,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 81), ('layer2', 6), ('learning_rate_init', 0.0005), ('max_iter', 500), ('solver', 'adam')])",0.8802496973468398,0.9
pollutant_max_NO2_Location 3,9.0,1.0,LGBM,0.08191869979274656,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",-2.1848263811553985,0.9
pollutant_max_O3_Location 1,9.0,1.0,LGBM,0.014519664687615142,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",0.16103169053861255,0.9
pollutant_max_O3_Location 2,9.0,1.0,LGBM,0.016364323820627434,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",0.35675274343014163,0.9
pollutant_max_O3_Location 5,9.0,1.0,LGBM,0.02892857498075895,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",-0.39233560444211646,0.9
pollutant_max_O3_Location 6,9.0,1.0,LGBM,0.01402291694250214,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",0.46086587935952184,0.9
pollutant_max_PM10_Location 4,9.0,1.0,LGBM,0.02794199615009844,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",0.28617034432031774,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,LGBM,0.017980865738840522,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",0.48662538978036485,0.9
pollutant_max_SO2_Location 1,9.0,1.0,LGBM,0.006571901591493348,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",0.866170516374618,0.9
pollutant_max_SO2_Location 2,9.0,1.0,LGBM,0.00899602897201908,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",0.8158975313830221,0.9
pollutant_max_SO2_Location 6,9.0,1.0,LGBM,0.006040343068280907,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 100), ('num_leaves', 63)])",0.8774946232871649,0.9
pollutant_max_NO2_Location 3,9.0,1.0,RFW,0.027256839416549026,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",-0.05968846503137559,0.9
pollutant_max_O3_Location 1,9.0,1.0,RFW,0.019471445639187568,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",-0.12508974429778497,0.9
pollutant_max_O3_Location 2,9.0,1.0,RFW,0.020019722499353357,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",0.21306668603278922,0.9
pollutant_max_O3_Location 5,9.0,1.0,RFW,0.01845164054509771,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",0.11192044169493787,0.9
pollutant_max_O3_Location 6,9.0,1.0,RFW,0.01851843150153889,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",0.28802842346139956,0.9
pollutant_max_PM10_Location 4,9.0,1.0,RFW,0.016021318928767875,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",0.5907059569752158,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,RFW,0.01271690200698769,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",0.6369176709363724,0.9
pollutant_max_SO2_Location 1,9.0,1.0,RFW,0.0040404336043360425,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",0.9177210529763786,0.9
pollutant_max_SO2_Location 2,9.0,1.0,RFW,0.006842573966976784,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",0.8599676854162068,0.9
pollutant_max_SO2_Location 6,9.0,1.0,RFW,0.004095313804558296,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 100)])",0.9169421414125949,0.9
pollutant_max_NO2_Location 3,9.0,1.0,KNNW,0.03461047254150702,"OrderedDict([('n_neighbors', 32)])",-0.34558222107189995,0.9
pollutant_max_O3_Location 1,9.0,1.0,KNNW,0.025580884109916362,"OrderedDict([('n_neighbors', 32)])",-0.47810239134036525,0.9
pollutant_max_O3_Location 2,9.0,1.0,KNNW,0.028871060118981627,"OrderedDict([('n_neighbors', 32)])",-0.1348608362533814,0.9
pollutant_max_O3_Location 5,9.0,1.0,KNNW,0.024387041490449728,"OrderedDict([('n_neighbors', 32)])",-0.17375108095523184,0.9
pollutant_max_O3_Location 6,9.0,1.0,KNNW,0.023576815544017096,"OrderedDict([('n_neighbors', 32)])",0.09355052390702168,0.9
pollutant_max_PM10_Location 4,9.0,1.0,KNNW,0.020777038641364137,"OrderedDict([('n_neighbors', 32)])",0.4692123547745831,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,KNNW,0.012951712186718315,"OrderedDict([('n_neighbors', 32)])",0.6302135674607304,0.9
pollutant_max_SO2_Location 1,9.0,1.0,KNNW,0.004493983739837398,"OrderedDict([('n_neighbors', 32)])",0.9084850077332581,0.9
pollutant_max_SO2_Location 2,9.0,1.0,KNNW,0.007838587503143073,"OrderedDict([('n_neighbors', 32)])",0.8395844083775843,0.9
pollutant_max_SO2_Location 6,9.0,1.0,KNNW,0.0042500843799406695,"OrderedDict([('n_neighbors', 32)])",0.913803209165378,0.9
pollutant_max_NO2_Location 3,9.0,1.0,DTW,0.03676580391643911,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",-0.42937696195990727,0.9
pollutant_max_O3_Location 1,9.0,1.0,DTW,0.017350537634408598,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",-0.002540453968078449,0.9
pollutant_max_O3_Location 2,9.0,1.0,DTW,0.025266045892916526,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",0.006844713956317139,0.9
pollutant_max_O3_Location 5,9.0,1.0,DTW,0.02417143488957072,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",-0.1633739107297283,0.9
pollutant_max_O3_Location 6,9.0,1.0,DTW,0.022639381622535995,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",0.12959171383837187,0.9
pollutant_max_PM10_Location 4,9.0,1.0,DTW,0.017704250893839382,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",0.5477123662987997,0.9
pollutant_max_PM2.5_Location 3,9.0,1.0,DTW,0.012326134862854572,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",0.6480745269643133,0.9
pollutant_max_SO2_Location 1,9.0,1.0,DTW,0.003521084010840108,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",0.9282970311694452,0.9
pollutant_max_SO2_Location 2,9.0,1.0,DTW,0.007756998575140394,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",0.8412541143227104,0.9
pollutant_max_SO2_Location 6,9.0,1.0,DTW,0.0045023359920416395,"OrderedDict([('max_depth', 8), ('min_samples_split', 32)])",0.9086872449862698,0.9
pollutant_max_NO2_Location 3,9.0,1.0,GKW,0.029182893954226068,"OrderedDict([('kernel_bandwidth', 2.0)])",-0.13456940575256904,0.9
