Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
16.0,9.0,1.0,SAA,0.1217812419717737,N/A,,0.9
18.0,9.0,1.0,SAA,0.11212233329352672,N/A,,0.9
19.0,9.0,1.0,SAA,0.11636662406213116,N/A,,0.9
20.0,9.0,1.0,SAA,0.09860000252644074,N/A,,0.9
21.0,9.0,1.0,SAA,0.13244063578425125,N/A,,0.9
22.0,9.0,1.0,SAA,0.13037336286752454,N/A,,0.9
16.0,9.0,1.0,MLP,0.16787113552707084,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.37846463715635115,0.9
18.0,9.0,1.0,MLP,0.19493384722713442,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.7385817927710638,0.9
19.0,9.0,1.0,MLP,0.1882840890014734,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.6180248462045579,0.9
20.0,9.0,1.0,MLP,0.18661686132322816,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.89266588784503,0.9
21.0,9.0,1.0,MLP,0.2653236900459536,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-1.003340504029079,0.9
22.0,9.0,1.0,MLP,0.31312079731914777,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-1.4017237143550343,0.9
16.0,9.0,1.0,LGBM,0.1423257980350049,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 127)])",-0.16870049714218704,0.9
18.0,9.0,1.0,LGBM,0.16871740338105096,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 127)])",-0.5047617938824298,0.9
19.0,9.0,1.0,LGBM,0.16706028009517435,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 127)])",-0.4356374213105687,0.9
20.0,9.0,1.0,LGBM,0.14216602335462922,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 127)])",-0.4418460417027448,0.9
21.0,9.0,1.0,LGBM,0.23998905126971729,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 127)])",-0.8120499788347801,0.9
22.0,9.0,1.0,LGBM,0.2866103513881464,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 127)])",-1.198381211347428,0.9
16.0,9.0,1.0,RFW,0.08568852460605925,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.2963733722971883,0.9
18.0,9.0,1.0,RFW,0.08979075074146677,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.19917158246785482,0.9
