Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
calamari,9.0,1.0,SAA,0.036284688995215295,N/A,,0.9
chicken,9.0,1.0,SAA,0.026739273035962345,N/A,,0.9
fish,9.0,1.0,SAA,0.025798620883760195,N/A,,0.9
koefte,9.0,1.0,SAA,0.030629590942785903,N/A,,0.9
lamb,9.0,1.0,SAA,0.02432715311004785,N/A,,0.9
shrimp,9.0,1.0,SAA,0.0258652312599681,N/A,,0.9
steak,9.0,1.0,SAA,0.027869354650484294,N/A,,0.9
calamari,9.0,1.0,MLP,0.015877211180279283,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.5624266978732285,0.9
chicken,9.0,1.0,MLP,0.06504032200891086,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-1.4323893144528062,0.9
fish,9.0,1.0,MLP,0.04647526942055932,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.8014633274375815,0.9
koefte,9.0,1.0,MLP,0.09029834218856152,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-1.9480753548825707,0.9
lamb,9.0,1.0,MLP,0.045591680173058084,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.8741066809920863,0.9
shrimp,9.0,1.0,MLP,0.04334614270883767,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.6758459367005532,0.9
steak,9.0,1.0,MLP,0.03903608256894396,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.40068125216762485,0.9
calamari,9.0,1.0,LGBM,0.017388313232688933,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 200), ('num_leaves', 127)])",0.5207809763787185,0.9
chicken,9.0,1.0,LGBM,0.04593238108152047,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 200), ('num_leaves', 127)])",-0.7177872046014422,0.9
fish,9.0,1.0,LGBM,0.03685814760306946,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 200), ('num_leaves', 127)])",-0.4286867414014002,0.9
koefte,9.0,1.0,LGBM,0.06610088030459678,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 200), ('num_leaves', 127)])",-1.1580725785097474,0.9
lamb,9.0,1.0,LGBM,0.031685967882713106,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 200), ('num_leaves', 127)])",-0.30249387338405187,0.9
shrimp,9.0,1.0,LGBM,0.03800977477303794,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 200), ('num_leaves', 127)])",-0.4695316036808874,0.9
steak,9.0,1.0,LGBM,0.033751751321389786,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 200), ('num_leaves', 127)])",-0.21107043003607084,0.9
calamari,9.0,1.0,RFW,0.01886157466837826,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.48017813599379466,0.9
chicken,9.0,1.0,RFW,0.021125272697292856,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.2099533645181405,0.9
fish,9.0,1.0,RFW,0.021963395934415517,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.14866007631279576,0.9
koefte,9.0,1.0,RFW,0.023190234230924468,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.24288136024270368,0.9
lamb,9.0,1.0,RFW,0.0195445037669033,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.19659716537769367,0.9
shrimp,9.0,1.0,RFW,0.019810340142883423,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.2340938326136639,0.9
steak,9.0,1.0,RFW,0.01908235909067772,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.315292394460016,0.9
calamari,9.0,1.0,KNNW,0.01568421052631579,"OrderedDict([('n_neighbors', 32)])",0.5677457638293661,0.9
chicken,9.0,1.0,KNNW,0.022911553542068374,"OrderedDict([('n_neighbors', 32)])",0.14314972171255258,0.9
fish,9.0,1.0,KNNW,0.02140999369965854,"OrderedDict([('n_neighbors', 32)])",0.1701109219704151,0.9
koefte,9.0,1.0,KNNW,0.024153558600451933,"OrderedDict([('n_neighbors', 32)])",0.21143058535880477,0.9
lamb,9.0,1.0,KNNW,0.019086125776567285,"OrderedDict([('n_neighbors', 32)])",0.2154394026202705,0.9
shrimp,9.0,1.0,KNNW,0.023188302784401992,"OrderedDict([('n_neighbors', 32)])",0.10349524613411132,0.9
steak,9.0,1.0,KNNW,0.016655395106480664,"OrderedDict([('n_neighbors', 32)])",0.40237600348627955,0.9
calamari,9.0,1.0,DTW,0.015947368421052627,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.5604931759741543,0.9
chicken,9.0,1.0,DTW,0.018533177062946635,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.30689300946884823,0.9
fish,9.0,1.0,DTW,0.021672645022137657,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.1599300939462145,0.9
koefte,9.0,1.0,DTW,0.024727651961114656,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.19268748945082836,0.9
lamb,9.0,1.0,DTW,0.02092409922052249,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.13988705847047078,0.9
shrimp,9.0,1.0,DTW,0.02214927536911487,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.1436660609566811,0.9
steak,9.0,1.0,DTW,0.021179596697201,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.24003993049645456,0.9
calamari,9.0,1.0,GKW,0.016353016688061616,"OrderedDict([('kernel_bandwidth', 2.0)])",0.549313577133925,0.9
chicken,9.0,1.0,GKW,0.01977468295697028,"OrderedDict([('kernel_bandwidth', 2.0)])",0.26046295535503927,0.9
fish,9.0,1.0,GKW,0.023520661150976018,"OrderedDict([('kernel_bandwidth', 2.0)])",0.08829773277602271,0.9
koefte,9.0,1.0,GKW,0.025054268865754077,"OrderedDict([('kernel_bandwidth', 2.0)])",0.18202404620571544,0.9
lamb,9.0,1.0,GKW,0.016732201270017774,"OrderedDict([('kernel_bandwidth', 2.0)])",0.3122006017585811,0.9
shrimp,9.0,1.0,GKW,0.021951518722703046,"OrderedDict([('kernel_bandwidth', 2.0)])",0.15131171640913765,0.9
steak,9.0,1.0,GKW,0.017369288298311095,"OrderedDict([('kernel_bandwidth', 2.0)])",0.37676029760490837,0.9
calamari,7.5,2.5,SAA,0.060657894736842084,N/A,,0.75
chicken,7.5,2.5,SAA,0.04530984719864178,N/A,,0.75
fish,7.5,2.5,SAA,0.043627450980392155,N/A,,0.75
koefte,7.5,2.5,SAA,0.05699592290585621,N/A,,0.75
lamb,7.5,2.5,SAA,0.044574860446570976,N/A,,0.75
shrimp,7.5,2.5,SAA,0.038377192982456135,N/A,,0.75
steak,7.5,2.5,SAA,0.04289955070603337,N/A,,0.75
calamari,7.5,2.5,MLP,0.023737482941533078,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.6086662248250511,0.75
chicken,7.5,2.5,MLP,0.05889007818130742,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.29971919620759,0.75
fish,7.5,2.5,MLP,0.049103636327065325,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.1255215517664412,0.75
koefte,7.5,2.5,MLP,0.07808947733383154,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.37008883008731863,0.75
lamb,7.5,2.5,MLP,0.04708657743509011,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.05634828608223619,0.75
shrimp,7.5,2.5,MLP,0.0444794790163179,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-0.15900813893948373,0.75
steak,7.5,2.5,MLP,0.036818761567115194,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 192), ('layer2', 128), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.1417448210725195,0.75
calamari,7.5,2.5,LGBM,0.022900559596048465,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 63)])",0.622463659587921,0.75
chicken,7.5,2.5,LGBM,0.04480756763585646,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 63)])",0.011085439343533565,0.75
fish,7.5,2.5,LGBM,0.040606279403616746,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 63)])",0.06924932602945877,0.75
koefte,7.5,2.5,LGBM,0.06045505189274411,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 63)])",-0.0606908145447802,0.75
lamb,7.5,2.5,LGBM,0.03625387021778182,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 63)])",0.1866745099238839,0.75
shrimp,7.5,2.5,LGBM,0.04202920617561041,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 63)])",-0.09516102949019145,0.75
steak,7.5,2.5,LGBM,0.03354938339572523,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 63)])",0.2179549006090905,0.75
calamari,7.5,2.5,RFW,0.029885248970223977,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.5073147675190839,0.75
chicken,7.5,2.5,RFW,0.03347110602381661,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.2612840675211999,0.75
fish,7.5,2.5,RFW,0.03814822549225663,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.1255912359078255,0.75
koefte,7.5,2.5,RFW,0.040904120930448,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.2823325100286219,0.75
lamb,7.5,2.5,RFW,0.032378394257673644,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.2736175967060279,0.75
shrimp,7.5,2.5,RFW,0.03657536009254041,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.04695061701723269,0.75
steak,7.5,2.5,RFW,0.03087245797526497,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.2803547480761126,0.75
calamari,7.5,2.5,KNNW,0.025921052631578952,"OrderedDict([('n_neighbors', 32)])",0.5726681127982645,0.75
chicken,7.5,2.5,KNNW,0.03717750238017509,"OrderedDict([('n_neighbors', 32)])",0.17948294512700247,0.75
fish,7.5,2.5,KNNW,0.04149930520802174,"OrderedDict([('n_neighbors', 32)])",0.04877997051276006,0.75
koefte,7.5,2.5,KNNW,0.04737219022707527,"OrderedDict([('n_neighbors', 32)])",0.16884949287823747,0.75
lamb,7.5,2.5,KNNW,0.03707569877202744,"OrderedDict([('n_neighbors', 32)])",0.16823746837148934,0.75
shrimp,7.5,2.5,KNNW,0.03481900583134943,"OrderedDict([('n_neighbors', 32)])",0.09271619090883765,0.75
steak,7.5,2.5,KNNW,0.029819839203284296,"OrderedDict([('n_neighbors', 32)])",0.30489157316301574,0.75
calamari,7.5,2.5,DTW,0.029371756856931063,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.5157801472610062,0.75
