binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.30860349127182046,0,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,True,0.4918952618453865,0,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,False,0.3335411471321696,0,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,True,0.4918952618453865,0,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,False,0.3971321695760599,0,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,True,0.49376558603491266,0,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,False,0.3491271820448878,0,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,True,0.48503740648379046,0,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,False,0.316616766467066,1,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,True,0.38398203592814395,1,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,False,0.345808383233533,1,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,True,0.37350299401197623,1,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,False,0.3570359281437127,1,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,True,0.38173652694610793,1,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,False,0.40194610778443124,1,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,True,0.3824850299401199,1,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,False,0.653846153846154,2,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,True,0.8707037643207858,2,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,False,0.6031096563011458,2,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,True,0.863338788870704,2,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,False,0.5875613747954176,2,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,True,0.8527004909983638,2,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,False,0.5294599018003275,2,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,True,0.8396072013093293,2,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,False,0.5458074534161491,3,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,True,0.6708074534161491,3,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,False,0.5768633540372671,3,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,True,0.6677018633540374,3,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,False,0.5597826086956522,3,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,True,0.657608695652174,3,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,False,0.5869565217391305,3,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,True,0.657608695652174,3,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,False,0.5462114904246462,4,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
20,True,0.6244796003330558,4,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,False,0.5945045795170691,4,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
100,True,0.6386344712739385,4,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,False,0.6602830974188177,4,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
400,True,0.6394671107410492,4,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
800,False,0.8101582014987512,4,LS_KDEx_LGBM,9.0,1.0,0.9,Location_1_max_CO,air,,,,
