binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.42981420493382216,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,0.5491207357236066,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.3858199217050892,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,0.559311501895234,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,1.0,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.5227738768408625,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.4992835743128826,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,0.5350397290608312,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.5530806304546046,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,0.5179106421779341,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,0.6753940341279147,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.5059919239286179,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.5248910300527644,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,0.530473350156764,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.47686778313068756,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,0.47227957482603067,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,0.7458132599220003,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.4536973311921696,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.4078460399703923,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,0.552789179732185,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.4062983648475877,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,0.5357647533813338,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,0.7118632662674111,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.5387255231814818,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.5536817788045048,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,0.6598902685532777,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.5433439214553856,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,0.6578111464048515,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,0.726999711233035,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.6527866012128215,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.7228608711862302,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,0.7552973342447029,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.6456223202634688,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,0.7684707636860748,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.7350400795376872,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.9126611957796014,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,1.1584603360687766,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.9162433242151882,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,1.1197082193565195,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,0.8810733359385176,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,1.1115670183665494,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.8943182687160665,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,1.2085340674466623,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.9546532079223063,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,1.087252427926895,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,0.6379903647625601,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.9281180698937065,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.8761859901756275,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,1.0228113855056862,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.786891864612072,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,0.9253078527689929,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,0.6470627817778076,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.8675728416661059,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.6313600924054289,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,True,0.6855327750505341,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,False,0.7121570892289922,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
100,True,0.6678024833958996,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,False,0.8452209067282702,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
400,True,0.6848397343343922,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_101.0,bakery,,,,
20,False,0.3303364269141531,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.35324825986078884,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.32569605568445475,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.3584686774941995,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,1.0,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.34396751740139203,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.5665615141955838,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.5230283911671926,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.5990536277602526,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.5974763406940066,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,0.7561514195583598,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.5753943217665617,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.2883589582679636,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.35519297144650147,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.3727643551929715,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.30624411672419205,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,0.5101976780671478,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.2786319422654534,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.4071791153009428,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.4554024655547499,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.40355329949238594,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.3839738941261785,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,0.5873821609862219,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.3890500362581582,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.30677290836653387,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.3376494023904382,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.3891102257636122,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.347609561752988,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,0.5803452855245684,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.34893758300132804,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.9446055684454759,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.9730278422273784,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.8216357308584689,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.9335846867749421,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.8587587006960559,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.9583596214511041,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,1.090851735015773,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.8242902208201894,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,1.0299684542586753,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,0.9141955835962149,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,1.0331230283911674,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.45026670850329475,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.5177282711013493,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.49137119548164426,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.48635080012550996,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,0.6664574835268278,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.43802949482271747,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.6711385061638869,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.695794053662074,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.6936185641769399,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.7121102248005802,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,0.8919506889050036,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.71464829586657,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.6258300132802125,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,True,0.6181938911022576,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,False,0.5962815405046481,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
100,True,0.6328021248339973,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,False,0.8399734395750332,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
400,True,0.6254980079681275,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,
20,False,0.47959685349065884,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,True,0.5228613569321534,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,False,0.42551622418879054,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,True,0.49926253687315647,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,False,1.0,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,True,0.47689282202556543,0,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,False,0.44273743016759776,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,True,0.46731843575418996,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,False,0.4337988826815642,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,True,0.4349162011173184,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,False,0.6360335195530727,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,True,0.429608938547486,1,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,False,0.4479791395045633,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,True,0.441199478487614,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,False,0.42190352020860505,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,True,0.3976531942633638,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,False,0.8826597131681876,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,True,0.40495436766623216,2,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,False,0.479539641943734,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,True,0.46867007672634264,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,False,0.47921994884910485,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,True,0.47890025575447565,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,False,0.9520460358056264,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,True,0.48497442455242973,3,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,False,0.5313416911176315,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,True,0.6703120832221927,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,False,0.5785542811416379,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,True,0.619631901840491,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,False,0.7415310749533209,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,True,0.5294745265404108,4,LS_KDEx_LGBM,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,False,1.0024582104228121,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,True,1.0496558505408065,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,False,0.9478859390363816,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,True,0.9791052114060965,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,True,0.9577187807276303,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,False,0.9927374301675979,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
20,True,1.4793296089385475,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,False,0.8625698324022346,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
100,True,1.205027932960894,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
400,False,0.8650837988826817,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,
