binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,0.7165091717620901,0,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
20,True,0.7643135075041689,0,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
100,False,0.7204002223457477,0,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
100,True,0.7720956086714841,0,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
400,False,0.7704280155642024,0,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
400,True,0.7654252362423567,0,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
20,False,0.7568673290473409,1,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
20,True,1.0584453535943894,1,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
100,False,0.6317942723553477,1,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
100,True,1.0409117475160723,1,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
400,False,0.7077732320280538,1,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
400,True,1.040327293980129,1,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
20,False,1.1256067961165053,2,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
20,True,1.14623786407767,2,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
100,False,1.050970873786408,2,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
100,True,1.1067961165048543,2,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
400,False,1.0946601941747574,2,LS_KDEx_LGBM,9.0,1.0,0.9,CA_1_FOODS_3_080,m5,,,,
