Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
17.0_101.0,9.0,1.0,SAA,24.328099173553714,N/A,,0.9
17.0_101.0,9.0,1.0,LS_KDEx_LGBM,10.146280991735537,"{'binSize': 100, 'weightsByDistance': False}",0.5829398376193226,0.9
17.0_101.0,9.0,1.0,LS_KDEx_MLP,18.96446280991735,"{'binSize': 400, 'weightsByDistance': False}",0.22047083602269257,0.9
17.0_101.0,9.0,1.0,DRF,9.83810402824149,"OrderedDict([('min_node_size', 2), ('num_features', 38), ('num_trees', 250)])",0.5956073691554096,0.9
17.0_109.0,9.0,1.0,SAA,4.672727272727273,N/A,,0.9
17.0_109.0,9.0,1.0,LS_KDEx_LGBM,1.5826446280991737,"{'binSize': 20, 'weightsByDistance': False}",0.661301733286169,0.9
17.0_109.0,9.0,1.0,LS_KDEx_MLP,3.143801652892562,"{'binSize': 100, 'weightsByDistance': False}",0.32720198089847896,0.9
17.0_109.0,9.0,1.0,DRF,1.7374334736004018,"OrderedDict([('min_node_size', 8), ('num_features', 38), ('num_trees', 100)])",0.6281757157664509,0.9
17.0_110.0,9.0,1.0,SAA,5.6322314049586755,N/A,,0.9
17.0_110.0,9.0,1.0,LS_KDEx_LGBM,2.945454545454545,"{'binSize': 400, 'weightsByDistance': True}",0.4770359501100513,0.9
17.0_110.0,9.0,1.0,LS_KDEx_MLP,4.565289256198346,"{'binSize': 100, 'weightsByDistance': False}",0.18943506969919288,0.9
17.0_110.0,9.0,1.0,DRF,2.3553547400527273,"OrderedDict([('min_node_size', 1), ('num_features', 38), ('num_trees', 100)])",0.5818078891469111,0.9
19.0_101.0,9.0,1.0,SAA,24.095041322314046,N/A,,0.9
19.0_101.0,9.0,1.0,LS_KDEx_LGBM,13.649586776859506,"{'binSize': 100, 'weightsByDistance': False}",0.43351054707597314,0.9
19.0_101.0,9.0,1.0,LS_KDEx_MLP,19.899173553719006,"{'binSize': 100, 'weightsByDistance': False}",0.17413822671925905,0.9
19.0_101.0,9.0,1.0,DRF,12.7875607785519,"OrderedDict([('min_node_size', 1), ('num_features', 38), ('num_trees', 250)])",0.4692866217785011,0.9
19.0_109.0,9.0,1.0,SAA,5.323553719008263,N/A,,0.9
19.0_109.0,9.0,1.0,LS_KDEx_LGBM,3.752479338842975,"{'binSize': 100, 'weightsByDistance': False}",0.2951175968330356,0.9
19.0_109.0,9.0,1.0,LS_KDEx_MLP,4.560743801652892,"{'binSize': 100, 'weightsByDistance': False}",0.14328960645812294,0.9
19.0_109.0,9.0,1.0,DRF,3.315099967084864,"OrderedDict([('min_node_size', 4), ('num_features', 6), ('num_trees', 100)])",0.3772768826868452,0.9
19.0_110.0,9.0,1.0,SAA,4.5041322314049586,N/A,,0.9
19.0_110.0,9.0,1.0,LS_KDEx_LGBM,4.246280991735538,"{'binSize': 20, 'weightsByDistance': False}",0.05724770642201815,0.9
19.0_110.0,9.0,1.0,LS_KDEx_MLP,4.148760330578512,"{'binSize': 100, 'weightsByDistance': False}",0.07889908256880729,0.9
19.0_110.0,9.0,1.0,DRF,3.4034098692396735,"OrderedDict([('min_node_size', 16), ('num_features', 38), ('num_trees', 50)])",0.24438056114128348,0.9
2.0_101.0,9.0,1.0,SAA,32.72231404958677,N/A,,0.9
2.0_101.0,9.0,1.0,LS_KDEx_LGBM,9.552066115702477,"{'binSize': 400, 'weightsByDistance': True}",0.7080870839016014,0.9
2.0_101.0,9.0,1.0,LS_KDEx_MLP,9.260330578512395,"{'binSize': 100, 'weightsByDistance': True}",0.7170025761479012,0.9
2.0_101.0,9.0,1.0,DRF,9.125449419680885,"OrderedDict([('min_node_size', 2), ('num_features', 6), ('num_trees', 50)])",0.7211245694344124,0.9
2.0_109.0,9.0,1.0,SAA,4.725619834710742,N/A,,0.9
2.0_109.0,9.0,1.0,LS_KDEx_LGBM,1.471074380165289,"{'binSize': 400, 'weightsByDistance': True}",0.6887023434767401,0.9
2.0_109.0,9.0,1.0,LS_KDEx_MLP,1.6272727272727268,"{'binSize': 20, 'weightsByDistance': False}",0.65564882826163,0.9
2.0_109.0,9.0,1.0,DRF,1.3429090855281327,"OrderedDict([('min_node_size', 1), ('num_features', 6), ('num_trees', 100)])",0.7158237157241971,0.9
