Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
CA_1_FOODS_3_080,9.0,1.0,SAA,1.2428571428571429,,,0.9
CA_1_FOODS_3_080,9.0,1.0,LS_KDEx_LGBM,1.107142857142857,"{'binSize': 100, 'weightsByDistance': False}",0.1091954022988506,0.9
CA_1_FOODS_3_080,9.0,1.0,LS_KDEx_MLP,1.2714285714285716,"{'binSize': 400, 'weightsByDistance': False}",-0.0229885057471266,0.9
CA_1_FOODS_3_080,9.0,1.0,DRF,1.1299079882125824,"OrderedDict([('min_node_size', 16), ('num_features', 7), ('num_trees', 100)])",0.090878630173784,0.9
CA_1_FOODS_3_226,9.0,1.0,SAA,0.8035714285714285,,,0.9
CA_1_FOODS_3_226,9.0,1.0,LS_KDEx_LGBM,0.6785714285714286,"{'binSize': 100, 'weightsByDistance': False}",0.1555555555555554,0.9
CA_1_FOODS_3_226,9.0,1.0,LS_KDEx_MLP,0.5892857142857143,"{'binSize': 400, 'weightsByDistance': False}",0.2666666666666666,0.9
CA_1_FOODS_3_226,9.0,1.0,DRF,0.5321428571428571,"OrderedDict([('min_node_size', 8), ('num_features', 59), ('num_trees', 500)])",0.3377777777777777,0.9
CA_1_FOODS_3_228,9.0,1.0,SAA,0.7035714285714285,,,0.9
CA_1_FOODS_3_228,9.0,1.0,LS_KDEx_LGBM,1.1214285714285712,"{'binSize': 20, 'weightsByDistance': False}",-0.5939086294416243,0.9
CA_1_FOODS_3_228,9.0,1.0,LS_KDEx_MLP,1.1071428571428572,"{'binSize': 400, 'weightsByDistance': False}",-0.5736040609137059,0.9
CA_1_FOODS_3_228,9.0,1.0,DRF,0.8199186431329286,"OrderedDict([('min_node_size', 2), ('num_features', 7), ('num_trees', 50)])",-0.1653665993767514,0.9
CA_1_FOODS_3_252,9.0,1.0,SAA,3.821428571428572,,,0.9
CA_1_FOODS_3_252,9.0,1.0,LS_KDEx_LGBM,2.5285714285714294,"{'binSize': 400, 'weightsByDistance': True}",0.3383177570093457,0.9
CA_1_FOODS_3_252,9.0,1.0,LS_KDEx_MLP,2.217857142857143,"{'binSize': 400, 'weightsByDistance': False}",0.4196261682242991,0.9
CA_1_FOODS_3_252,9.0,1.0,DRF,2.0590973388856058,"OrderedDict([('min_node_size', 8), ('num_features', 59), ('num_trees', 100)])",0.4611707898243276,0.9
CA_1_FOODS_3_377,9.0,1.0,SAA,0.85,,,0.9
CA_1_FOODS_3_377,9.0,1.0,LS_KDEx_LGBM,0.5642857142857144,"{'binSize': 100, 'weightsByDistance': False}",0.3361344537815124,0.9
CA_1_FOODS_3_377,9.0,1.0,LS_KDEx_MLP,0.6357142857142859,"{'binSize': 400, 'weightsByDistance': False}",0.2521008403361342,0.9
CA_1_FOODS_3_377,9.0,1.0,DRF,0.6908600296305641,"OrderedDict([('min_node_size', 8), ('num_features', 59), ('num_trees', 500)])",0.1872234945522775,0.9
CA_1_FOODS_3_555,9.0,1.0,SAA,1.4464285714285714,,,0.9
CA_1_FOODS_3_555,9.0,1.0,LS_KDEx_LGBM,1.3107142857142855,"{'binSize': 400, 'weightsByDistance': False}",0.0938271604938273,0.9
CA_1_FOODS_3_555,9.0,1.0,LS_KDEx_MLP,1.775,"{'binSize': 400, 'weightsByDistance': False}",-0.2271604938271605,0.9
CA_1_FOODS_3_555,9.0,1.0,DRF,1.231049165717993,"OrderedDict([('min_node_size', 2), ('num_features', 59), ('num_trees', 500)])",0.1489042804912641,0.9
CA_1_FOODS_3_586,9.0,1.0,SAA,2.6928571428571426,,,0.9
CA_1_FOODS_3_586,9.0,1.0,LS_KDEx_LGBM,1.4607142857142854,"{'binSize': 100, 'weightsByDistance': False}",0.4575596816976127,0.9
CA_1_FOODS_3_586,9.0,1.0,LS_KDEx_MLP,1.475,"{'binSize': 400, 'weightsByDistance': False}",0.4522546419098142,0.9
CA_1_FOODS_3_586,9.0,1.0,DRF,1.6857142857142853,"OrderedDict([('min_node_size', 4), ('num_features', 59), ('num_trees', 500)])",0.3740053050397879,0.9
CA_1_FOODS_3_668,9.0,1.0,SAA,0.846428571428571,,,0.9
CA_1_FOODS_3_668,9.0,1.0,LS_KDEx_LGBM,0.5392857142857143,"{'binSize': 20, 'weightsByDistance': False}",0.3628691983122359,0.9
CA_1_FOODS_3_668,9.0,1.0,LS_KDEx_MLP,0.5178571428571428,"{'binSize': 400, 'weightsByDistance': False}",0.3881856540084385,0.9
CA_1_FOODS_3_668,9.0,1.0,DRF,0.4428571428571428,"OrderedDict([('min_node_size', 1), ('num_features', 7), ('num_trees', 100)])",0.4767932489451475,0.9
CA_1_FOODS_3_694,9.0,1.0,SAA,1.3428571428571427,,,0.9
CA_1_FOODS_3_694,9.0,1.0,LS_KDEx_LGBM,0.7642857142857146,"{'binSize': 20, 'weightsByDistance': False}",0.430851063829787,0.9
CA_1_FOODS_3_694,9.0,1.0,LS_KDEx_MLP,0.5749999999999998,"{'binSize': 400, 'weightsByDistance': False}",0.571808510638298,0.9
