Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
Location_1_max_CO,9.0,1.0,SAA,0.08884879725085909,N/A,,0.9
Location_1_max_CO,9.0,1.0,MLP,0.19584657966523755,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 6), ('layer2', 13), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-1.2042682143718482,0.9
Location_1_max_CO,9.0,1.0,LGBM,0.1786931332726179,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 127)])",-1.01120486491324,0.9
Location_1_max_CO,9.0,1.0,RFW,0.10920962199312716,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 50)])",-0.22916263778766233,0.9
Location_1_max_CO,9.0,1.0,KNNW,0.14033505154639178,"OrderedDict([('n_neighbors', 128)])",-0.5794817250048352,0.9
Location_1_max_CO,9.0,1.0,DTW,0.13848797250859107,"OrderedDict([('max_depth', 6), ('min_samples_split', 2)])",-0.5586927093405534,0.9
Location_1_max_CO,9.0,1.0,GKW,0.13238831615120278,"OrderedDict([('kernel_bandwidth', 1.5)])",-0.4900406111003681,0.9
Location_1_max_NO2,9.0,1.0,SAA,2.2273539518900347,N/A,,0.9
Location_1_max_NO2,9.0,1.0,MLP,5.315603161999825,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 26), ('layer2', 13), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.386510306316263,0.9
Location_1_max_NO2,9.0,1.0,LGBM,8.016966246492384,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 63)])",-2.599322972305115,0.9
Location_1_max_NO2,9.0,1.0,RFW,3.0942783505154643,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 50)])",-0.3892171686003456,0.9
Location_1_max_NO2,9.0,1.0,KNNW,3.79262027491409,"OrderedDict([('n_neighbors', 128)])",-0.7027470069118738,0.9
Location_1_max_NO2,9.0,1.0,DTW,4.551615120274914,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",-1.0435077758578126,0.9
Location_1_max_NO2,9.0,1.0,GKW,3.505038659793814,"OrderedDict([('kernel_bandwidth', 1.5)])",-0.5736334392742528,0.9
Location_1_max_O3,9.0,1.0,SAA,0.002719587628865979,N/A,,0.9
Location_1_max_O3,9.0,1.0,MLP,0.001549709434622097,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 39), ('layer2', 6), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.4301674937136337,0.9
Location_1_max_O3,9.0,1.0,LGBM,0.001410184686555073,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 500), ('n_estimators', 200), ('num_leaves', 63)])",0.48147113496648175,0.9
Location_1_max_O3,9.0,1.0,RFW,0.0023722508591065288,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 4), ('n_estimators', 20)])",0.1277167045741724,0.9
Location_1_max_O3,9.0,1.0,KNNW,0.0023734536082474222,"OrderedDict([('n_neighbors', 32)])",0.12727445034116758,0.9
