Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
17.0_101.0,9.0,1.0,SAA,24.328099173553714,N/A,,0.9
17.0_101.0,9.0,1.0,MLP,23.981424610247817,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 76), ('layer2', 19), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",0.014249965064379366,0.9
17.0_101.0,9.0,1.0,LGBM,11.64561329159878,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 200), ('num_leaves', 127)])",0.5213101850448576,0.9
17.0_101.0,9.0,1.0,RFW,34.13553719008264,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 4), ('n_estimators', 50)])",-0.4031321126473486,0.9
17.0_101.0,9.0,1.0,KNNW,19.479338842975206,"OrderedDict([('n_neighbors', 32)])",0.1993069945986342,0.9
17.0_101.0,9.0,1.0,DTW,11.68677685950413,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.5196181676121887,0.9
17.0_101.0,9.0,1.0,GKW,21.365289256198345,"OrderedDict([('kernel_bandwidth', 2.0)])",0.1217855080341066,0.9
17.0_109.0,9.0,1.0,SAA,4.672727272727273,N/A,,0.9
17.0_109.0,9.0,1.0,MLP,4.052111064380573,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 76), ('layer2', 19), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",0.1328166982843132,0.9
17.0_109.0,9.0,1.0,LGBM,2.2201076007411613,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 50), ('n_estimators', 500), ('num_leaves', 127)])",0.5248796963394402,0.9
17.0_109.0,9.0,1.0,RFW,1.718181818181818,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 20)])",0.632295719844358,0.9
17.0_109.0,9.0,1.0,KNNW,3.5900826446280996,"OrderedDict([('n_neighbors', 32)])",0.23169437566324724,0.9
17.0_109.0,9.0,1.0,DTW,1.8950413223140494,"OrderedDict([('max_depth', 4), ('min_samples_split', 4)])",0.594446409621507,0.9
17.0_109.0,9.0,1.0,GKW,4.017355371900826,"OrderedDict([('kernel_bandwidth', 2.0)])",0.14025468694729404,0.9
17.0_110.0,9.0,1.0,SAA,5.6322314049586755,N/A,,0.9
17.0_110.0,9.0,1.0,MLP,6.807939040251006,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 76), ('layer2', 19), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.2087463299638621,0.9
17.0_110.0,9.0,1.0,LGBM,5.748136359026146,"OrderedDict([('learning_rate', 0.1), ('max_depth', 3), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 63)])",-0.02057886932085684,0.9
17.0_110.0,9.0,1.0,RFW,4.401652892561983,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 8), ('n_estimators', 100)])",0.2184886280264121,0.9
17.0_110.0,9.0,1.0,KNNW,4.914049586776859,"OrderedDict([('n_neighbors', 4)])",0.127512839325018,0.9
17.0_110.0,9.0,1.0,DTW,2.6322314049586777,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.5326485693323549,0.9
17.0_110.0,9.0,1.0,GKW,4.880991735537188,"OrderedDict([('kernel_bandwidth', 2.0)])",0.13338224504768892,0.9
19.0_101.0,9.0,1.0,SAA,24.095041322314046,N/A,,0.9
