Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
CA_1_FOODS_3_080,9.0,1.0,SAA,1.2428571428571427,N/A,,0.9
CA_1_FOODS_3_080,9.0,1.0,MLP,1.6679289633897005,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 118), ('layer2', 59), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.3420118096238971,0.9
CA_1_FOODS_3_080,9.0,1.0,LGBM,2.1110544975757843,"OrderedDict([('learning_rate', 0.01), ('max_depth', 7), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 63)])",-0.6985495957506314,0.9
CA_1_FOODS_3_080,9.0,1.0,RFW,1.0857142857142856,"OrderedDict([('max_depth', 8), ('max_features', 'sqrt'), ('min_samples_split', 64), ('n_estimators', 50)])",0.12643678160919536,0.9
CA_1_FOODS_3_080,9.0,1.0,KNNW,1.1285714285714281,"OrderedDict([('n_neighbors', 32)])",0.09195402298850597,0.9
CA_1_FOODS_3_080,9.0,1.0,DTW,1.092857142857143,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.12068965517241359,0.9
CA_1_FOODS_3_080,9.0,1.0,GKW,1.2357142857142855,"OrderedDict([('kernel_bandwidth', 2.5)])",0.005747126436781547,0.9
CA_1_FOODS_3_226,9.0,1.0,SAA,0.8035714285714285,N/A,,0.9
CA_1_FOODS_3_226,9.0,1.0,MLP,1.070807610093645,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 59), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.33256058144986955,0.9
CA_1_FOODS_3_226,9.0,1.0,LGBM,0.7842187328061186,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 200), ('num_leaves', 63)])",0.02408335473016332,0.9
CA_1_FOODS_3_226,9.0,1.0,RFW,0.5321428571428571,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 10)])",0.33777777777777773,0.9
CA_1_FOODS_3_226,9.0,1.0,KNNW,0.5785714285714286,"OrderedDict([('n_neighbors', 32)])",0.2799999999999999,0.9
CA_1_FOODS_3_226,9.0,1.0,DTW,0.5392857142857143,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.3288888888888889,0.9
CA_1_FOODS_3_226,9.0,1.0,GKW,0.5928571428571427,"OrderedDict([('kernel_bandwidth', 2.5)])",0.26222222222222225,0.9
CA_1_FOODS_3_228,9.0,1.0,SAA,0.7035714285714285,N/A,,0.9
CA_1_FOODS_3_228,9.0,1.0,MLP,1.5277350983076838,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 177), ('layer2', 118), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-1.1714001397266576,0.9
CA_1_FOODS_3_228,9.0,1.0,LGBM,1.4866701546910257,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 31)])",-1.1130337224034883,0.9
CA_1_FOODS_3_228,9.0,1.0,RFW,0.875,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 100)])",-0.24365482233502544,0.9
CA_1_FOODS_3_228,9.0,1.0,KNNW,0.7428571428571428,"OrderedDict([('n_neighbors', 128)])",-0.055837563451776706,0.9
CA_1_FOODS_3_228,9.0,1.0,DTW,0.6785714285714285,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.035532994923857864,0.9
CA_1_FOODS_3_228,9.0,1.0,GKW,0.6571428571428569,"OrderedDict([('kernel_bandwidth', 2.5)])",0.06598984771573624,0.9
