Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
calamari,9.0,1.0,SAA,0.036284688995215295,N/A,,0.9
chicken,9.0,1.0,SAA,0.026739273035962345,N/A,,0.9
fish,9.0,1.0,SAA,0.025798620883760195,N/A,,0.9
koefte,9.0,1.0,SAA,0.030629590942785903,N/A,,0.9
lamb,9.0,1.0,SAA,0.02432715311004785,N/A,,0.9
shrimp,9.0,1.0,SAA,0.0258652312599681,N/A,,0.9
steak,9.0,1.0,SAA,0.027869354650484294,N/A,,0.9
calamari,9.0,1.0,LS_KDEx_LGBM,0.01549532234215877,"{'binSize': 400, 'weightsByDistance': False}",0.5729514908009251,0.9
chicken,9.0,1.0,LS_KDEx_LGBM,0.021175463188466366,"{'binSize': 400, 'weightsByDistance': False}",0.20807633176911977,0.9
fish,9.0,1.0,LS_KDEx_LGBM,0.022492215091077912,"{'binSize': 400, 'weightsByDistance': False}",0.1281621140750051,0.9
koefte,9.0,1.0,LS_KDEx_LGBM,0.023552170651862537,"{'binSize': 400, 'weightsByDistance': False}",0.23106479953139203,0.9
lamb,9.0,1.0,LS_KDEx_LGBM,0.01829478313291562,"{'binSize': 400, 'weightsByDistance': False}",0.24796859500344404,0.9
shrimp,9.0,1.0,LS_KDEx_LGBM,0.018538534882219918,"{'binSize': 400, 'weightsByDistance': False}",0.28326429035598033,0.9
steak,9.0,1.0,LS_KDEx_LGBM,0.0174063729140344,"{'binSize': 400, 'weightsByDistance': False}",0.3754296383130664,0.9
calamari,9.0,1.0,LS_KDEx_MLP,0.020954532278769304,"{'binSize': 2000, 'weightsByDistance': False}",0.4224965719967315,0.9
chicken,9.0,1.0,LS_KDEx_MLP,0.030584772316314,"{'binSize': 2000, 'weightsByDistance': False}",-0.1438146532697333,0.9
fish,9.0,1.0,LS_KDEx_MLP,0.02967739499626095,"{'binSize': 2000, 'weightsByDistance': False}",-0.15034811860592057,0.9
koefte,9.0,1.0,LS_KDEx_MLP,0.03417965868006083,"{'binSize': 2000, 'weightsByDistance': False}",-0.11590320431984291,0.9
lamb,9.0,1.0,LS_KDEx_MLP,0.021283148841096375,"{'binSize': 2000, 'weightsByDistance': False}",0.12512784604024252,0.9
shrimp,9.0,1.0,LS_KDEx_MLP,0.024365122089251446,"{'binSize': 2000, 'weightsByDistance': False}",0.05799712964632919,0.9
steak,9.0,1.0,LS_KDEx_MLP,0.023295478073626242,"{'binSize': 2000, 'weightsByDistance': False}",0.1641184962558353,0.9
calamari,7.5,2.5,SAA,0.060657894736842084,N/A,,0.75
chicken,7.5,2.5,SAA,0.04530984719864178,N/A,,0.75
fish,7.5,2.5,SAA,0.043627450980392155,N/A,,0.75
koefte,7.5,2.5,SAA,0.05699592290585621,N/A,,0.75
lamb,7.5,2.5,SAA,0.044574860446570976,N/A,,0.75
shrimp,7.5,2.5,SAA,0.038377192982456135,N/A,,0.75
steak,7.5,2.5,SAA,0.04289955070603337,N/A,,0.75
calamari,7.5,2.5,LS_KDEx_LGBM,0.02661313287044374,"{'binSize': 100, 'weightsByDistance': False}",0.5612585470382376,0.75
chicken,7.5,2.5,LS_KDEx_LGBM,0.03396090177635205,"{'binSize': 100, 'weightsByDistance': False}",0.2504741490858511,0.75
fish,7.5,2.5,LS_KDEx_LGBM,0.039663082090775306,"{'binSize': 100, 'weightsByDistance': False}",0.09086868016649852,0.75
koefte,7.5,2.5,LS_KDEx_LGBM,0.039942988510957116,"{'binSize': 100, 'weightsByDistance': False}",0.2991956884892716,0.75
lamb,7.5,2.5,LS_KDEx_LGBM,0.032058402378712214,"{'binSize': 100, 'weightsByDistance': False}",0.2807963489389145,0.75
shrimp,7.5,2.5,LS_KDEx_LGBM,0.03649177087048946,"{'binSize': 100, 'weightsByDistance': False}",0.04912871331753166,0.75
steak,7.5,2.5,LS_KDEx_LGBM,0.03178442392914621,"{'binSize': 100, 'weightsByDistance': False}",0.25909657779525264,0.75
calamari,7.5,2.5,LS_KDEx_MLP,0.031289465713351984,"{'binSize': 1000, 'weightsByDistance': False}",0.48416499040894756,0.75
chicken,7.5,2.5,LS_KDEx_MLP,0.045840905648947446,"{'binSize': 1000, 'weightsByDistance': False}",-0.011720596804872585,0.75
fish,7.5,2.5,LS_KDEx_MLP,0.050066808688610916,"{'binSize': 1000, 'weightsByDistance': False}",-0.14759876095243007,0.75
koefte,7.5,2.5,LS_KDEx_MLP,0.049706273862757756,"{'binSize': 1000, 'weightsByDistance': False}",0.1278977279680027,0.75
lamb,7.5,2.5,LS_KDEx_MLP,0.04208626330318174,"{'binSize': 1000, 'weightsByDistance': False}",0.05582961154465427,0.75
shrimp,7.5,2.5,LS_KDEx_MLP,0.04734968953505982,"{'binSize': 1000, 'weightsByDistance': False}",-0.23379762445641616,0.75
steak,7.5,2.5,LS_KDEx_MLP,0.03634188407183337,"{'binSize': 1000, 'weightsByDistance': False}",0.15286096302350627,0.75
calamari,5.0,5.0,SAA,0.07849179400113183,N/A,,0.5
chicken,5.0,5.0,SAA,0.0558149405772496,N/A,,0.5
fish,5.0,5.0,SAA,0.05575252172176171,N/A,,0.5
koefte,5.0,5.0,SAA,0.06495751532397555,N/A,,0.5
lamb,5.0,5.0,SAA,0.05527232211761076,N/A,,0.5
shrimp,5.0,5.0,SAA,0.046151669496321455,N/A,,0.5
steak,5.0,5.0,SAA,0.046100080058525526,N/A,,0.5
calamari,5.0,5.0,LS_KDEx_LGBM,0.02961008606597148,"{'binSize': 100, 'weightsByDistance': False}",0.6227620168097507,0.5
chicken,5.0,5.0,LS_KDEx_LGBM,0.04252244696285906,"{'binSize': 100, 'weightsByDistance': False}",0.23815296544109577,0.5
fish,5.0,5.0,LS_KDEx_LGBM,0.04777026998605735,"{'binSize': 100, 'weightsByDistance': False}",0.14317292723619846,0.5
koefte,5.0,5.0,LS_KDEx_LGBM,0.05129872093521481,"{'binSize': 100, 'weightsByDistance': False}",0.2102727347349651,0.5
lamb,5.0,5.0,LS_KDEx_LGBM,0.04435899641896574,"{'binSize': 100, 'weightsByDistance': False}",0.19744648461526892,0.5
shrimp,5.0,5.0,LS_KDEx_LGBM,0.04715746934502879,"{'binSize': 100, 'weightsByDistance': False}",-0.021793357849979822,0.5
steak,5.0,5.0,LS_KDEx_LGBM,0.03688634290168313,"{'binSize': 100, 'weightsByDistance': False}",0.19986379948028854,0.5
calamari,5.0,5.0,LS_KDEx_MLP,0.0366340823801839,"{'binSize': 400, 'weightsByDistance': False}",0.5332750022294606,0.5
chicken,5.0,5.0,LS_KDEx_MLP,0.05060431404249479,"{'binSize': 400, 'weightsByDistance': False}",0.0933554077253409,0.5
fish,5.0,5.0,LS_KDEx_MLP,0.06432756525071169,"{'binSize': 400, 'weightsByDistance': False}",-0.15380548294738228,0.5
koefte,5.0,5.0,LS_KDEx_MLP,0.05650681109862344,"{'binSize': 400, 'weightsByDistance': False}",0.13009586624741154,0.5
lamb,5.0,5.0,LS_KDEx_MLP,0.05510872570282162,"{'binSize': 400, 'weightsByDistance': False}",0.0029598252528821867,0.5
shrimp,5.0,5.0,LS_KDEx_MLP,0.05338415727709251,"{'binSize': 400, 'weightsByDistance': False}",-0.15671129256434635,0.5
steak,5.0,5.0,LS_KDEx_MLP,0.04313802202562067,"{'binSize': 400, 'weightsByDistance': False}",0.06425277416317776,0.5
calamari,2.5,7.5,SAA,0.05900119617224875,N/A,,0.25
chicken,2.5,7.5,SAA,0.04742887276843135,N/A,,0.25
fish,2.5,7.5,SAA,0.041610962566844906,N/A,,0.25
koefte,2.5,7.5,SAA,0.04897988408922436,N/A,,0.25
lamb,2.5,7.5,SAA,0.04676285885167466,N/A,,0.25
shrimp,2.5,7.5,SAA,0.037071371610845304,N/A,,0.25
steak,2.5,7.5,SAA,0.029167639164429923,N/A,,0.25
calamari,2.5,7.5,LS_KDEx_LGBM,0.024522727721133553,"{'binSize': 100, 'weightsByDistance': False}",0.5843689736468795,0.25
chicken,2.5,7.5,LS_KDEx_LGBM,0.03354417977364778,"{'binSize': 100, 'weightsByDistance': False}",0.29274769110737164,0.25
fish,2.5,7.5,LS_KDEx_LGBM,0.03854259121270348,"{'binSize': 100, 'weightsByDistance': False}",0.07373949471157548,0.25
koefte,2.5,7.5,LS_KDEx_LGBM,0.039111652262936975,"{'binSize': 100, 'weightsByDistance': False}",0.2014751976201269,0.25
lamb,2.5,7.5,LS_KDEx_LGBM,0.035542766293684754,"{'binSize': 100, 'weightsByDistance': False}",0.23993598410179517,0.25
shrimp,2.5,7.5,LS_KDEx_LGBM,0.042288150936310935,"{'binSize': 100, 'weightsByDistance': False}",-0.1407225872360076,0.25
steak,2.5,7.5,LS_KDEx_LGBM,0.027486260757603808,"{'binSize': 100, 'weightsByDistance': False}",0.057645337606773595,0.25
calamari,2.5,7.5,LS_KDEx_MLP,0.030921840339952423,"{'binSize': 1000, 'weightsByDistance': False}",0.47591163661023317,0.25
chicken,2.5,7.5,LS_KDEx_MLP,0.037046557784739,"{'binSize': 1000, 'weightsByDistance': False}",0.21890284077345434,0.25
fish,2.5,7.5,LS_KDEx_MLP,0.052326760422718076,"{'binSize': 1000, 'weightsByDistance': False}",-0.25752343120299215,0.25
koefte,2.5,7.5,LS_KDEx_MLP,0.03930285112921278,"{'binSize': 1000, 'weightsByDistance': False}",0.19757157739253495,0.25
lamb,2.5,7.5,LS_KDEx_MLP,0.04089613438775857,"{'binSize': 1000, 'weightsByDistance': False}",0.12545692474714887,0.25
shrimp,2.5,7.5,LS_KDEx_MLP,0.0453213568839382,"{'binSize': 1000, 'weightsByDistance': False}",-0.22254329728332323,0.25
steak,2.5,7.5,LS_KDEx_MLP,0.033464282517120275,"{'binSize': 1000, 'weightsByDistance': False}",-0.14730857470048964,0.25
calamari,1.0,9.0,SAA,0.026294117647058822,N/A,,0.1
chicken,1.0,9.0,SAA,0.027188821199107833,N/A,,0.1
fish,1.0,9.0,SAA,0.019814241486068113,N/A,,0.1
koefte,1.0,9.0,SAA,0.02683796276108665,N/A,,0.1
lamb,1.0,9.0,SAA,0.02653655361666198,N/A,,0.1
shrimp,1.0,9.0,SAA,0.021093911248710007,N/A,,0.1
steak,1.0,9.0,SAA,0.01582439779506155,N/A,,0.1
calamari,1.0,9.0,LS_KDEx_LGBM,0.015181326264862892,"{'binSize': 100, 'weightsByDistance': False}",0.4226341241551025,0.1
chicken,1.0,9.0,LS_KDEx_LGBM,0.02009769016340093,"{'binSize': 100, 'weightsByDistance': False}",0.2608105362044747,0.1
fish,1.0,9.0,LS_KDEx_LGBM,0.023585281103117833,"{'binSize': 100, 'weightsByDistance': False}",-0.19031965567297804,0.1
koefte,1.0,9.0,LS_KDEx_LGBM,0.021610431266810136,"{'binSize': 100, 'weightsByDistance': False}",0.19478123361345834,0.1
lamb,1.0,9.0,LS_KDEx_LGBM,0.02414141065843035,"{'binSize': 100, 'weightsByDistance': False}",0.09025825255347963,0.1
shrimp,1.0,9.0,LS_KDEx_LGBM,0.02811419040380179,"{'binSize': 100, 'weightsByDistance': False}",-0.3328106898866898,0.1
steak,1.0,9.0,LS_KDEx_LGBM,0.017041753263463848,"{'binSize': 100, 'weightsByDistance': False}",-0.07692902340853758,0.1
calamari,1.0,9.0,LS_KDEx_MLP,0.018071377331420373,"{'binSize': 1000, 'weightsByDistance': False}",0.3127216674851312,0.1
chicken,1.0,9.0,LS_KDEx_MLP,0.019527731631805486,"{'binSize': 1000, 'weightsByDistance': False}",0.28177350945813484,0.1
fish,1.0,9.0,LS_KDEx_MLP,0.032095390017367664,"{'binSize': 1000, 'weightsByDistance': False}",-0.6198142149390242,0.1
koefte,1.0,9.0,LS_KDEx_MLP,0.020351773405668478,"{'binSize': 1000, 'weightsByDistance': False}",0.2416796465945893,0.1
lamb,1.0,9.0,LS_KDEx_MLP,0.022566016866543564,"{'binSize': 1000, 'weightsByDistance': False}",0.1496251852247069,0.1
shrimp,1.0,9.0,LS_KDEx_MLP,0.02700519771451585,"{'binSize': 1000, 'weightsByDistance': False}",-0.28023662355018897,0.1
steak,1.0,9.0,LS_KDEx_MLP,0.017957921165898963,"{'binSize': 1000, 'weightsByDistance': False}",-0.13482493289591346,0.1
